Setting,Method,Merging,cluster_id,size,purity,mean_radius,nearest_cluster_dist,mean_prob,reliability_score,accepted,reason,sub_scores
No VUP,No VUP + Graph HDBSCAN,False,0,26,1.0,1.5892397165298462,6.622744083404541,0.7647212669337718,0.5591663913931946,True,accepted,"{'compactness': 0.30998750001017794, 'separation': 0.7375234461174011, 'hdb_prob': 0.7647212669337718}"
No VUP,No VUP + Graph HDBSCAN,False,1,29,1.0,1.076959252357483,6.112453937530518,0.7007876114603427,0.607927823385996,True,accepted,"{'compactness': 0.45217430244777845, 'separation': 0.7090286239569159, 'hdb_prob': 0.7007876114603427}"
No VUP,No VUP + Graph HDBSCAN,False,2,24,1.0,1.5144672393798828,6.321530342102051,0.7855121878258005,0.5703394269815808,True,accepted,"{'compactness': 0.32754881856398815, 'separation': 0.7210596936538729, 'hdb_prob': 0.7855121878258005}"
No VUP,No VUP + Graph HDBSCAN,False,3,18,1.0,0.7186601758003235,5.89015531539917,0.9007040312616339,0.7172256500109793,True,accepted,"{'compactness': 0.588821861949929, 'separation': 0.6956670049589366, 'hdb_prob': 0.9007040312616339}"
No VUP,No VUP + Graph HDBSCAN,False,4,47,0.9361702127659575,1.091986060142517,5.036566257476807,0.7134563314328971,0.5883741841535676,True,accepted,"{'compactness': 0.44719440538975314, 'separation': 0.6384061606004473, 'hdb_prob': 0.7134563314328971}"
No VUP,No VUP + Graph HDBSCAN,False,5,76,1.0,1.5820224285125732,4.4826788902282715,0.9565061775564861,0.5620396613193167,True,accepted,"{'compactness': 0.31164069475834305, 'separation': 0.5956058395565845, 'hdb_prob': 0.9565061775564861}"
No VUP,No VUP + Graph HDBSCAN,False,6,97,1.0,2.117875814437866,4.205507755279541,0.9543627594483196,0.48584816697275957,True,accepted,"{'compactness': 0.20996536592897647, 'separation': 0.5723221551977594, 'hdb_prob': 0.9543627594483196}"
No VUP,No VUP + Graph HDBSCAN,False,7,79,0.7721518987341772,1.6769611835479736,4.205507755279541,0.7637514285670901,0.502674450467025,True,accepted,"{'compactness': 0.29058141994150727, 'separation': 0.5723221551977594, 'hdb_prob': 0.7637514285670901}"
No VUP,No VUP + Graph HDBSCAN,False,8,55,1.0,1.6606940031051636,4.95123815536499,0.7270116026298645,0.5131825379486455,True,accepted,"{'compactness': 0.2940860023606944, 'separation': 0.6321205580855527, 'hdb_prob': 0.7270116026298645}"
No VUP,No VUP + Graph HDBSCAN,False,9,33,1.0,0.935175359249115,5.7843337059021,0.7920467715792716,0.6494882800895572,True,accepted,"{'compactness': 0.5019790185217882, 'separation': 0.6890925631384486, 'hdb_prob': 0.7920467715792716}"
No VUP,No VUP + Graph HDBSCAN,False,10,75,0.9466666666666667,1.3492798805236816,4.525205135345459,0.6339448041741137,0.5198647806712239,True,accepted,"{'compactness': 0.3699527787169153, 'separation': 0.5990643122498298, 'hdb_prob': 0.6339448041741137}"
No VUP,No VUP + Graph HDBSCAN,False,11,30,0.9666666666666667,0.9718185663223267,5.020097732543945,0.8763436165624601,0.6485889487583202,True,accepted,"{'compactness': 0.48860449009698914, 'separation': 0.6372014454560713, 'hdb_prob': 0.8763436165624601}"
No VUP,No VUP + Graph HDBSCAN,False,12,54,1.0,1.3569058179855347,4.8293986320495605,0.76911812698381,0.5606844790003529,True,accepted,"{'compactness': 0.36787944117144233, 'separation': 0.6229555176387348, 'hdb_prob': 0.76911812698381}"
No VUP,No VUP + Graph HDBSCAN,False,13,48,0.9791666666666666,1.4100650548934937,5.125988006591797,0.7685343876862815,0.5596855059646205,True,accepted,"{'compactness': 0.35374576328517837, 'separation': 0.6448781006301505, 'hdb_prob': 0.7685343876862815}"
No VUP,No VUP + Graph HDBSCAN,False,14,56,1.0,1.1129997968673706,4.906376838684082,0.6910501393217999,0.5762237847690107,True,accepted,"{'compactness': 0.4403222743732044, 'separation': 0.6287721938609734, 'hdb_prob': 0.6910501393217999}"
No VUP,No VUP + Graph HDBSCAN,False,15,45,0.6888888888888889,1.5360722541809082,4.699821472167969,0.7373115835092265,0.5261960259090794,True,accepted,"{'compactness': 0.3223747996447503, 'separation': 0.6129577622024067, 'hdb_prob': 0.7373115835092265}"
