Method,Round,Discovery Day,True New Classes,Samples,Discovery Nodes,Grouping,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Fusion,Alpha Min,Alpha Max,Adaptive Weight Mean,Adaptive Weight Min,Adaptive Weight Max,Iter Merge Rounds,Iter Merge Total Merges,Iter Merge Threshold,Noise Before Reassignment,Noise Reassigned,Assignment Coverage,Assignment Score Mean,Assignment Score Min,No-cluster Fallback,Adaptive Split Count,Adaptive Split Size Factor,Adaptive Split Silhouette Threshold,Adaptive Split Silhouette Mean,MVACC Min Cluster Size,MVACC Min Cluster Ratio,MVACC Min Samples
Deep only,R1,Day 2,2,280,280,instance,2,2,0,1.0,2,0.1,0.771851409385483,0.8147345039136873,1.0,0.9,,,,,,,,,,,,,,,,,,,,,,
Deep only,R2,Day 3,2,280,280,instance,2,2,0,1.0,2,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Deep only,R3,Day 4,2,280,280,instance,2,2,0,1.0,2,0.02142857142857143,0.9213892721503547,0.957596822900491,1.0,0.9785714285714285,,,,,,,,,,,,,,,,,,,,,,
RF only,R1,Day 2,2,280,280,instance,2,2,0,1.0,2,0.0,0.9459108115021333,0.9715306331444479,0.9928571428571429,0.9928571428571429,,,,,,,,,,,,,,,,,,,,,,
RF only,R2,Day 3,2,280,280,instance,2,2,0,1.0,2,0.03571428571428571,0.8912311903463106,0.9309604213614946,1.0,0.9642857142857143,,,,,,,,,,,,,,,,,,,,,,
RF only,R3,Day 4,2,280,280,instance,2,2,0,1.0,2,0.02142857142857143,0.9213892721503547,0.957596822900491,1.0,0.9785714285714285,,,,,,,,,,,,,,,,,,,,,,
Graph fusion (raw),R1,Day 2,2,280,280,instance,3,3,1,1.5,3,0.10714285714285714,0.6415295185124099,0.6292809485649457,0.996,0.7107142857142857,bounded_adaptive,0.65,0.95,0.8038833141326904,0.6499999761581421,0.949999988079071,,,,,,,,,,,,,,,,
Graph fusion (raw),R2,Day 3,2,280,280,instance,4,4,2,2.0,4,0.04642857142857143,0.6950384576347803,0.6872046744257745,1.0,0.7785714285714286,bounded_adaptive,0.65,0.95,0.8000692129135132,0.6499999761581421,0.949999988079071,,,,,,,,,,,,,,,,
Graph fusion (raw),R3,Day 4,2,280,280,instance,2,2,0,1.0,2,0.02857142857142857,0.9012743020426619,0.9436133845864947,1.0,0.9714285714285714,bounded_adaptive,0.65,0.95,0.8047631978988647,0.6499999761581421,0.949999988079071,,,,,,,,,,,,,,,,
No-drop consolidation (ablation),R1,Day 2,2,280,280,instance,3,3,1,1.5,3,0.0,0.6972577563270896,0.6861222579263225,0.9785714285714285,0.7321428571428571,bounded_adaptive,0.65,0.95,0.8038833141326904,0.6499999761581421,0.949999988079071,5.0,0.0,0.78,30.0,30.0,1.0,0.6980152726173401,0.4865303635597229,False,,,,,,,
No-drop consolidation (ablation),R2,Day 3,2,280,280,instance,4,4,2,2.0,4,0.0,0.723256845097351,0.7051159878547442,0.9964285714285714,0.7892857142857143,bounded_adaptive,0.65,0.95,0.8000692129135132,0.6499999761581421,0.949999988079071,5.0,0.0,0.78,13.0,13.0,1.0,0.799858808517456,0.5029998421669006,False,,,,,,,
No-drop consolidation (ablation),R3,Day 4,2,280,280,instance,2,2,0,1.0,2,0.0,0.8523157935930097,0.9158207929666767,0.9785714285714285,0.9785714285714285,bounded_adaptive,0.65,0.95,0.8047631978988647,0.6499999761581421,0.949999988079071,5.0,0.0,0.78,8.0,8.0,1.0,0.5674073696136475,0.5208258628845215,False,,,,,,,
MV-ACC,R1,Day 2,2,280,280,instance,4,4,2,2.0,4,0.0,0.6354978992554448,0.6330820637706384,0.9785714285714285,0.725,bounded_adaptive,0.65,0.95,0.8038833141326904,0.6499999761581421,0.949999988079071,12.0,0.0,0.74,46.0,46.0,1.0,0.7671021223068237,0.610622763633728,False,0.0,1.75,0.3,,9.0,0.03214285714285714,5.0
MV-ACC,R2,Day 3,2,280,280,instance,4,3,1,1.5,3,0.0,0.7823369346911465,0.748931348988329,0.9964285714285714,0.7964285714285714,bounded_adaptive,0.65,0.95,0.8000692129135132,0.6499999761581421,0.949999988079071,12.0,1.0,0.74,13.0,13.0,1.0,0.8062946796417236,0.5525847673416138,False,0.0,1.75,0.3,,9.0,0.03214285714285714,5.0
MV-ACC,R3,Day 4,2,280,280,instance,2,2,0,1.0,2,0.0,0.8523157935930097,0.9158207929666767,0.9785714285714285,0.9785714285714285,bounded_adaptive,0.65,0.95,0.8047631978988647,0.6499999761581421,0.949999988079071,12.0,0.0,0.74,8.0,8.0,1.0,0.5598021745681763,0.5146292448043823,False,0.0,1.75,0.3,,9.0,0.03214285714285714,5.0
