Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Old Class Bonus,Macro F1
Initial model,Initial,Day1,day1_eval_fixedrx,4,-,-,-,240,0.9958333333333333,0.9958333333333333,,0.9958333333333333,0.0,0.0,0.9958330439613863
Deep only,After R1,Day2,eval_r1_fixedrx_6_seen,6,2,2,2,360,0.6722222222222223,0.525,0.9666666666666667,0.525,0.4708333333333333,0.0,0.6312513662282537
Deep only,After R2,Day3,eval_r2_fixedrx_8_seen,8,2,2,2,480,0.39166666666666666,0.24722222222222223,0.825,0.37083333333333335,0.625,0.0,0.35535850518027856
Deep only,After R3,Day4,eval_r3_fixedrx_10_seen,10,2,2,2,600,0.49333333333333335,0.4166666666666667,0.8,0.4375,0.5583333333333333,0.0,0.46186025833481315
RF only,After R1,Day2,eval_r1_fixedrx_6_seen,6,2,2,2,360,0.6916666666666667,0.5833333333333334,0.9083333333333333,0.5833333333333334,0.4125,0.0,0.6391336400881698
RF only,After R2,Day3,eval_r2_fixedrx_8_seen,8,2,2,2,480,0.5541666666666667,0.49166666666666664,0.7416666666666667,0.5625,0.43333333333333335,0.0,0.5287021111486397
RF only,After R3,Day4,eval_r3_fixedrx_10_seen,10,2,2,2,600,0.52,0.5166666666666667,0.5333333333333333,0.5958333333333333,0.4,0.0,0.4992199646979475
Graph fusion (raw),After R1,Day2,eval_r1_fixedrx_6_seen,6,2,3,3,360,0.6194444444444445,0.5666666666666667,0.725,0.5666666666666667,0.4291666666666667,0.0,0.6112826304623189
Graph fusion (raw),After R2,Day3,eval_r2_fixedrx_8_seen,8,2,4,4,480,0.36875,0.24722222222222223,0.7333333333333333,0.35833333333333334,0.6375,0.0,0.36844183284071247
Graph fusion (raw),After R3,Day4,eval_r3_fixedrx_10_seen,10,2,2,2,600,0.5383333333333333,0.46041666666666664,0.85,0.44583333333333336,0.55,0.0,0.5341789167207259
No-drop consolidation (ablation),After R1,Day2,eval_r1_fixedrx_6_seen,6,2,3,3,360,0.6333333333333333,0.5666666666666667,0.7666666666666667,0.5666666666666667,0.4291666666666667,0.0,0.6587738339592798
No-drop consolidation (ablation),After R2,Day3,eval_r2_fixedrx_8_seen,8,2,4,4,480,0.36875,0.24722222222222223,0.7333333333333333,0.35833333333333334,0.6375,0.0,0.36761250316786875
No-drop consolidation (ablation),After R3,Day4,eval_r3_fixedrx_10_seen,10,2,2,2,600,0.5216666666666666,0.44375,0.8333333333333334,0.44166666666666665,0.5541666666666667,0.0,0.5443270179445023
MV-ACC,After R1,Day2,eval_r1_fixedrx_6_seen,6,2,4,4,360,0.6083333333333333,0.5333333333333333,0.7583333333333333,0.5333333333333333,0.4625,0.0,0.637252446631874
MV-ACC,After R2,Day3,eval_r2_fixedrx_8_seen,8,2,3,3,480,0.3770833333333333,0.25277777777777777,0.75,0.36666666666666664,0.6291666666666667,0.0,0.4001726767896318
MV-ACC,After R3,Day4,eval_r3_fixedrx_10_seen,10,2,2,2,600,0.57,0.475,0.95,0.4708333333333333,0.525,0.0,0.5957415953738139
