Method,Round,Cluster Count,Incremental Pseudo-label Classes,Cluster Count Error,Sample Coverage,Purity,NMI,ARI,Hungarian Acc,Overall Acc,New Acc,Forgetting Rate
Deep only,R1,2,2,0,0.9,1.0,0.771851409385483,0.8147345039136873,0.9,0.6722222222222223,0.9666666666666667,0.4708333333333333
Deep only,R2,2,2,0,1.0,1.0,1.0,1.0,1.0,0.39166666666666666,0.825,0.625
Deep only,R3,2,2,0,0.9785714285714285,1.0,0.9213892721503547,0.957596822900491,0.9785714285714285,0.49333333333333335,0.8,0.5583333333333333
RF only,R1,2,2,0,1.0,0.9928571428571429,0.9459108115021333,0.9715306331444479,0.9928571428571429,0.6916666666666667,0.9083333333333333,0.4125
RF only,R2,2,2,0,0.9642857142857143,1.0,0.8912311903463106,0.9309604213614946,0.9642857142857143,0.5541666666666667,0.7416666666666667,0.43333333333333335
RF only,R3,2,2,0,0.9785714285714285,1.0,0.9213892721503547,0.957596822900491,0.9785714285714285,0.52,0.5333333333333333,0.4
Graph fusion (raw),R1,3,3,1,0.8928571428571429,0.996,0.6415295185124099,0.6292809485649457,0.7107142857142857,0.6194444444444445,0.725,0.4291666666666667
Graph fusion (raw),R2,4,4,2,0.9535714285714285,1.0,0.6950384576347803,0.6872046744257745,0.7785714285714286,0.36875,0.7333333333333333,0.6375
Graph fusion (raw),R3,2,2,0,0.9714285714285714,1.0,0.9012743020426619,0.9436133845864947,0.9714285714285714,0.5383333333333333,0.85,0.55
No-drop consolidation (ablation),R1,3,3,1,1.0,0.9785714285714285,0.6972577563270896,0.6861222579263225,0.7321428571428571,0.6333333333333333,0.7666666666666667,0.4291666666666667
No-drop consolidation (ablation),R2,4,4,2,1.0,0.9964285714285714,0.723256845097351,0.7051159878547442,0.7892857142857143,0.36875,0.7333333333333333,0.6375
No-drop consolidation (ablation),R3,2,2,0,1.0,0.9785714285714285,0.8523157935930097,0.9158207929666767,0.9785714285714285,0.5216666666666666,0.8333333333333334,0.5541666666666667
MV-ACC,R1,4,4,2,1.0,0.9785714285714285,0.6354978992554448,0.6330820637706384,0.725,0.6083333333333333,0.7583333333333333,0.4625
MV-ACC,R2,3,3,1,1.0,0.9964285714285714,0.7823369346911465,0.748931348988329,0.7964285714285714,0.3770833333333333,0.75,0.6291666666666667
MV-ACC,R3,2,2,0,1.0,0.9785714285714285,0.8523157935930097,0.9158207929666767,0.9785714285714285,0.57,0.95,0.525
