x,y,true_label,cluster_label
-3.990455,0.904204,6,2
-1.3792136,-4.6690836,6,2
-6.1646147,3.6668558,6,1
-2.041808,-1.298559,6,2
-7.165691,5.9995193,6,1
-6.326062,4.713977,6,1
-1.8884624,-1.4618907,6,2
-2.9005623,-3.1698847,6,2
-0.92911154,-4.977764,6,2
-7.274763,6.195019,6,1
-6.4946184,5.032947,6,1
-2.2859066,-2.5718982,6,2
-1.1747847,-4.761511,6,2
-1.6698489,-4.4534616,6,2
-3.6951413,-2.1066656,6,2
-3.851988,-1.7532567,6,2
-2.1079905,-1.6458709,6,2
-2.248678,-2.5405152,6,2
-2.658281,-3.465483,6,2
-3.7822914,-1.8387018,6,2
-4.834515,2.899926,6,1
-5.1371784,3.4495494,6,1
-1.8865709,-1.4090168,6,2
-4.895875,2.9833663,6,1
-6.040542,3.4154255,6,1
-7.343425,6.369507,6,1
-7.1124406,5.922476,6,1
-4.676669,2.606195,6,2
-2.7266984,-3.2727923,6,2
-3.9907062,-1.5284623,6,2
-4.981887,3.0791051,6,1
-7.495039,6.8596935,6,1
-3.9734366,-1.5552578,6,2
-1.8816426,-1.5098614,6,2
-6.672911,5.3095684,6,1
-3.2298656,-2.8451467,6,2
-3.9374514,0.70478374,6,2
-4.037494,0.6058956,6,2
-1.8302314,-1.4713058,6,2
-6.3679414,4.862342,6,1
-5.9096293,4.39795,6,1
-5.9834414,3.4873896,6,1
-6.3224115,4.77277,6,1
-3.9961047,0.24308391,6,2
-7.553671,7.0820503,6,1
-0.98543245,-4.936843,6,2
-1.8042487,-1.5475123,6,2
-6.081326,3.513434,6,1
-7.5584607,7.0663137,6,1
-4.9063115,2.9904504,6,1
-7.1788616,6.0094724,6,1
-7.4367185,6.9021187,6,1
-1.726857,-1.7244562,6,2
-4.0276766,0.99918896,6,2
-6.1149187,4.2584643,6,1
-4.703915,2.6400142,6,1
-3.9858878,0.89619666,6,2
-4.068824,-1.1794351,6,2
-5.3137584,3.743902,6,1
-3.9503877,-1.6475134,6,2
-4.824191,2.8696768,6,1
-0.8860737,-5.002617,6,2
-4.948771,3.0264363,6,1
-7.510251,7.0722017,6,1
-3.9860048,0.7410574,6,2
-3.5340302,0.09907123,6,2
-6.2677803,4.434323,6,1
-2.2168615,-2.5045593,6,2
-3.7680361,-1.7949501,6,2
-6.092026,3.4904,6,1
-3.7776175,0.3513349,6,2
-1.8494638,-1.5070543,6,2
-2.7563336,-3.3832824,6,2
-1.0025926,-4.8822,6,2
-6.4020696,4.9338274,6,1
-7.562444,7.2091017,6,1
-3.9297369,-1.6523265,6,2
-4.108723,-0.05720192,6,2
-5.9456367,3.5327249,6,1
-1.095783,-4.9002714,6,2
-6.431313,4.959363,6,1
-1.2109044,-4.8206534,6,2
-6.063174,3.3976007,6,2
-1.2159413,-4.812107,6,2
-4.1531734,-0.35107562,6,2
-3.7859106,0.48808575,6,2
-2.7786424,-3.3835802,6,2
-0.9361369,-4.964092,6,2
-3.6472003,0.24656327,6,2
-1.6858985,-4.4416523,6,2
-6.7715425,5.4438224,6,1
-4.966943,3.099446,6,1
-3.8575401,-1.8147395,6,2
-5.992988,3.4667385,6,1
-1.7785131,-1.5710998,6,2
-4.016193,-1.5111923,6,2
-7.460228,6.6868434,6,1
-4.0644193,-0.47606933,6,2
-2.8644073,-3.228294,6,2
-2.0933292,-4.063352,6,2
-7.5253844,7.224522,6,1
-4.1064324,1.1634749,6,2
-6.19772,4.3087177,6,1
-0.9385597,-4.967688,6,2
-2.18342,-2.4488943,6,2
-1.8519833,-4.3030095,6,2
-3.8702257,-1.7621531,6,2
-3.0212097,-3.0958228,6,2
-1.116562,-4.864741,6,2
-2.1727033,-2.4422405,6,2
-4.053983,-0.8575798,6,2
-6.1763415,3.8532197,6,1
-6.7250514,5.387449,6,1
-4.200237,1.2979931,6,2
-5.0072875,2.8568459,6,1
-1.3287973,-4.709634,6,2
-5.0425057,3.1531918,6,1
-7.611137,7.0830946,6,1
-1.3130112,-4.7181697,6,2
-1.968524,-1.3939345,6,2
