Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Fusion,Alpha Min,Alpha Max,Adaptive Weight Mean,Adaptive Weight Min,Adaptive Weight Max,Iter Merge Rounds,Iter Merge Total Merges,Iter Merge Threshold,Noise Before Reassignment,Noise Reassigned,Assignment Coverage,Assignment Score Mean,Assignment Score Min,No-cluster Fallback,Adaptive Split Count,Adaptive Split Size Factor,Adaptive Split Silhouette Threshold,Adaptive Split Silhouette Mean,MVACC Min Cluster Size,MVACC Min Cluster Ratio,MVACC Min Samples,Candidate Min Cluster Ratio,Candidate Merge Threshold,Calibration Score
MV-ACC,Calibration,Day1 held-out known,10,50,0,1,9,0.1,1,0.0,0.0,0.0,0.1,0.1,bounded_adaptive,0.65,0.95,0.771519124507904,0.6499999761581421,0.949999988079071,12,0,0.74,50,50,1.0,,,True,0,1.75,0.3,,10,0.2,5,0.03,0.74,-2.15
MV-ACC,Calibration,Day1 held-out known,10,50,0,1,9,0.1,1,0.0,0.0,0.0,0.1,0.1,bounded_adaptive,0.65,0.95,0.771519124507904,0.6499999761581421,0.949999988079071,12,0,0.78,50,50,1.0,,,True,0,1.75,0.3,,10,0.2,5,0.03,0.78,-2.15
MV-ACC,Calibration,Day1 held-out known,10,50,0,1,9,0.1,1,0.0,0.0,0.0,0.1,0.1,bounded_adaptive,0.65,0.95,0.771519124507904,0.6499999761581421,0.949999988079071,12,0,0.82,50,50,1.0,,,True,0,1.75,0.3,,10,0.2,5,0.03,0.82,-2.15
MV-ACC,Calibration,Day1 held-out known,10,50,0,1,9,0.1,1,0.0,0.0,0.0,0.1,0.1,bounded_adaptive,0.65,0.95,0.771519124507904,0.6499999761581421,0.949999988079071,12,0,0.86,50,50,1.0,,,True,0,1.75,0.3,,10,0.2,5,0.03,0.86,-2.15
MV-ACC,Calibration,Day1 held-out known,10,50,0,1,9,0.1,1,0.0,0.0,0.0,0.1,0.1,bounded_adaptive,0.65,0.95,0.771519124507904,0.6499999761581421,0.949999988079071,12,0,0.74,50,50,1.0,,,True,0,1.75,0.3,,10,0.2,5,0.045,0.74,-2.15
MV-ACC,Calibration,Day1 held-out known,10,50,0,1,9,0.1,1,0.0,0.0,0.0,0.1,0.1,bounded_adaptive,0.65,0.95,0.771519124507904,0.6499999761581421,0.949999988079071,12,0,0.78,50,50,1.0,,,True,0,1.75,0.3,,10,0.2,5,0.045,0.78,-2.15
MV-ACC,Calibration,Day1 held-out known,10,50,0,1,9,0.1,1,0.0,0.0,0.0,0.1,0.1,bounded_adaptive,0.65,0.95,0.771519124507904,0.6499999761581421,0.949999988079071,12,0,0.82,50,50,1.0,,,True,0,1.75,0.3,,10,0.2,5,0.045,0.82,-2.15
MV-ACC,Calibration,Day1 held-out known,10,50,0,1,9,0.1,1,0.0,0.0,0.0,0.1,0.1,bounded_adaptive,0.65,0.95,0.771519124507904,0.6499999761581421,0.949999988079071,12,0,0.86,50,50,1.0,,,True,0,1.75,0.3,,10,0.2,5,0.045,0.86,-2.15
MV-ACC,Calibration,Day1 held-out known,10,50,0,1,9,0.1,1,0.0,0.0,0.0,0.1,0.1,bounded_adaptive,0.65,0.95,0.771519124507904,0.6499999761581421,0.949999988079071,12,0,0.74,50,50,1.0,,,True,0,1.75,0.3,,10,0.2,5,0.06,0.74,-2.15
MV-ACC,Calibration,Day1 held-out known,10,50,0,1,9,0.1,1,0.0,0.0,0.0,0.1,0.1,bounded_adaptive,0.65,0.95,0.771519124507904,0.6499999761581421,0.949999988079071,12,0,0.78,50,50,1.0,,,True,0,1.75,0.3,,10,0.2,5,0.06,0.78,-2.15
MV-ACC,Calibration,Day1 held-out known,10,50,0,1,9,0.1,1,0.0,0.0,0.0,0.1,0.1,bounded_adaptive,0.65,0.95,0.771519124507904,0.6499999761581421,0.949999988079071,12,0,0.82,50,50,1.0,,,True,0,1.75,0.3,,10,0.2,5,0.06,0.82,-2.15
MV-ACC,Calibration,Day1 held-out known,10,50,0,1,9,0.1,1,0.0,0.0,0.0,0.1,0.1,bounded_adaptive,0.65,0.95,0.771519124507904,0.6499999761581421,0.949999988079071,12,0,0.86,50,50,1.0,,,True,0,1.75,0.3,,10,0.2,5,0.06,0.86,-2.15
MV-ACC,Calibration,Day1 held-out known,10,50,0,1,9,0.1,1,0.0,0.0,0.0,0.1,0.1,bounded_adaptive,0.65,0.95,0.771519124507904,0.6499999761581421,0.949999988079071,12,0,0.74,50,50,1.0,,,True,0,1.75,0.3,,10,0.2,5,0.08,0.74,-2.15
MV-ACC,Calibration,Day1 held-out known,10,50,0,1,9,0.1,1,0.0,0.0,0.0,0.1,0.1,bounded_adaptive,0.65,0.95,0.771519124507904,0.6499999761581421,0.949999988079071,12,0,0.78,50,50,1.0,,,True,0,1.75,0.3,,10,0.2,5,0.08,0.78,-2.15
MV-ACC,Calibration,Day1 held-out known,10,50,0,1,9,0.1,1,0.0,0.0,0.0,0.1,0.1,bounded_adaptive,0.65,0.95,0.771519124507904,0.6499999761581421,0.949999988079071,12,0,0.82,50,50,1.0,,,True,0,1.75,0.3,,10,0.2,5,0.08,0.82,-2.15
MV-ACC,Calibration,Day1 held-out known,10,50,0,1,9,0.1,1,0.0,0.0,0.0,0.1,0.1,bounded_adaptive,0.65,0.95,0.771519124507904,0.6499999761581421,0.949999988079071,12,0,0.86,50,50,1.0,,,True,0,1.75,0.3,,10,0.2,5,0.08,0.86,-2.15
