Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Fusion,Alpha Min,Alpha Max,Adaptive Weight Mean,Adaptive Weight Min,Adaptive Weight Max,Iter Merge Rounds,Iter Merge Total Merges,Iter Merge Threshold,Noise Before Reassignment,Noise Reassigned,Assignment Coverage,Assignment Score Mean,Assignment Score Min,No-cluster Fallback,Adaptive Split Count,Adaptive Split Size Factor,Adaptive Split Silhouette Threshold,Adaptive Split Silhouette Mean,MVACC Min Cluster Size,MVACC Min Cluster Ratio,MVACC Min Samples
Deep only,R1,Day 2,10,350,8,8,2,0.8,8,0.06285714285714286,0.8564929195664592,0.733980790593177,0.8048780487804879,0.7542857142857143,,,,,,,,,,,,,,,,,,,,,,
Deep only,R2,Day 3,10,350,11,11,1,1.1,11,0.06857142857142857,0.9136519623354605,0.8733369645281187,0.99079754601227,0.8771428571428571,,,,,,,,,,,,,,,,,,,,,,
Deep only,R3,Day 4,10,350,11,11,1,1.1,11,0.13714285714285715,0.8270596495619472,0.7229866598238779,0.9370860927152318,0.7685714285714286,,,,,,,,,,,,,,,,,,,,,,
RF only,R1,Day 2,10,350,2,2,8,0.2,2,0.04,0.36980525226610383,0.0996080246255584,0.20833333333333334,0.2,,,,,,,,,,,,,,,,,,,,,,
RF only,R2,Day 3,10,350,9,9,1,0.9,9,0.26857142857142857,0.8069674634413148,0.598927716805083,0.98828125,0.7228571428571429,,,,,,,,,,,,,,,,,,,,,,
RF only,R3,Day 4,10,350,8,8,2,0.8,8,0.19142857142857142,0.7502362230637958,0.5427393808880985,0.7915194346289752,0.6085714285714285,,,,,,,,,,,,,,,,,,,,,,
Graph fusion (raw),R1,Day 2,10,350,12,12,2,1.2,12,0.022857142857142857,0.8514231805420792,0.7158284688449839,0.8567251461988304,0.7257142857142858,bounded_adaptive,0.65,0.95,0.7955154776573181,0.6499999761581421,0.949999988079071,,,,,,,,,,,,,,,,
Graph fusion (raw),R2,Day 3,10,350,14,14,4,1.4,14,0.011428571428571429,0.903269358283433,0.8255233829366563,0.9797687861271677,0.8171428571428572,bounded_adaptive,0.65,0.95,0.8001561760902405,0.6499999761581421,0.949999988079071,,,,,,,,,,,,,,,,
Graph fusion (raw),R3,Day 4,10,350,13,13,3,1.3,13,0.045714285714285714,0.841717836454692,0.7730237470245656,0.9161676646706587,0.7685714285714286,bounded_adaptive,0.65,0.95,0.8014293313026428,0.6499999761581421,0.949999988079071,,,,,,,,,,,,,,,,
No-drop consolidation (ablation),R1,Day 2,10,350,12,10,0,1.0,10,0.0,0.880345826968159,0.776938599790848,0.8514285714285714,0.8114285714285714,bounded_adaptive,0.65,0.95,0.7955154776573181,0.6499999761581421,0.949999988079071,5.0,2.0,0.78,8.0,8.0,1.0,0.8312419056892395,0.6864845752716064,False,,,,,,,
No-drop consolidation (ablation),R2,Day 3,10,350,14,12,2,1.2,12,0.0,0.9296465640374785,0.8898698841973541,0.9742857142857143,0.8971428571428571,bounded_adaptive,0.65,0.95,0.8001561760902405,0.6499999761581421,0.949999988079071,5.0,2.0,0.78,4.0,4.0,1.0,0.8553297519683838,0.7396643161773682,False,,,,,,,
No-drop consolidation (ablation),R3,Day 4,10,350,13,13,3,1.3,13,0.0,0.8708902296244981,0.7986343384914386,0.9114285714285715,0.7942857142857143,bounded_adaptive,0.65,0.95,0.8014293313026428,0.6499999761581421,0.949999988079071,5.0,0.0,0.78,16.0,16.0,1.0,0.8800226449966431,0.6912598013877869,False,,,,,,,
MV-ACC,R1,Day 2,10,350,12,10,0,1.0,10,0.0,0.9177525982964461,0.8906723897946268,0.9457142857142857,0.9457142857142857,bounded_adaptive,0.65,0.95,0.7955154776573181,0.6499999761581421,0.949999988079071,12.0,3.0,0.78,8.0,8.0,1.0,0.886642336845398,0.8413742780685425,False,1.0,1.75,0.3,0.47249069809913635,10.0,0.02857142857142857,5.0
MV-ACC,R2,Day 3,10,350,14,10,0,1.0,10,0.0,0.9550060534353985,0.9434057821476358,0.9742857142857143,0.9742857142857143,bounded_adaptive,0.65,0.95,0.8001561760902405,0.6499999761581421,0.949999988079071,12.0,4.0,0.78,4.0,4.0,1.0,0.8226473331451416,0.6766229867935181,False,0.0,1.75,0.3,,10.0,0.02857142857142857,5.0
MV-ACC,R3,Day 4,10,350,13,12,2,1.2,12,0.0,0.8819486214459386,0.8172802930775234,0.9085714285714286,0.8342857142857143,bounded_adaptive,0.65,0.95,0.8014293313026428,0.6499999761581421,0.949999988079071,12.0,1.0,0.78,16.0,16.0,1.0,0.9220534563064575,0.8346778154373169,False,0.0,1.75,0.3,,10.0,0.02857142857142857,5.0
