Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Old Class Bonus,Macro F1
Initial model,Initial,2021_03_01,day1_eval_initial_30pct,10,-,-,-,150,0.9733333333333334,0.9733333333333334,,0.9733333333333334,0.0,0.0,0.9732142857142858
Deep only,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,8,8,300,0.7866666666666666,0.8533333333333334,0.72,0.8533333333333334,0.12,0.0,0.7406065533705852
Deep only,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,11,11,450,0.6711111111111111,0.56,0.8933333333333333,0.7133333333333334,0.26,0.0,0.6395190416751454
Deep only,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,11,11,600,0.49666666666666665,0.42,0.7266666666666667,0.62,0.3533333333333334,0.0,0.4479983975688375
RF only,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,2,2,300,0.44666666666666666,0.7533333333333333,0.14,0.7533333333333333,0.22000000000000008,0.0,0.354272479812773
RF only,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,9,9,450,0.5311111111111111,0.38666666666666666,0.82,0.6733333333333333,0.30000000000000004,0.0,0.4563414975607896
RF only,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,8,8,600,0.45166666666666666,0.4022222222222222,0.6,0.5866666666666667,0.3866666666666667,0.0,0.3736672427929323
Graph fusion (raw),After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,12,12,300,0.7533333333333333,0.8133333333333334,0.6933333333333334,0.8133333333333334,0.16000000000000003,0.0,0.7496084222051463
Graph fusion (raw),After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,14,14,450,0.6822222222222222,0.6366666666666667,0.7733333333333333,0.7133333333333334,0.26,0.0,0.6916239570692622
Graph fusion (raw),After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,13,13,600,0.6066666666666667,0.5533333333333333,0.7666666666666667,0.6266666666666667,0.3466666666666667,0.0,0.5959365240832073
No-drop consolidation (ablation),After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,10,10,300,0.82,0.8533333333333334,0.7866666666666666,0.8533333333333334,0.12,0.0,0.7899683794522003
No-drop consolidation (ablation),After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,12,12,450,0.7422222222222222,0.67,0.8866666666666667,0.7533333333333333,0.22000000000000008,0.0,0.7355158491584332
No-drop consolidation (ablation),After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,13,13,600,0.6133333333333333,0.5666666666666667,0.7533333333333333,0.6266666666666667,0.3466666666666667,0.0,0.6053927734740252
MV-ACC,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,10,10,300,0.8833333333333333,0.8533333333333334,0.9133333333333333,0.8533333333333334,0.12,0.0,0.8626074869993771
MV-ACC,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,10,10,450,0.8,0.7033333333333334,0.9933333333333333,0.6866666666666666,0.28666666666666674,0.0,0.773792746465764
MV-ACC,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,12,12,600,0.69,0.6444444444444445,0.8266666666666667,0.6066666666666667,0.3666666666666667,0.0,0.6481136158647172
