Method,Round,Cluster Count,Incremental Pseudo-label Classes,Cluster Count Error,Sample Coverage,Purity,NMI,ARI,Hungarian Acc,Overall Acc,New Acc,Forgetting Rate
Deep only,R1,8,8,2,0.9371428571428572,0.8048780487804879,0.8564929195664592,0.733980790593177,0.7542857142857143,0.7866666666666666,0.72,0.12
Deep only,R2,11,11,1,0.9314285714285714,0.99079754601227,0.9136519623354605,0.8733369645281187,0.8771428571428571,0.6711111111111111,0.8933333333333333,0.26
Deep only,R3,11,11,1,0.8628571428571429,0.9370860927152318,0.8270596495619472,0.7229866598238779,0.7685714285714286,0.49666666666666665,0.7266666666666667,0.3533333333333334
RF only,R1,2,2,8,0.96,0.20833333333333334,0.36980525226610383,0.0996080246255584,0.2,0.44666666666666666,0.14,0.22000000000000008
RF only,R2,9,9,1,0.7314285714285714,0.98828125,0.8069674634413148,0.598927716805083,0.7228571428571429,0.5311111111111111,0.82,0.30000000000000004
RF only,R3,8,8,2,0.8085714285714286,0.7915194346289752,0.7502362230637958,0.5427393808880985,0.6085714285714285,0.45166666666666666,0.6,0.3866666666666667
Graph fusion (raw),R1,12,12,2,0.9771428571428571,0.8567251461988304,0.8514231805420792,0.7158284688449839,0.7257142857142858,0.7533333333333333,0.6933333333333334,0.16000000000000003
Graph fusion (raw),R2,14,14,4,0.9885714285714285,0.9797687861271677,0.903269358283433,0.8255233829366563,0.8171428571428572,0.6822222222222222,0.7733333333333333,0.26
Graph fusion (raw),R3,13,13,3,0.9542857142857143,0.9161676646706587,0.841717836454692,0.7730237470245656,0.7685714285714286,0.6066666666666667,0.7666666666666667,0.3466666666666667
No-drop consolidation (ablation),R1,10,10,0,1.0,0.8514285714285714,0.880345826968159,0.776938599790848,0.8114285714285714,0.82,0.7866666666666666,0.12
No-drop consolidation (ablation),R2,12,12,2,1.0,0.9742857142857143,0.9296465640374785,0.8898698841973541,0.8971428571428571,0.7422222222222222,0.8866666666666667,0.22000000000000008
No-drop consolidation (ablation),R3,13,13,3,1.0,0.9114285714285715,0.8708902296244981,0.7986343384914386,0.7942857142857143,0.6133333333333333,0.7533333333333333,0.3466666666666667
MV-ACC,R1,10,10,0,1.0,0.9457142857142857,0.9177525982964461,0.8906723897946268,0.9457142857142857,0.8833333333333333,0.9133333333333333,0.12
MV-ACC,R2,10,10,0,1.0,0.9742857142857143,0.9550060534353985,0.9434057821476358,0.9742857142857143,0.8,0.9933333333333333,0.28666666666666674
MV-ACC,R3,12,12,2,1.0,0.9085714285714286,0.8819486214459386,0.8172802930775234,0.8342857142857143,0.69,0.8266666666666667,0.3666666666666667
