x,y,true_label,cluster_label
48.65577,-36.849422,20,-1
41.93683,-40.636456,20,-1
48.20489,-36.594563,20,-1
15.865771,-48.526638,20,9
45.94962,-42.327965,20,-1
20.780737,-40.719383,20,9
20.60517,-41.36857,20,9
14.876722,-52.590534,20,9
48.501163,-37.112934,20,-1
14.667282,-50.413628,20,9
40.77805,-39.55176,20,-1
14.459007,-51.956795,20,9
14.941904,-45.29189,20,9
15.441244,-41.38728,20,9
16.449648,-47.779366,20,9
17.084677,-40.28026,20,9
46.166122,-41.44264,20,-1
41.58832,-39.926857,20,-1
13.964468,-52.995083,20,9
13.983905,-49.472385,20,9
47.472534,-42.021847,20,-1
46.39371,-42.089146,20,-1
18.37932,-40.670998,20,9
19.00424,-40.760082,20,9
40.49529,-40.580116,20,-1
15.026825,-44.8526,20,9
45.391495,-41.608383,20,-1
15.955151,-47.23233,20,9
14.816879,-42.411457,20,-1
14.127551,-53.29925,20,9
20.133286,-40.973034,20,9
13.814186,-48.88689,20,9
14.809673,-42.991985,20,9
13.162053,-47.236115,20,9
41.1344,-40.773544,20,-1
1.4090997,-18.556396,21,6
5.332244,-14.108938,21,6
2.8436387,-6.1101604,21,6
1.0670863,-18.641333,21,6
11.30609,-14.709522,21,6
2.3488119,-9.699489,21,6
5.2092047,-18.32586,21,6
8.12346,-15.358816,21,6
7.5653253,-5.19067,21,6
3.1730099,-5.811018,21,6
11.177966,-6.3385215,21,6
1.024801,-20.33392,21,6
1.8666975,-8.134921,21,6
8.383205,-15.245729,21,6
0.6913379,-15.026357,21,6
1.9464098,-8.861015,21,6
4.013147,-11.368225,21,6
11.91142,-7.505982,21,6
9.47676,-6.8804493,21,6
3.4954636,-14.12946,21,6
5.2345986,-4.2702103,21,-1
11.829055,-7.622013,21,6
12.482326,-13.368526,21,6
11.066859,-5.7476063,21,6
0.73985076,-17.846561,21,6
6.952284,-14.730328,21,6
9.148249,-6.798667,21,6
7.6461153,-5.064686,21,6
7.589314,-3.8686113,21,6
11.667318,-14.487543,21,6
5.3668637,-12.782676,21,6
0.9444662,-14.719159,21,6
4.8905244,-13.973322,21,6
3.0848756,-12.350858,21,6
5.165889,-18.244957,21,6
-38.19375,42.74175,22,4
-37.50841,38.497967,22,4
-38.42733,42.355694,22,4
-35.402966,43.420868,22,4
-34.889866,43.63858,22,4
-36.569313,40.01193,22,4
10.510489,66.789185,22,3
15.09373,71.38037,22,3
18.80508,64.791985,22,3
12.138801,64.944565,22,3
11.2870455,64.91887,22,3
-34.45809,38.141052,22,4
17.77096,64.46645,22,3
11.390691,66.79024,22,3
-35.22853,41.504486,22,4
14.033254,64.148506,22,3
14.365934,70.99514,22,3
12.6353655,64.547966,22,3
18.82707,65.42599,22,3
-34.13528,36.604893,22,4
15.85036,70.52295,22,3
-46.320133,24.362276,22,-1
15.768411,70.07603,22,3
10.039196,64.35914,22,3
11.53181,66.30279,22,3
-38.65955,41.124207,22,4
19.153133,66.50608,22,3
-35.809788,41.326168,22,4
-33.623684,38.46429,22,4
-32.905277,39.36995,22,4
14.60057,70.44933,22,3
-35.330376,39.75384,22,4
18.190027,63.98752,22,3
-32.768772,39.923004,22,4
-34.565594,37.114986,22,4
-42.677155,-26.540886,23,8
-48.008995,-7.9666023,23,8
-45.31272,-29.200256,23,8
-42.904346,-27.631098,23,8
-47.66699,-16.65586,23,8
-45.159092,-16.119118,23,8
-39.451126,-26.115528,23,8
-47.704823,-10.521185,23,8
-46.466152,-11.928474,23,8
-46.854195,-19.44747,23,8
-43.733307,-27.748344,23,8
-65.74107,0.58575237,23,7
-47.981327,-9.280652,23,8
-48.362957,-10.122374,23,8
-45.272495,-28.086344,23,8
-46.626236,-18.808702,23,8
-46.83438,-15.888671,23,8
-46.15428,-12.563455,23,8
-45.788692,-16.148066,23,8
-47.51489,-9.917086,23,8
-45.755653,-20.01346,23,8
-41.343807,-25.56433,23,8
44.49397,-34.746193,23,-1
-38.827774,-26.49669,23,8
-43.097218,-28.741034,23,8
-47.03135,-26.18953,23,8
44.494347,-34.7461,23,-1
-51.37629,1.4014454,23,8
-45.171818,-19.190523,23,8
-46.810253,-26.051733,23,8
-44.393837,-27.666676,23,8
-45.279858,-21.1007,23,8
-48.47134,-17.55891,23,8
-66.44065,0.14746335,23,7
-38.39902,-26.780796,23,8
35.53692,25.251925,24,1
35.31295,34.32067,24,1
32.98144,33.64238,24,1
42.470062,25.59799,24,1
45.060272,26.862791,24,1
37.264202,26.81408,24,1
36.2372,24.774097,24,1
35.885822,25.559702,24,1
46.714306,22.164448,24,1
43.72083,21.729713,24,1
44.859985,21.307743,24,1
53.378284,29.405163,24,1
36.714073,28.651396,24,1
52.786842,28.274942,24,1
48.377712,26.974663,24,1
44.581062,26.606056,24,1
34.343266,33.77493,24,1
55.53229,29.8419,24,1
52.507652,27.54034,24,1
37.11581,27.11101,24,1
40.868416,26.183716,24,1
34.86412,-7.8400025,24,-1
43.838707,22.676748,24,1
46.881718,22.522516,24,1
43.62459,23.386269,24,1
53.911694,28.710814,24,1
40.2494,26.3416,24,1
34.387722,33.276398,24,1
34.23449,32.07543,24,1
43.34522,24.211657,24,1
42.77691,21.446512,24,1
33.41321,33.02375,24,1
54.93745,29.173893,24,1
46.55614,20.550913,24,1
53.91146,29.539305,24,1
-63.668785,1.7258427,25,7
-57.945778,11.914135,25,7
-64.085045,2.5759215,25,7
-58.423187,11.370301,25,7
-57.287464,8.099772,25,7
