x,y,true_label,cluster_label
-13.297077,-1.6093069,20,9
-13.561289,-1.3445736,20,9
-13.189081,-1.7173492,20,9
-3.1131444,-8.476316,20,9
-13.317897,-1.588647,20,9
-2.517078,-8.115282,20,9
-2.4638348,-8.06188,20,9
-3.5695484,-8.683202,20,9
-13.204548,-1.7019355,20,9
-3.2141905,-8.5285,20,9
-13.482121,-1.424235,20,9
-3.6595902,-8.754206,20,9
-3.4072604,-8.563403,20,9
-2.4858243,-8.082752,20,9
-3.368863,-8.623936,20,9
-2.406026,-8.003384,20,9
-13.483383,-1.4229991,20,9
-13.608762,-1.2970464,20,9
-3.6312995,-8.744663,20,9
-3.1383824,-8.450809,20,9
-13.390536,-1.5160064,20,9
-13.36474,-1.5419749,20,9
-2.6148703,-8.198988,20,9
-3.2511613,-8.537828,20,9
-13.592977,-1.3128576,20,9
-2.4372764,-8.03584,20,9
-13.442742,-1.463844,20,9
-3.5078762,-8.66116,20,9
-2.5780025,-8.16324,20,9
-3.6335948,-8.742299,20,9
-2.587669,-8.18559,20,9
-3.4841716,-8.653265,20,9
-2.704302,-8.266612,20,9
-3.5842855,-8.6997795,20,9
-13.607447,-1.298463,20,9
1.348148,4.8065624,21,6
1.526037,4.489378,21,6
0.8692031,5.9291863,21,6
1.5631908,4.4216394,21,6
1.765087,4.049908,21,6
0.9861514,5.5385847,21,6
1.6978872,4.11976,21,6
1.452997,4.625563,21,6
0.8506521,5.9747024,21,6
0.851647,5.955607,21,6
1.4806286,4.589494,21,6
1.7196287,4.1061807,21,6
0.97693664,5.428,21,6
1.746468,4.0573277,21,6
1.0598358,5.394555,21,6
0.9180409,5.537229,21,6
1.0819271,5.232198,21,6
1.4168491,4.5592685,21,6
1.2723484,4.895304,21,6
1.4235593,4.6521034,21,6
0.9055299,5.5971894,21,6
1.7365507,4.0204554,21,6
1.7386605,4.111614,21,6
0.8024295,6.015684,21,6
1.0408071,5.2948337,21,6
1.7184088,4.0815544,21,6
0.9829951,5.4735136,21,6
0.8463016,5.9720774,21,6
1.3843176,4.630009,21,6
1.7840326,4.047841,21,6
1.0922778,5.1675696,21,6
1.3243324,4.737466,21,6
1.4407114,4.6305976,21,6
0.87940735,5.5651526,21,6
1.7056379,4.0963297,21,6
4.704636,19.706959,22,0
5.032898,20.313528,22,0
4.5610228,19.485409,22,0
5.0123277,20.376652,22,0
4.9801497,20.349455,22,0
5.0296836,20.386284,22,0
4.53826,19.462433,22,0
-11.16543,18.734983,22,0
-11.04928,18.850773,22,0
-11.120512,18.779907,22,0
-11.19776,18.702805,22,0
4.9161053,20.242842,22,0
-11.22199,18.678495,22,0
4.5308967,19.457176,22,0
4.97562,20.332237,22,0
-11.230375,18.67024,22,0
4.561619,19.486578,22,0
-11.088015,18.812437,22,0
-11.109573,18.790796,22,0
4.883148,20.226952,22,0
-11.263154,18.637701,22,0
-4.9413238,21.143082,22,5
-11.2650385,18.635769,22,0
4.507767,19.42639,22,0
-11.026651,18.87352,22,0
4.993762,20.17823,22,0
-11.019982,18.880472,22,0
4.9009914,20.214933,22,0
4.9094906,20.268772,22,0
4.897365,20.258652,22,0
-11.155952,18.744694,22,0
4.9726286,20.316828,22,0
-11.199865,18.700764,22,0
4.858317,20.238754,22,0
4.919455,20.256386,22,0
6.349646,10.727126,23,3
7.5814586,8.382459,23,3
6.071841,10.761204,23,3
6.0908995,10.7832155,23,3
7.124194,10.144703,23,3
6.8521314,10.468566,23,3
5.969741,10.719044,23,3
7.666363,8.410747,23,3
7.5767374,8.315945,23,3
7.0325093,10.253564,23,3
6.2094045,10.762302,23,3
-1.8833368,21.14541,23,5
7.598148,8.345611,23,3
7.605711,8.343807,23,3
5.9683414,10.711264,23,3
6.627794,10.66532,23,3
7.11627,10.129761,23,3
7.531995,8.305778,23,3
6.896,10.413488,23,3
7.606539,8.348559,23,3
6.695148,10.622427,23,3
6.8653684,10.451656,23,3
-13.227856,-1.6786737,23,9
6.0257626,10.788697,23,3
6.131912,10.763165,23,3
7.089293,10.186397,23,3
-13.248195,-1.6583937,23,9
-1.8452725,21.189596,23,5
6.639393,10.648889,23,3
6.751672,10.556027,23,3
6.344497,10.748637,23,3
6.588948,10.66769,23,3
7.077744,10.206251,23,3
-1.8662897,21.143492,23,5
6.067516,10.777965,23,3
7.254684,-8.118881,24,8
16.514866,-1.4083025,24,8
7.256193,-8.291581,24,8
7.53895,-9.33337,24,8
16.403719,-1.294464,24,8
7.225928,-8.108442,24,8
7.2592626,-8.083023,24,8
7.3024445,-8.028686,24,8
16.547695,-1.4394168,24,8
7.573359,-9.377946,24,8
7.4684873,-9.150384,24,8
16.406504,-1.2965331,24,8
7.263257,-8.309971,24,8
16.45951,-1.3494259,24,8
16.33892,-1.2288665,24,8
16.604519,-1.4982442,24,8
7.4482155,-8.93558,24,8
16.403357,-1.2932751,24,8
16.442982,-1.3332529,24,8
7.2755537,-8.0680685,24,8
7.339478,-8.769939,24,8
-8.220134,-4.301795,24,7
7.531447,-9.327153,24,8
16.599436,-1.491768,24,8
7.528021,-9.323879,24,8
16.396706,-1.2865783,24,8
7.2969084,-8.477025,24,8
7.316398,-8.557789,24,8
7.3237,-8.448415,24,8
7.5478287,-9.344774,24,8
7.273376,-8.404515,24,8
7.210262,-8.2320385,24,8
16.32738,-1.2171705,24,8
7.50521,-9.268961,24,8
16.31723,-1.2073168,24,8
-1.8358842,21.07891,25,5
-2.9353285,20.75534,25,5
-1.9177006,21.089949,25,5
-2.1239662,21.007679,25,5
-2.9224217,20.790537,25,5
-4.205179,20.788054,25,5
-4.385043,20.8472,25,5
-2.259958,20.978039,25,5
-2.7276812,20.868599,25,5
-1.9451122,21.069418,25,5
-4.7498393,20.989565,25,5
-4.6296153,20.914238,25,5
-4.3317556,20.818369,25,5
-4.884801,21.103022,25,5
