x,y,true_label,cluster_label
-0.14556381,4.7019744,10,1
-0.47150585,4.795316,10,1
-0.09742879,4.8998613,10,1
-0.5741342,5.0151434,10,1
-0.5868344,4.983847,10,1
-0.67063296,4.5571485,10,1
-0.43240434,4.247967,10,1
-0.19058774,4.782117,10,1
-0.72799695,4.3866935,10,1
-0.63707566,5.009277,10,1
-0.67398703,4.0669956,10,1
-0.5201199,4.6350255,10,1
-0.5045692,4.1955347,10,1
-0.24419416,4.4637146,10,1
-0.18107854,4.515972,10,1
-0.7108282,4.524008,10,1
-0.77847534,4.3218007,10,1
-0.60635895,4.933225,10,1
-0.31830326,4.393392,10,1
-0.6483143,4.1208386,10,1
-0.20983307,4.6526794,10,1
-2.5750833,8.549058,10,1
-0.67610806,4.5540776,10,1
-0.14649275,4.7344446,10,1
-0.55461395,4.131291,10,1
-0.80457973,4.236957,10,1
-0.5446913,4.162069,10,1
-2.5247476,7.427776,10,1
-0.21872915,4.5115952,10,1
-0.71128476,4.833832,10,1
-0.7300245,4.7971663,10,1
-0.4985223,5.091408,10,1
-0.7630538,4.1463733,10,1
-0.09415751,4.685538,10,1
-0.5044011,4.118818,10,1
-2.3969486,8.494231,11,1
-5.0785284,12.772605,11,1
-2.4142067,8.510004,11,1
-2.5239727,8.458568,11,1
-2.7456474,8.13455,11,1
-2.4441147,8.407913,11,1
0.62776023,14.661707,11,-1
-5.0712156,12.766132,11,1
-2.5976713,7.9196906,11,1
-0.7405933,13.3802595,11,-1
-2.3091674,8.365881,11,1
-2.6599905,7.8289227,11,1
0.60263896,14.639605,11,-1
-5.1598787,12.783349,11,1
-2.3790452,8.203177,11,1
-2.199603,8.765572,11,1
-5.1065903,12.766515,11,1
-5.104746,12.786127,11,1
-2.6683483,8.215937,11,1
-0.16899788,14.036982,11,-1
-5.1168947,12.781373,11,1
0.61661994,14.650873,11,-1
-2.1915383,8.429878,11,1
-2.552943,8.037704,11,1
-2.2689884,8.584126,11,1
0.68373305,14.717716,11,-1
0.65671235,14.690998,11,-1
-2.6421068,8.135943,11,1
0.36545882,14.337607,11,-1
-2.410934,8.410875,11,1
-2.5034182,8.570405,11,1
-2.7863324,7.8754525,11,1
-2.7466497,8.202631,11,1
-2.7699385,7.6276326,11,-1
0.6418786,14.6768,11,-1
-6.438242,-0.7670799,12,1
-5.556345,-0.97607666,12,1
-5.57931,-0.95318466,12,1
-7.2497516,-1.3910451,12,1
-7.2090926,-1.5030634,12,1
-6.8773146,-1.0115483,12,1
-6.1910353,-0.7760022,12,1
-6.9638,-1.686468,12,1
-6.652394,-0.8570732,12,1
-5.5539556,-1.0133594,12,1
-6.9941816,-1.0928205,12,1
-6.160817,-0.7899264,12,1
-5.5453725,-0.9975996,12,1
-7.0401006,-1.6188322,12,1
-7.330698,-1.275492,12,1
-6.585991,-0.8313222,12,1
-6.9981904,-1.649344,12,1
-5.626966,-0.8994132,12,1
-5.817708,-0.8125317,12,1
-6.7261105,-0.8993577,12,1
-6.231144,-0.766298,12,1
-5.922988,-0.7856747,12,1
-5.61645,-0.9202774,12,1
-5.760462,-0.8438862,12,1
-7.218746,-1.4014454,12,1
-6.8526344,-0.9843863,12,1
-7.166847,-1.5922203,12,1
-6.5101457,-0.7767164,12,1
-6.378266,-0.729326,12,1
-7.285661,-1.2951198,12,1
-5.538189,-0.98268485,12,1
-7.101981,-1.5416449,12,1
-7.1227856,-1.1726938,12,1
-7.2601047,-1.4682363,12,1
-7.26443,-1.2798932,12,1
14.755783,-0.3892312,13,0
14.957712,0.258903,13,0
14.352628,-0.3412422,13,0
14.701555,-0.44606996,13,0
14.870299,0.6387368,13,0
15.077612,0.47444952,13,0
15.101943,0.59152454,13,0
14.456056,0.2508705,13,0
14.899244,0.33782175,13,0
15.126338,0.25342634,13,0
14.649408,0.39476413,13,0
14.836289,0.5716325,13,0
14.193179,-0.3345478,13,0
