x,y,true_label,cluster_label
3.9558928,0.018574217,20,-1
4.7744703,-0.019755801,20,5
4.7200503,-0.051906478,20,-1
4.7564707,-0.01369449,20,5
4.2206864,-0.51268184,20,-1
4.8102565,0.09571988,20,5
4.8005457,0.057868592,20,5
4.4311957,0.51373315,20,5
4.26599,-0.36170292,20,-1
3.9304638,0.1749114,20,5
4.778627,-0.045874078,20,-1
4.189339,0.4248432,20,5
4.035803,-0.34770563,20,5
4.0448565,-0.45003283,20,5
3.874826,0.15960602,20,5
4.2134757,0.40614098,20,5
4.1183796,-0.48561165,20,5
4.620493,0.29761964,20,5
4.0553045,0.29307318,20,5
3.8009636,0.028302947,20,-1
4.045088,-0.46620816,20,-1
4.2416778,-0.5497976,20,5
4.2879148,0.46898043,20,5
4.3386183,0.48557618,20,5
3.8969502,0.09554339,20,5
4.537238,0.41491306,20,5
4.646137,0.19823098,20,-1
4.111317,-0.46660906,20,-1
4.1880164,-0.5186545,20,5
4.079745,0.36877528,20,5
4.550871,0.36682278,20,-1
3.8488915,-0.02776545,20,5
3.9226058,-0.1311312,20,5
4.374076,0.59381616,20,-1
3.8154085,-0.041401006,20,5
-3.5095391,-2.6538932,21,1
-2.6473513,-1.0152818,21,1
-2.5127523,-0.8597125,21,1
-3.5352356,-2.6620007,21,1
-2.7108376,-1.0612162,21,1
-3.1276662,-2.102933,21,1
-3.4692447,-2.7290878,21,1
-2.5612006,-0.9045969,21,1
-2.4265547,-0.77180487,21,1
-2.4249437,-0.774422,21,1
-3.149027,-2.0803487,21,1
-3.2763262,-2.5401368,21,1
-3.4619823,-2.636033,21,1
-2.6968198,-1.0449963,21,1
-3.2199838,-2.2785063,21,1
-3.1502693,-2.138231,21,1
-2.6652546,-1.0109394,21,1
-3.1641774,-2.405968,21,1
-3.1172915,-2.1496658,21,1
-3.135665,-2.222094,21,1
-3.3055775,-2.5571694,21,1
-3.2611551,-2.5119085,21,1
-3.2970417,-2.1710243,21,1
-2.3298562,-0.7503673,21,1
-3.540951,-2.660412,21,1
-2.8745248,-1.452431,21,1
-3.185099,-2.2624254,21,1
-2.3951323,-0.7421406,21,1
-2.6666927,-1.0169206,21,1
-2.729323,-1.0962327,21,1
-2.3409076,-0.68786824,21,1
-3.4587927,-2.695558,21,1
-2.7833555,-1.1478401,21,1
-2.4437425,-0.7879756,21,1
-3.3451853,-2.612467,21,1
3.937694,9.769234,22,-1
3.7070732,9.041509,22,-1
4.002361,9.737208,22,-1
3.7948391,9.775424,22,-1
3.8974054,9.814919,22,-1
4.0356755,9.469692,22,-1
10.390422,9.056597,22,7
10.49041,9.082345,22,7
10.044351,9.10674,22,7
10.422978,9.074011,22,7
10.434123,9.1428175,22,7
3.6537166,9.144618,22,-1
10.403349,9.046238,22,7
9.929372,9.229461,22,7
3.842356,9.822243,22,-1
9.90656,9.230041,22,7
10.521329,8.957948,22,7
10.422539,9.133044,22,7
10.011648,9.047418,22,7
3.6454117,9.080321,22,-1
10.0299425,9.22852,22,7
10.462353,9.116624,22,7
10.108654,8.87465,22,7
9.935835,9.205566,22,7
9.98224,9.132755,22,7
3.9686341,9.34681,22,-1
10.236623,9.365795,22,7
3.7223654,9.704006,22,-1
3.6563625,9.081203,22,-1
3.6644769,9.091097,22,-1
10.489458,9.043491,22,7
3.9431286,9.762238,22,-1
9.947369,9.235036,22,7
3.7727954,9.75618,22,-1
3.6095147,9.42488,22,-1
12.709755,8.870632,23,0
13.056432,8.286554,23,0
13.005224,8.2237425,23,0
12.866473,8.322859,23,0
12.898184,8.762564,23,0
12.796526,8.348436,23,0
12.527411,8.845528,23,0
13.093167,8.810131,23,0
12.799444,8.185469,23,0
13.255944,8.645074,23,0
13.048735,8.886171,23,0
15.926177,4.5572615,23,-1
13.127997,8.476518,23,0
13.265692,8.768528,23,0
12.565248,8.862759,23,0
12.657904,8.829629,23,0
12.56335,8.202547,23,0
12.469309,8.258217,23,-1
12.804683,8.176007,23,0
13.147316,8.845093,23,0
12.474764,8.888319,23,0
13.246942,8.80314,23,0
4.355481,-0.28761733,23,-1
12.966106,8.810673,23,0
13.196013,8.612158,23,0
13.228179,8.461968,23,0
4.387632,-0.27655298,23,-1
13.347395,8.722204,23,-1
12.464411,8.326606,23,0
12.566341,8.241303,23,0
13.1764345,8.440363,23,0
12.640574,8.812706,23,0
12.6847,8.28288,23,0
15.941147,4.621639,23,-1
12.510202,8.335709,23,0
4.792862,5.7988777,24,6
5.101393,5.1432686,24,6
5.2315974,5.5215654,24,6
4.4070754,4.907381,24,6
4.0593395,5.3002872,24,6
4.910569,5.8745565,24,6
4.32584,6.0306954,24,6
5.0168815,5.650478,24,6
4.3295536,5.7149286,24,-1
5.2393594,5.3484936,24,6
3.8800595,5.7227473,24,6
4.1605062,4.8459134,24,6
4.674023,5.027775,24,6
4.0740423,5.232421,24,-1
4.9955153,5.059407,24,6
4.5891347,5.016099,24,6
5.264206,5.4548674,24,6
4.110975,5.4272404,24,-1
4.082777,6.0236735,24,-1
5.1359906,5.5751233,24,6
4.363342,4.7424173,24,6
4.653939,4.760021,24,-1
4.2882657,4.7780137,24,6
4.1952124,5.8280287,24,6
4.282536,4.791284,24,6
3.9650888,4.9067297,24,6
4.4571486,4.7388124,24,6
5.334644,5.299515,24,6
4.6662326,6.006942,24,6
4.330218,4.697375,24,6
5.185179,5.58121,24,6
5.2408047,5.533432,24,6
3.871143,5.017046,24,6
5.2321296,5.293786,24,6
3.8500574,5.06783,24,6
7.5148277,13.765718,25,8
12.039115,8.381892,25,-1
6.748691,13.0540495,25,8
11.958932,8.411167,25,-1
7.285244,13.539473,25,8
6.5161138,12.853961,25,8
6.977049,13.257826,25,8
7.389314,13.613137,25,8
6.4954,12.8296175,25,8
7.3922772,13.632599,25,8
6.5368032,12.880059,25,8
6.6933823,13.013613,25,8
7.4720945,13.723252,25,8
12.223714,8.625742,25,0
7.5184317,13.795882,25,8
6.4978585,12.832871,25,8
12.058651,8.373287,25,-1
6.5613875,12.892994,25,8
6.5585456,12.895231,25,8
7.561786,13.79037,25,8
7.563919,13.873339,25,8
6.4857516,12.818682,25,8
7.6381803,13.898441,25,8
7.064779,13.3361025,25,8
6.6015515,12.934657,25,8
7.354705,13.6293335,25,8
12.586346,8.548035,25,0
6.4756913,12.811712,25,8
7.5451503,13.806701,25,8
6.710095,13.01996,25,8
12.024112,8.403583,25,0
6.880664,13.170426,25,8
7.5965786,13.860523,25,8
6.434462,12.772946,25,8
6.5458226,12.875493,25,8
14.630361,-0.34355173,26,-1
12.481503,8.903788,26,-1
16.019615,4.393344,26,3
15.939662,4.3896265,26,3
16.052124,4.480694,26,3
14.601805,-0.3768902,26,-1
14.635593,-0.34098864,26,-1
14.517912,-0.5205965,26,-1
13.897583,4.1750903,26,-1
16.05663,4.4487686,26,3
14.1343975,4.055062,26,3
15.952808,4.3642926,26,3
14.485093,-0.6717872,26,-1
13.963294,3.8651814,26,3
15.765691,4.286781,26,3
15.961432,4.4933147,26,3
16.107645,4.523602,26,3
14.4078665,-0.83059704,26,-1
12.251181,8.748309,26,-1
14.0935,4.0131955,26,3
12.3312025,8.869925,26,-1
16.083017,4.46282,26,3
14.096805,4.0303164,26,3
14.4063015,-0.8747604,26,-1
12.193496,8.859769,26,-1
14.090916,3.991889,26,3
16.0495,4.445296,26,3
15.671581,4.2013516,26,3
14.127667,4.0434637,26,3
14.641055,-0.32645786,26,-1
14.054065,4.0444336,26,3
13.995954,3.9568286,26,3
14.007268,3.9349804,26,-1
14.354206,-0.8586793,26,-1
14.584676,-0.3815977,26,-1
3.4858818,7.6146426,27,-1
3.9525464,6.78907,27,-1
4.027717,6.657598,27,-1
3.9563816,6.61361,27,-1
3.045199,7.2160745,27,-1
2.9761493,7.263983,27,-1
3.452715,7.1411104,27,-1
4.132948,6.4268804,27,-1
3.910056,6.631648,27,-1
3.5743432,7.1557603,27,-1
3.079166,7.1566033,27,-1
3.308773,7.621004,27,-1
4.0587506,6.580322,27,-1
3.050729,7.2516947,27,-1
3.289063,7.708497,27,-1
4.1459913,7.0141916,27,-1
4.2117705,6.475571,27,-1
4.2178116,6.5388684,27,-1
4.007817,7.211735,27,-1
3.0045986,7.1910195,27,-1
4.165879,7.105142,27,-1
4.28268,6.6514535,27,-1
3.7301555,7.0341277,27,-1
3.3408272,7.647678,27,-1
3.3217063,7.7428126,27,-1
3.4807904,7.140869,27,-1
3.7148144,7.0802736,27,-1
3.8808749,7.334561,27,-1
3.9699302,6.6843805,27,-1
2.9911623,7.241666,27,-1
4.23266,6.579902,27,-1
3.370599,7.6887074,27,-1
3.4044306,7.6606927,27,-1
3.7372255,7.454159,27,-1
2.9703052,7.2945447,27,-1
-0.49145404,6.0508394,28,2
-1.0342346,6.3873115,28,2
-1.1664146,6.3202524,28,2
-0.83362776,5.6362324,28,2
-1.3210365,6.2128286,28,2
-0.7559253,5.687273,28,2
-1.2450182,5.771691,28,2
-0.7450469,5.718352,28,2
-0.7240859,6.5851216,28,2
-0.72051424,6.5993533,28,2
-1.2728447,5.6703095,28,2
-1.3495238,5.9312344,28,2
-0.9997914,6.2501197,28,2
-1.3197799,5.8279943,28,2
-1.0269314,5.5688066,28,2
-1.3094418,6.051206,28,2
-1.1518208,5.5813003,28,2
-0.66513246,6.5661254,28,2
-1.3422394,6.0829687,28,2
-0.54351276,6.4459043,28,2
-0.7830952,5.5979266,28,2
-1.1762887,5.586754,28,2
-0.41924778,6.1987634,28,2
-1.2632073,5.8052764,28,2
-1.0525049,5.5795517,28,2
-1.1490762,6.35745,28,2
-1.0342479,5.5184956,28,2
-0.6287952,6.5460496,28,2
-0.63780564,6.583088,28,2
-0.579433,6.5243845,28,2
-1.3194547,5.68439,28,2
-1.2590486,5.6768093,28,2
-0.4449086,6.217022,28,2
5.051639,5.02111,28,-1
13.926333,-1.4831127,28,-1
13.866036,-0.8353614,29,4
13.660735,-0.91534907,29,4
13.708014,-2.040439,29,4
13.889261,-0.71366364,29,4
13.859834,-0.7028301,29,4
13.988813,-0.68727523,29,4
13.864792,-1.8854295,29,4
13.565265,-0.94919187,29,4
13.594519,-2.1337016,29,4
13.614566,-1.9995443,29,4
13.724146,-1.2013782,29,4
13.48769,-1.5112644,29,4
13.689288,-0.88005245,29,4
13.602965,-2.1013145,29,4
13.989166,-0.66605633,29,4
13.538543,-1.9197277,29,4
13.538739,-2.1168935,29,4
14.111897,-1.1363814,29,4
13.7086,-2.2321336,29,4
13.800826,-1.9200608,29,4
14.0449,-1.241239,29,4
