Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Deep-HDBSCAN + Ft-CNN,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.4785714285714286,0.4785714285714286,,0.4785714285714286,0.0,0.4207395272863172
Deep-HDBSCAN + LwF,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.4785714285714286,0.4785714285714286,,0.4785714285714286,0.0,0.4207395272863172
Deep-HDBSCAN + EEIL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.4785714285714286,0.4785714285714286,,0.4785714285714286,0.0,0.4207395272863172
Deep-HDBSCAN + iCaRL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.6,0.6,,0.6,0.0,0.5870177088626837
Deep-HDBSCAN + TPCIL-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.580952380952381,0.580952380952381,,0.580952380952381,0.0,0.5619748101755446
Deep-HDBSCAN + DOI-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.6,0.6,,0.6,0.0,0.5870177088626837
Deep-HDBSCAN + Ft-CNN,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.31587301587301586,0.3738095238095238,0.2,0.3738095238095238,0.10476190476190478,0.2265304708628264
Deep-HDBSCAN + LwF,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.3126984126984127,0.37142857142857144,0.19523809523809524,0.37142857142857144,0.10714285714285715,0.22456302944676845
Deep-HDBSCAN + iCaRL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.3761904761904762,0.5547619047619048,0.01904761904761905,0.5547619047619048,0.04523809523809519,0.33632732096703594
Deep-HDBSCAN + EEIL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.30317460317460315,0.3547619047619048,0.2,0.3547619047619048,0.12380952380952381,0.22068018993978963
Deep-HDBSCAN + TPCIL-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.38095238095238093,0.5619047619047619,0.01904761904761905,0.5619047619047619,0.01904761904761909,0.34084705453076863
Deep-HDBSCAN + DOI-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.3761904761904762,0.5547619047619048,0.01904761904761905,0.5547619047619048,0.04523809523809519,0.33632732096703594
Deep-HDBSCAN + Ft-CNN,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.22976190476190475,0.24285714285714285,0.19047619047619047,0.36428571428571427,0.11428571428571432,0.16994155700646002
Deep-HDBSCAN + LwF,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.23452380952380952,0.25396825396825395,0.1761904761904762,0.3761904761904762,0.1023809523809524,0.16987508399778412
Deep-HDBSCAN + iCaRL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.3333333333333333,0.3984126984126984,0.1380952380952381,0.5880952380952381,0.011904761904761862,0.2813843027482538
Deep-HDBSCAN + EEIL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.23333333333333334,0.2492063492063492,0.18571428571428572,0.3738095238095238,0.10476190476190478,0.1697053130778915
Deep-HDBSCAN + TPCIL-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.33214285714285713,0.3968253968253968,0.1380952380952381,0.5857142857142857,-0.004761904761904745,0.2803815990560397
Deep-HDBSCAN + DOI-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.33214285714285713,0.3968253968253968,0.1380952380952381,0.5857142857142857,0.014285714285714235,0.280816946107185
Deep-HDBSCAN + Ft-CNN,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.1961904761904762,0.19523809523809524,0.2,0.38571428571428573,0.09285714285714286,0.13726683479683718
Deep-HDBSCAN + LwF,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.17333333333333334,0.15714285714285714,0.23809523809523808,0.3142857142857143,0.1642857142857143,0.11825817230470051
Deep-HDBSCAN + iCaRL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.2561904761904762,0.2916666666666667,0.11428571428571428,0.4880952380952381,0.1119047619047619,0.20966211739317603
Deep-HDBSCAN + EEIL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.19904761904761906,0.1988095238095238,0.2,0.3976190476190476,0.080952380952381,0.13443027431678142
Deep-HDBSCAN + TPCIL-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.25333333333333335,0.2869047619047619,0.11904761904761904,0.4785714285714286,0.1023809523809524,0.20581205342406456
Deep-HDBSCAN + DOI-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.25523809523809526,0.2904761904761905,0.11428571428571428,0.48333333333333334,0.11666666666666664,0.20591370169965273
