Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Ft-CNN,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.4595238095238095,0.4595238095238095,,0.4595238095238095,0.0,0.395884885857697
LwF,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.4595238095238095,0.4595238095238095,,0.4595238095238095,0.0,0.395884885857697
EEIL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.4595238095238095,0.4595238095238095,,0.4595238095238095,0.0,0.395884885857697
iCaRL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5714285714285714,0.5714285714285714,,0.5714285714285714,0.0,0.5565759482599044
TPCIL-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5785714285714286,0.5785714285714286,,0.5785714285714286,0.0,0.5622539374616099
DOI-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5714285714285714,0.5714285714285714,,0.5714285714285714,0.0,0.5565759482599044
Ft-CNN,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.35555555555555557,0.40714285714285714,0.2523809523809524,0.40714285714285714,0.05238095238095236,0.28938348390157365
LwF,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.34285714285714286,0.49047619047619045,0.047619047619047616,0.49047619047619045,-0.030952380952380953,0.26311570796366024
iCaRL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.4158730158730159,0.5,0.24761904761904763,0.5,0.0714285714285714,0.41337190647348293
EEIL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.30952380952380953,0.3,0.32857142857142857,0.3,0.1595238095238095,0.24923023003049707
TPCIL-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.4238095238095238,0.5380952380952381,0.19523809523809524,0.5380952380952381,0.040476190476190554,0.4176051447831692
DOI-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.4142857142857143,0.49047619047619045,0.2619047619047619,0.49047619047619045,0.08095238095238094,0.41576295334753754
Ft-CNN,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.2976190476190476,0.3047619047619048,0.2761904761904762,0.4119047619047619,0.047619047619047616,0.2563689933301662
LwF,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.2904761904761905,0.2968253968253968,0.2714285714285714,0.4452380952380952,0.01428571428571429,0.2267976215541403
iCaRL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.3619047619047619,0.4,0.24761904761904763,0.5166666666666667,0.05476190476190468,0.346502864042206
EEIL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.28095238095238095,0.2619047619047619,0.3380952380952381,0.3238095238095238,0.13571428571428568,0.22479904397401568
TPCIL-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.37976190476190474,0.4142857142857143,0.2761904761904762,0.5452380952380952,0.03333333333333344,0.3591431956366468
DOI-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.35833333333333334,0.4111111111111111,0.2,0.5095238095238095,0.06190476190476191,0.3494122915706822
Ft-CNN,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.20666666666666667,0.15,0.43333333333333335,0.2976190476190476,0.16190476190476188,0.1346430299094632
LwF,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.1895238095238095,0.15833333333333333,0.3142857142857143,0.3119047619047619,0.1476190476190476,0.1294737002241785
iCaRL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.3,0.3333333333333333,0.16666666666666666,0.4452380952380952,0.1261904761904762,0.28504467339479755
EEIL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.2342857142857143,0.2119047619047619,0.3238095238095238,0.33095238095238094,0.12857142857142856,0.1758903528211208
TPCIL-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.2761904761904762,0.30238095238095236,0.17142857142857143,0.42857142857142855,0.15000000000000008,0.25892469621676084
DOI-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.29428571428571426,0.3130952380952381,0.21904761904761905,0.4357142857142857,0.13571428571428568,0.2838936390410479
