Stage,Old Mass Threshold,Validation Accuracy
Initial,0.45,0.5928571428571429
Initial,0.55,0.5928571428571429
Initial,0.65,0.5928571428571429
Initial,0.75,0.5928571428571429
Initial,0.85,0.5928571428571429
After R1,0.45,0.35
After R1,0.55,0.3357142857142857
After R1,0.65,0.32857142857142857
After R1,0.75,0.32857142857142857
After R1,0.85,0.3357142857142857
After R2,0.45,0.3
After R2,0.55,0.3
After R2,0.65,0.3
After R2,0.75,0.29285714285714287
After R2,0.85,0.2857142857142857
After R3,0.45,0.32857142857142857
After R3,0.55,0.29285714285714287
After R3,0.65,0.2785714285714286
After R3,0.75,0.29285714285714287
After R3,0.85,0.29285714285714287
