Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Deep-HDBSCAN + Ft-CNN,Initial,2021_03_01,day1_eval_initial_30pct,10,-,-,-,900,0.9966666666666667,0.9966666666666667,,0.9966666666666667,0.0,0.9966727711074759
Deep-HDBSCAN + LwF,Initial,2021_03_01,day1_eval_initial_30pct,10,-,-,-,900,0.9966666666666667,0.9966666666666667,,0.9966666666666667,0.0,0.9966727711074759
Deep-HDBSCAN + EEIL,Initial,2021_03_01,day1_eval_initial_30pct,10,-,-,-,900,0.9966666666666667,0.9966666666666667,,0.9966666666666667,0.0,0.9966727711074759
Deep-HDBSCAN + iCaRL,Initial,2021_03_01,day1_eval_initial_30pct,10,-,-,-,900,0.9966666666666667,0.9966666666666667,,0.9966666666666667,0.0,0.9966727711074759
Deep-HDBSCAN + TPCIL-style,Initial,2021_03_01,day1_eval_initial_30pct,10,-,-,-,900,0.9966666666666667,0.9966666666666667,,0.9966666666666667,0.0,0.9966727711074759
Deep-HDBSCAN + DOI-style,Initial,2021_03_01,day1_eval_initial_30pct,10,-,-,-,900,0.9966666666666667,0.9966666666666667,,0.9966666666666667,0.0,0.9966727711074759
Deep-HDBSCAN + Ft-CNN,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,12,12,1800,0.47,0.3111111111111111,0.6288888888888889,0.3111111111111111,0.6855555555555556,0.4046951401664952
Deep-HDBSCAN + LwF,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,12,12,1800,0.5666666666666667,0.4922222222222222,0.6411111111111111,0.4922222222222222,0.5044444444444445,0.49470416216852636
Deep-HDBSCAN + iCaRL,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,12,12,1800,0.7427777777777778,0.8,0.6855555555555556,0.8,0.19666666666666666,0.715976461240434
Deep-HDBSCAN + EEIL,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,12,12,1800,0.5166666666666667,0.4866666666666667,0.5466666666666666,0.4866666666666667,0.51,0.43146390434009063
Deep-HDBSCAN + TPCIL-style,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,12,12,1800,0.7472222222222222,0.81,0.6844444444444444,0.81,0.18666666666666665,0.7202729894220805
Deep-HDBSCAN + DOI-style,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,12,12,1800,0.7544444444444445,0.8011111111111111,0.7077777777777777,0.8011111111111111,0.1955555555555556,0.7277296777260579
Deep-HDBSCAN + Ft-CNN,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,12,12,2700,0.36777777777777776,0.13555555555555557,0.8322222222222222,0.20222222222222222,0.7944444444444445,0.2681773526486657
Deep-HDBSCAN + LwF,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,12,12,2700,0.37666666666666665,0.18555555555555556,0.7588888888888888,0.30444444444444446,0.6922222222222223,0.28189315933012365
Deep-HDBSCAN + iCaRL,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,12,12,2700,0.6711111111111111,0.6427777777777778,0.7277777777777777,0.7066666666666667,0.29000000000000004,0.6579105455544924
Deep-HDBSCAN + EEIL,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,12,12,2700,0.4351851851851852,0.2916666666666667,0.7222222222222222,0.4688888888888889,0.5277777777777778,0.3561068666778912
Deep-HDBSCAN + TPCIL-style,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,12,12,2700,0.67,0.6394444444444445,0.7311111111111112,0.7022222222222222,0.2944444444444445,0.6567796448023645
Deep-HDBSCAN + DOI-style,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,12,12,2700,0.6751851851851852,0.6483333333333333,0.7288888888888889,0.7044444444444444,0.29222222222222227,0.6621182272851254
Deep-HDBSCAN + Ft-CNN,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,17,17,3600,0.23333333333333334,0.0874074074074074,0.6711111111111111,0.09444444444444444,0.9022222222222223,0.1326596259575763
Deep-HDBSCAN + LwF,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,17,17,3600,0.1897222222222222,0.06814814814814815,0.5544444444444444,0.08555555555555555,0.9111111111111112,0.093797192310047
Deep-HDBSCAN + iCaRL,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,17,17,3600,0.4891666666666667,0.40370370370370373,0.7455555555555555,0.6155555555555555,0.3811111111111112,0.4646021344322119
Deep-HDBSCAN + EEIL,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,17,17,3600,0.2761111111111111,0.14629629629629629,0.6655555555555556,0.16666666666666666,0.8300000000000001,0.18751091842783815
Deep-HDBSCAN + TPCIL-style,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,17,17,3600,0.4888888888888889,0.4074074074074074,0.7333333333333333,0.6233333333333333,0.3733333333333334,0.46390613712397644
Deep-HDBSCAN + DOI-style,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,17,17,3600,0.49277777777777776,0.4074074074074074,0.7488888888888889,0.6155555555555555,0.3811111111111112,0.4691486677866209
