Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Ft-CNN,Initial,2021_03_01,day1_eval_initial_30pct,10,-,-,-,900,0.9966666666666667,0.9966666666666667,,0.9966666666666667,0.0,0.9966665980774442
LwF,Initial,2021_03_01,day1_eval_initial_30pct,10,-,-,-,900,0.9966666666666667,0.9966666666666667,,0.9966666666666667,0.0,0.9966665980774442
EEIL,Initial,2021_03_01,day1_eval_initial_30pct,10,-,-,-,900,0.9966666666666667,0.9966666666666667,,0.9966666666666667,0.0,0.9966665980774442
iCaRL,Initial,2021_03_01,day1_eval_initial_30pct,10,-,-,-,900,0.9966666666666667,0.9966666666666667,,0.9966666666666667,0.0,0.9966726350596223
TPCIL-style,Initial,2021_03_01,day1_eval_initial_30pct,10,-,-,-,900,0.9966666666666667,0.9966666666666667,,0.9966666666666667,0.0,0.9966726350596223
DOI-style,Initial,2021_03_01,day1_eval_initial_30pct,10,-,-,-,900,0.9966666666666667,0.9966666666666667,,0.9966666666666667,0.0,0.9966726350596223
Ft-CNN,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,10,10,1800,0.5627777777777778,0.29555555555555557,0.83,0.29555555555555557,0.7011111111111111,0.4767147346529018
LwF,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,10,10,1800,0.6511111111111111,0.43222222222222223,0.87,0.43222222222222223,0.5644444444444445,0.5805209078316041
iCaRL,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,10,10,1800,0.8872222222222222,0.8822222222222222,0.8922222222222222,0.8822222222222222,0.11444444444444446,0.8689281277374075
EEIL,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,10,10,1800,0.6594444444444445,0.4777777777777778,0.8411111111111111,0.4777777777777778,0.518888888888889,0.5863815433929892
TPCIL-style,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,10,10,1800,0.885,0.8811111111111111,0.8888888888888888,0.8811111111111111,0.11555555555555563,0.8670252680570518
DOI-style,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,10,10,1800,0.8905555555555555,0.8833333333333333,0.8977777777777778,0.8833333333333333,0.1133333333333334,0.873190934610719
Ft-CNN,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,11,11,2700,0.4451851851851852,0.20555555555555555,0.9244444444444444,0.29555555555555557,0.7011111111111111,0.36043174780392423
LwF,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,11,11,2700,0.4774074074074074,0.2683333333333333,0.8955555555555555,0.3988888888888889,0.5977777777777777,0.3923632294313824
iCaRL,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,11,11,2700,0.8196296296296296,0.7916666666666666,0.8755555555555555,0.8477777777777777,0.14888888888888896,0.8040165360356866
EEIL,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,11,11,2700,0.5074074074074074,0.3411111111111111,0.84,0.4622222222222222,0.5344444444444445,0.4341433533111883
TPCIL-style,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,11,11,2700,0.8166666666666667,0.7883333333333333,0.8733333333333333,0.8333333333333334,0.16333333333333333,0.8009510779468224
DOI-style,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,11,11,2700,0.83,0.8033333333333333,0.8833333333333333,0.8566666666666667,0.14,0.8136443154210588
Ft-CNN,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,10,10,3600,0.3236111111111111,0.12037037037037036,0.9333333333333333,0.11,0.8866666666666667,0.2056886180851336
LwF,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,10,10,3600,0.35583333333333333,0.15925925925925927,0.9455555555555556,0.19444444444444445,0.8022222222222223,0.24636948341845932
iCaRL,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,10,10,3600,0.6280555555555556,0.5418518518518518,0.8866666666666667,0.8011111111111111,0.1955555555555556,0.5932169151976768
EEIL,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,10,10,3600,0.40944444444444444,0.22555555555555556,0.9611111111111111,0.2588888888888889,0.7377777777777779,0.3029526289714424
TPCIL-style,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,10,10,3600,0.6225,0.5366666666666666,0.88,0.8066666666666666,0.19000000000000006,0.586482206100231
DOI-style,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,10,10,3600,0.6380555555555556,0.55,0.9022222222222223,0.8111111111111111,0.18555555555555558,0.6045470157992103
