Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Ft-CNN,Initial,2021_03_01,day1_eval_initial_30pct,10,-,-,-,900,0.9966666666666667,0.9966666666666667,,0.9966666666666667,0.0,0.9966726350596223
LwF,Initial,2021_03_01,day1_eval_initial_30pct,10,-,-,-,900,0.9966666666666667,0.9966666666666667,,0.9966666666666667,0.0,0.9966726350596223
EEIL,Initial,2021_03_01,day1_eval_initial_30pct,10,-,-,-,900,0.9966666666666667,0.9966666666666667,,0.9966666666666667,0.0,0.9966726350596223
iCaRL,Initial,2021_03_01,day1_eval_initial_30pct,10,-,-,-,900,0.9966666666666667,0.9966666666666667,,0.9966666666666667,0.0,0.9966665980774442
TPCIL-style,Initial,2021_03_01,day1_eval_initial_30pct,10,-,-,-,900,0.9966666666666667,0.9966666666666667,,0.9966666666666667,0.0,0.9966665980774442
DOI-style,Initial,2021_03_01,day1_eval_initial_30pct,10,-,-,-,900,0.9966666666666667,0.9966666666666667,,0.9966666666666667,0.0,0.9966665980774442
Ft-CNN,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,10,10,1800,0.6127777777777778,0.2966666666666667,0.9288888888888889,0.2966666666666667,0.7,0.5119891631694193
LwF,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,10,10,1800,0.6333333333333333,0.35777777777777775,0.9088888888888889,0.35777777777777775,0.638888888888889,0.549223889126884
iCaRL,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,10,10,1800,0.915,0.8955555555555555,0.9344444444444444,0.8955555555555555,0.10111111111111115,0.8997447490336231
EEIL,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,10,10,1800,0.7022222222222222,0.4822222222222222,0.9222222222222223,0.4822222222222222,0.5144444444444445,0.6310856025818709
TPCIL-style,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,10,10,1800,0.9177777777777778,0.9022222222222223,0.9333333333333333,0.9022222222222223,0.09444444444444444,0.9051788937330292
DOI-style,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,10,10,1800,0.9222222222222223,0.8966666666666666,0.9477777777777778,0.8966666666666666,0.10000000000000009,0.9071184884642216
Ft-CNN,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,10,10,2700,0.42444444444444446,0.18166666666666667,0.91,0.23666666666666666,0.76,0.33554324976427635
LwF,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,10,10,2700,0.42777777777777776,0.20777777777777778,0.8677777777777778,0.3566666666666667,0.64,0.348576868294837
iCaRL,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,10,10,2700,0.8592592592592593,0.85,0.8777777777777778,0.8455555555555555,0.1511111111111112,0.8449406178356751
EEIL,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,10,10,2700,0.5192592592592593,0.3605555555555556,0.8366666666666667,0.49777777777777776,0.49888888888888894,0.4395173163158734
TPCIL-style,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,10,10,2700,0.8607407407407407,0.8527777777777777,0.8766666666666667,0.8488888888888889,0.14777777777777779,0.8475266874490116
DOI-style,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,10,10,2700,0.8618518518518519,0.8538888888888889,0.8777777777777778,0.8377777777777777,0.15888888888888897,0.8474805474512103
Ft-CNN,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,10,10,3600,0.29694444444444446,0.07740740740740741,0.9555555555555556,0.03777777777777778,0.9588888888888889,0.17397242716606348
LwF,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,10,10,3600,0.31083333333333335,0.09222222222222222,0.9666666666666667,0.05444444444444444,0.9422222222222223,0.19233389856620334
iCaRL,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,10,10,3600,0.7,0.6211111111111111,0.9366666666666666,0.8677777777777778,0.12888888888888894,0.6674946555829843
EEIL,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,10,10,3600,0.46416666666666667,0.30037037037037034,0.9555555555555556,0.37444444444444447,0.6222222222222222,0.3637456810372795
TPCIL-style,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,10,10,3600,0.6908333333333333,0.6077777777777778,0.94,0.8622222222222222,0.13444444444444448,0.6560500558612246
DOI-style,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,10,10,3600,0.6983333333333334,0.6162962962962963,0.9444444444444444,0.8611111111111112,0.13555555555555554,0.664506244963255
