Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Deep-HDBSCAN + Ft-CNN,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.4785714285714286,0.4785714285714286,,0.4785714285714286,0.0,0.4215729877657707
Deep-HDBSCAN + LwF,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.4785714285714286,0.4785714285714286,,0.4785714285714286,0.0,0.4215729877657707
Deep-HDBSCAN + EEIL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.4785714285714286,0.4785714285714286,,0.4785714285714286,0.0,0.4215729877657707
Deep-HDBSCAN + iCaRL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.6023809523809524,0.6023809523809524,,0.6023809523809524,0.0,0.5919579565264067
Deep-HDBSCAN + TPCIL-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5785714285714286,0.5785714285714286,,0.5785714285714286,0.0,0.559839438499703
Deep-HDBSCAN + DOI-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.6023809523809524,0.6023809523809524,,0.6023809523809524,0.0,0.5919579565264067
Deep-HDBSCAN + Ft-CNN,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.319047619047619,0.37857142857142856,0.2,0.37857142857142856,0.10000000000000003,0.2302223282494304
Deep-HDBSCAN + LwF,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.31746031746031744,0.37857142857142856,0.19523809523809524,0.37857142857142856,0.10000000000000003,0.22955067521089648
Deep-HDBSCAN + iCaRL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.37936507936507935,0.5595238095238095,0.01904761904761905,0.5595238095238095,0.042857142857142816,0.3405092775799542
Deep-HDBSCAN + EEIL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.3047619047619048,0.35714285714285715,0.2,0.35714285714285715,0.12142857142857144,0.22217035045853786
Deep-HDBSCAN + TPCIL-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.373015873015873,0.55,0.01904761904761905,0.55,0.02857142857142858,0.3330798863283691
Deep-HDBSCAN + DOI-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.37936507936507935,0.5595238095238095,0.01904761904761905,0.5595238095238095,0.042857142857142816,0.34066276093343756
Deep-HDBSCAN + Ft-CNN,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.23095238095238096,0.24444444444444444,0.19047619047619047,0.36666666666666664,0.11190476190476195,0.17060731294744214
Deep-HDBSCAN + LwF,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.2357142857142857,0.25555555555555554,0.1761904761904762,0.37857142857142856,0.10000000000000003,0.17040490318683105
Deep-HDBSCAN + iCaRL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.32857142857142857,0.39206349206349206,0.1380952380952381,0.580952380952381,0.021428571428571352,0.2802064710632507
Deep-HDBSCAN + EEIL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.22976190476190475,0.24444444444444444,0.18571428571428572,0.36666666666666664,0.11190476190476195,0.16648477381428034
Deep-HDBSCAN + TPCIL-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.33095238095238094,0.3952380952380952,0.1380952380952381,0.5833333333333334,-0.004761904761904745,0.27941075747094796
Deep-HDBSCAN + DOI-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.32976190476190476,0.39365079365079364,0.1380952380952381,0.580952380952381,0.021428571428571352,0.28052282256084815
Deep-HDBSCAN + Ft-CNN,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.18571428571428572,0.18214285714285713,0.2,0.36428571428571427,0.11428571428571432,0.13017393894237478
Deep-HDBSCAN + LwF,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.17333333333333334,0.15595238095238095,0.24285714285714285,0.3119047619047619,0.16666666666666669,0.12103650228521812
Deep-HDBSCAN + iCaRL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.2619047619047619,0.2976190476190476,0.11904761904761904,0.5,0.10238095238095235,0.21479111940350637
Deep-HDBSCAN + EEIL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.2,0.2,0.2,0.3976190476190476,0.080952380952381,0.13794665091993377
Deep-HDBSCAN + TPCIL-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.2542857142857143,0.28809523809523807,0.11904761904761904,0.48095238095238096,0.09761904761904766,0.2068210460571096
Deep-HDBSCAN + DOI-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.2561904761904762,0.2916666666666667,0.11428571428571428,0.4880952380952381,0.11428571428571427,0.20774680032108642
