Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Ft-CNN,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.45714285714285713,0.45714285714285713,,0.45714285714285713,0.0,0.39438000773992143
LwF,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.45714285714285713,0.45714285714285713,,0.45714285714285713,0.0,0.39438000773992143
EEIL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.45714285714285713,0.45714285714285713,,0.45714285714285713,0.0,0.39438000773992143
iCaRL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5642857142857143,0.5642857142857143,,0.5642857142857143,0.0,0.5513738398203716
TPCIL-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5738095238095238,0.5738095238095238,,0.5738095238095238,0.0,0.5624528860858694
DOI-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5642857142857143,0.5642857142857143,,0.5642857142857143,0.0,0.5513738398203716
Ft-CNN,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.35079365079365077,0.4023809523809524,0.24761904761904763,0.4023809523809524,0.054761904761904734,0.26521318142969325
LwF,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.353968253968254,0.5142857142857142,0.03333333333333333,0.5142857142857142,-0.057142857142857106,0.26296397789122644
iCaRL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.4158730158730159,0.4976190476190476,0.2523809523809524,0.4976190476190476,0.06666666666666665,0.4140356263102943
EEIL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.2873015873015873,0.32142857142857145,0.21904761904761905,0.32142857142857145,0.13571428571428568,0.23662399039997178
TPCIL-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.43492063492063493,0.55,0.20476190476190476,0.55,0.023809523809523725,0.42835794053404697
DOI-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.4,0.4880952380952381,0.22380952380952382,0.4880952380952381,0.0761904761904762,0.3986720682446151
Ft-CNN,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.2511904761904762,0.26825396825396824,0.2,0.3952380952380952,0.06190476190476191,0.20522715268652533
LwF,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.27380952380952384,0.28253968253968254,0.24761904761904763,0.4238095238095238,0.033333333333333326,0.22287955665479253
iCaRL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.36904761904761907,0.40476190476190477,0.2619047619047619,0.5238095238095238,0.04047619047619044,0.35491217759206023
EEIL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.2857142857142857,0.2777777777777778,0.30952380952380953,0.4119047619047619,0.045238095238095244,0.23629596817740026
TPCIL-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.3821428571428571,0.41904761904761906,0.2714285714285714,0.5476190476190477,0.026190476190476097,0.3639989013898107
DOI-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.35119047619047616,0.4126984126984127,0.16666666666666666,0.5119047619047619,0.05238095238095242,0.3390476199197163
Ft-CNN,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.21904761904761905,0.1630952380952381,0.44285714285714284,0.319047619047619,0.1380952380952381,0.1425573466003216
LwF,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.19047619047619047,0.16071428571428573,0.30952380952380953,0.319047619047619,0.1380952380952381,0.12764929326109972
iCaRL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.3028571428571429,0.3345238095238095,0.1761904761904762,0.44761904761904764,0.11666666666666664,0.28576315574788386
EEIL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.2342857142857143,0.22023809523809523,0.2904761904761905,0.4,0.057142857142857106,0.1866696068571336
TPCIL-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.2895238095238095,0.3107142857142857,0.20476190476190476,0.430952380952381,0.1428571428571428,0.2730293448912423
DOI-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.2914285714285714,0.31666666666666665,0.19047619047619047,0.44285714285714284,0.12142857142857144,0.27870122943355113
