Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Ft-CNN,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.4595238095238095,0.4595238095238095,,0.4595238095238095,0.0,0.3953030552094857
LwF,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.4595238095238095,0.4595238095238095,,0.4595238095238095,0.0,0.3953030552094857
EEIL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.4595238095238095,0.4595238095238095,,0.4595238095238095,0.0,0.3953030552094857
iCaRL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.569047619047619,0.569047619047619,,0.569047619047619,0.0,0.5554837968216504
TPCIL-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.569047619047619,0.569047619047619,,0.569047619047619,0.0,0.5526716726173884
DOI-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.569047619047619,0.569047619047619,,0.569047619047619,0.0,0.5554837968216504
Ft-CNN,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.35714285714285715,0.4023809523809524,0.26666666666666666,0.4023809523809524,0.057142857142857106,0.27650758499196953
LwF,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.3634920634920635,0.49047619047619045,0.10952380952380952,0.49047619047619045,-0.030952380952380953,0.28564826144508715
iCaRL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.44761904761904764,0.4976190476190476,0.3476190476190476,0.4976190476190476,0.0714285714285714,0.4409905536806821
EEIL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.346031746031746,0.3333333333333333,0.37142857142857144,0.3333333333333333,0.1261904761904762,0.286428606896821
TPCIL-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.4650793650793651,0.5428571428571428,0.30952380952380953,0.5428571428571428,0.02619047619047621,0.4553313423917667
DOI-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.44761904761904764,0.49047619047619045,0.3619047619047619,0.49047619047619045,0.07857142857142857,0.4410089353154758
Ft-CNN,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.26785714285714285,0.2920634920634921,0.19523809523809524,0.4,0.05952380952380948,0.22101881589397765
LwF,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.275,0.2841269841269841,0.24761904761904763,0.4261904761904762,0.033333333333333326,0.22344713413378092
iCaRL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.3761904761904762,0.4126984126984127,0.26666666666666666,0.5166666666666667,0.052380952380952306,0.3614688065735046
EEIL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.2892857142857143,0.27936507936507937,0.319047619047619,0.4142857142857143,0.04523809523809519,0.23440173942262765
TPCIL-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.3904761904761905,0.42857142857142855,0.2761904761904762,0.5404761904761904,0.02857142857142858,0.373167178966182
DOI-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.3535714285714286,0.4095238095238095,0.18571428571428572,0.5047619047619047,0.06428571428571428,0.3421348072945405
Ft-CNN,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.1980952380952381,0.15833333333333333,0.35714285714285715,0.3119047619047619,0.1476190476190476,0.13102329819616917
LwF,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.1742857142857143,0.15714285714285714,0.24285714285714285,0.3119047619047619,0.1476190476190476,0.12204320565693007
iCaRL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.2857142857142857,0.3142857142857143,0.17142857142857143,0.4452380952380952,0.12380952380952381,0.27085336005133
EEIL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.259047619047619,0.22142857142857142,0.4095238095238095,0.40714285714285714,0.05238095238095236,0.19562573353880183
TPCIL-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.28,0.2988095238095238,0.20476190476190476,0.430952380952381,0.13809523809523805,0.26421065045908776
DOI-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.2895238095238095,0.3142857142857143,0.19047619047619047,0.44047619047619047,0.12857142857142856,0.27501090768611325
