Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Deep-HDBSCAN + Ft-CNN,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.4714285714285714,0.4714285714285714,,0.4714285714285714,0.0,0.39113340343712333
Deep-HDBSCAN + LwF,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.4714285714285714,0.4714285714285714,,0.4714285714285714,0.0,0.39113340343712333
Deep-HDBSCAN + EEIL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.4714285714285714,0.4714285714285714,,0.4714285714285714,0.0,0.39113340343712333
Deep-HDBSCAN + iCaRL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.6,0.6,,0.6,0.0,0.5855637930401667
Deep-HDBSCAN + TPCIL-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.580952380952381,0.580952380952381,,0.580952380952381,0.0,0.5616047388705214
Deep-HDBSCAN + DOI-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.6,0.6,,0.6,0.0,0.5855637930401667
Deep-HDBSCAN + Ft-CNN,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.30317460317460315,0.3619047619047619,0.18571428571428572,0.3619047619047619,0.10952380952380952,0.19585545335841012
Deep-HDBSCAN + LwF,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.30793650793650795,0.37857142857142856,0.16666666666666666,0.37857142857142856,0.09285714285714286,0.2096557371802986
Deep-HDBSCAN + iCaRL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.3746031746031746,0.5523809523809524,0.01904761904761905,0.5523809523809524,0.04761904761904756,0.3344216252686347
Deep-HDBSCAN + EEIL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.31746031746031744,0.3761904761904762,0.2,0.3761904761904762,0.09523809523809523,0.21046248508803905
Deep-HDBSCAN + TPCIL-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.3761904761904762,0.5547619047619048,0.01904761904761905,0.5547619047619048,0.02619047619047621,0.3349115365661691
Deep-HDBSCAN + DOI-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.3746031746031746,0.5523809523809524,0.01904761904761905,0.5523809523809524,0.04761904761904756,0.33473826201941775
Deep-HDBSCAN + Ft-CNN,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.24047619047619048,0.25873015873015875,0.18571428571428572,0.3880952380952381,0.08333333333333331,0.15358191116166203
Deep-HDBSCAN + LwF,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.23809523809523808,0.2571428571428571,0.18095238095238095,0.38095238095238093,0.09047619047619049,0.15115097499589378
Deep-HDBSCAN + iCaRL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.32857142857142857,0.39206349206349206,0.1380952380952381,0.580952380952381,0.01904761904761898,0.2795493581672949
Deep-HDBSCAN + EEIL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.2369047619047619,0.25396825396825395,0.18571428571428572,0.38095238095238093,0.09047619047619049,0.14992523722933612
Deep-HDBSCAN + TPCIL-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.33214285714285713,0.3968253968253968,0.1380952380952381,0.5857142857142857,-0.004761904761904745,0.27992537116080907
Deep-HDBSCAN + DOI-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.32857142857142857,0.39206349206349206,0.1380952380952381,0.5785714285714286,0.021428571428571352,0.27928381400165014
Deep-HDBSCAN + Ft-CNN,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.17238095238095238,0.16547619047619047,0.2,0.32857142857142857,0.14285714285714285,0.11461786091151978
Deep-HDBSCAN + LwF,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.1895238095238095,0.18571428571428572,0.20476190476190476,0.37142857142857144,0.09999999999999998,0.11656648871820532
Deep-HDBSCAN + iCaRL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.2580952380952381,0.29404761904761906,0.11428571428571428,0.4928571428571429,0.1071428571428571,0.2113700580227006
Deep-HDBSCAN + EEIL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.1961904761904762,0.19523809523809524,0.2,0.3904761904761905,0.08095238095238094,0.11639870453124963
Deep-HDBSCAN + TPCIL-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.25523809523809526,0.2892857142857143,0.11904761904761904,0.48333333333333334,0.09761904761904766,0.20848470050181564
Deep-HDBSCAN + DOI-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.2542857142857143,0.2904761904761905,0.10952380952380952,0.48333333333333334,0.11666666666666664,0.20524422594306305
