Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Ft-CNN,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5261904761904762,0.5261904761904762,,0.5261904761904762,0.0,0.4320385814961198
LwF,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5261904761904762,0.5261904761904762,,0.5261904761904762,0.0,0.4320385814961198
EEIL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5261904761904762,0.5261904761904762,,0.5261904761904762,0.0,0.4320385814961198
iCaRL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.569047619047619,0.569047619047619,,0.569047619047619,0.0,0.5554837968216504
TPCIL-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.569047619047619,0.569047619047619,,0.569047619047619,0.0,0.5526716726173884
DOI-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.569047619047619,0.569047619047619,,0.569047619047619,0.0,0.5554837968216504
Ft-CNN,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.3634920634920635,0.4261904761904762,0.23809523809523808,0.4261904761904762,0.10000000000000003,0.297330871374217
LwF,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.35873015873015873,0.38571428571428573,0.3047619047619048,0.38571428571428573,0.14047619047619048,0.30383308611935167
iCaRL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.4095238095238095,0.5,0.22857142857142856,0.5,0.06904761904761902,0.4066770785280488
EEIL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.3492063492063492,0.3261904761904762,0.3952380952380952,0.3261904761904762,0.2,0.2580426864642701
TPCIL-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.43174603174603177,0.5476190476190477,0.2,0.5476190476190477,0.021428571428571352,0.42425811765428273
DOI-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.4031746031746032,0.49047619047619045,0.22857142857142856,0.49047619047619045,0.07857142857142857,0.4018251895586645
Ft-CNN,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.2833333333333333,0.29523809523809524,0.24761904761904763,0.4166666666666667,0.10952380952380952,0.23969365766766035
LwF,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.2714285714285714,0.2714285714285714,0.2714285714285714,0.3619047619047619,0.1642857142857143,0.21823143117879887
iCaRL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.3619047619047619,0.4,0.24761904761904763,0.5190476190476191,0.04999999999999993,0.3469140566230822
EEIL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.23214285714285715,0.2523809523809524,0.17142857142857143,0.30714285714285716,0.21904761904761905,0.18875609650796582
TPCIL-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.375,0.4126984126984127,0.2619047619047619,0.5404761904761904,0.02857142857142858,0.35737530469561296
DOI-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.3488095238095238,0.40476190476190477,0.18095238095238095,0.5071428571428571,0.06190476190476191,0.3367260023253803
Ft-CNN,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.1742857142857143,0.14523809523809525,0.2904761904761905,0.2785714285714286,0.24761904761904763,0.11046961413885052
LwF,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.2038095238095238,0.175,0.319047619047619,0.3261904761904762,0.2,0.13640786459354753
iCaRL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.29523809523809524,0.32142857142857145,0.19047619047619047,0.4452380952380952,0.12380952380952381,0.2812407792266809
EEIL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.22952380952380952,0.23095238095238096,0.22380952380952382,0.38095238095238093,0.14523809523809528,0.17561782599006828
TPCIL-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.2819047619047619,0.29642857142857143,0.22380952380952382,0.430952380952381,0.13809523809523805,0.2671675359381155
DOI-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.2895238095238095,0.31547619047619047,0.18571428571428572,0.44047619047619047,0.12857142857142856,0.2772588784100906
