Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Deep-HDBSCAN + Ft-CNN,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5595238095238095,0.5595238095238095,,0.5595238095238095,0.0,0.47571839610238154
Deep-HDBSCAN + LwF,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5595238095238095,0.5595238095238095,,0.5595238095238095,0.0,0.47571839610238154
Deep-HDBSCAN + EEIL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5595238095238095,0.5595238095238095,,0.5595238095238095,0.0,0.47571839610238154
Deep-HDBSCAN + iCaRL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.6,0.6,,0.6,0.0,0.5855637930401667
Deep-HDBSCAN + TPCIL-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.580952380952381,0.580952380952381,,0.580952380952381,0.0,0.5616047388705214
Deep-HDBSCAN + DOI-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.6,0.6,,0.6,0.0,0.5855637930401667
Deep-HDBSCAN + Ft-CNN,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.3619047619047619,0.44285714285714284,0.2,0.44285714285714284,0.1166666666666667,0.2660234846477662
Deep-HDBSCAN + LwF,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.35714285714285715,0.4857142857142857,0.1,0.4857142857142857,0.07380952380952382,0.28220703691665844
Deep-HDBSCAN + iCaRL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.3746031746031746,0.5523809523809524,0.01904761904761905,0.5523809523809524,0.04761904761904756,0.3344216252686347
Deep-HDBSCAN + EEIL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.35079365079365077,0.4261904761904762,0.2,0.4261904761904762,0.13333333333333336,0.25588329991083975
Deep-HDBSCAN + TPCIL-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.3761904761904762,0.5547619047619048,0.01904761904761905,0.5547619047619048,0.02619047619047621,0.3349115365661691
Deep-HDBSCAN + DOI-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.3746031746031746,0.5523809523809524,0.01904761904761905,0.5523809523809524,0.04761904761904756,0.33473826201941775
Deep-HDBSCAN + Ft-CNN,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.25833333333333336,0.28095238095238095,0.19047619047619047,0.4142857142857143,0.14523809523809522,0.18101045523572581
Deep-HDBSCAN + LwF,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.24523809523809523,0.2634920634920635,0.19047619047619047,0.3952380952380952,0.1642857142857143,0.17473434629336357
Deep-HDBSCAN + iCaRL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.32857142857142857,0.39206349206349206,0.1380952380952381,0.580952380952381,0.01904761904761898,0.2795493581672949
Deep-HDBSCAN + EEIL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.25,0.2698412698412698,0.19047619047619047,0.40476190476190477,0.15476190476190477,0.1785041244005629
Deep-HDBSCAN + TPCIL-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.33214285714285713,0.3968253968253968,0.1380952380952381,0.5857142857142857,-0.004761904761904745,0.27992537116080907
Deep-HDBSCAN + DOI-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.32857142857142857,0.39206349206349206,0.1380952380952381,0.5785714285714286,0.021428571428571352,0.27928381400165014
Deep-HDBSCAN + Ft-CNN,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.17904761904761904,0.1738095238095238,0.2,0.3476190476190476,0.21190476190476193,0.11718949384173345
Deep-HDBSCAN + LwF,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.17142857142857143,0.16428571428571428,0.2,0.32857142857142857,0.23095238095238096,0.11090523019566705
Deep-HDBSCAN + iCaRL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.2580952380952381,0.29404761904761906,0.11428571428571428,0.4928571428571429,0.1071428571428571,0.2113700580227006
Deep-HDBSCAN + EEIL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.19142857142857142,0.1880952380952381,0.20476190476190476,0.3738095238095238,0.18571428571428572,0.1308444431569793
Deep-HDBSCAN + TPCIL-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.25523809523809526,0.2892857142857143,0.11904761904761904,0.48333333333333334,0.09761904761904766,0.20848470050181564
Deep-HDBSCAN + DOI-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,4,4,1050,0.2542857142857143,0.2904761904761905,0.10952380952380952,0.48333333333333334,0.11666666666666664,0.20524422594306305
