Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Deep-HDBSCAN + Ft-CNN,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5285714285714286,0.5285714285714286,,0.5285714285714286,0.0,0.47196752032831135
Deep-HDBSCAN + LwF,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5285714285714286,0.5285714285714286,,0.5285714285714286,0.0,0.47196752032831135
Deep-HDBSCAN + EEIL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5285714285714286,0.5285714285714286,,0.5285714285714286,0.0,0.47196752032831135
Deep-HDBSCAN + iCaRL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5333333333333333,0.5333333333333333,,0.5333333333333333,0.0,0.5227872572879164
Deep-HDBSCAN + TPCIL-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5357142857142857,0.5357142857142857,,0.5357142857142857,0.0,0.5214220787203772
Deep-HDBSCAN + DOI-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5333333333333333,0.5333333333333333,,0.5333333333333333,0.0,0.5227872572879164
Deep-HDBSCAN + Ft-CNN,After R1,Day 2,eval_r1_30pct_15_seen,15,5,3,3,630,0.3380952380952381,0.44047619047619047,0.13333333333333333,0.44047619047619047,0.08809523809523812,0.2598616746510314
Deep-HDBSCAN + LwF,After R1,Day 2,eval_r1_30pct_15_seen,15,5,3,3,630,0.28253968253968254,0.3404761904761905,0.16666666666666666,0.3404761904761905,0.1880952380952381,0.21342809006020091
Deep-HDBSCAN + iCaRL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,3,3,630,0.40793650793650793,0.5047619047619047,0.21428571428571427,0.5047619047619047,0.02857142857142858,0.3837311135224619
Deep-HDBSCAN + EEIL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,3,3,630,0.319047619047619,0.40714285714285714,0.14285714285714285,0.40714285714285714,0.12142857142857144,0.2512944999966798
Deep-HDBSCAN + TPCIL-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,3,3,630,0.4126984126984127,0.5285714285714286,0.18095238095238095,0.5285714285714286,0.0071428571428571175,0.3849496433458292
Deep-HDBSCAN + DOI-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,3,3,630,0.40634920634920635,0.5,0.21904761904761905,0.5,0.033333333333333326,0.3830004846747747
Deep-HDBSCAN + Ft-CNN,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.2773809523809524,0.3142857142857143,0.16666666666666666,0.46190476190476193,0.06666666666666665,0.2047305839598082
Deep-HDBSCAN + LwF,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.23095238095238096,0.24761904761904763,0.18095238095238095,0.34523809523809523,0.18333333333333335,0.16614249115582733
Deep-HDBSCAN + iCaRL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.32261904761904764,0.4031746031746032,0.08095238095238096,0.4928571428571429,0.04047619047619044,0.288896024112182
Deep-HDBSCAN + EEIL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.2654761904761905,0.29365079365079366,0.18095238095238095,0.44047619047619047,0.08809523809523812,0.1857515748235423
Deep-HDBSCAN + TPCIL-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.3202380952380952,0.40476190476190477,0.06666666666666667,0.5119047619047619,0.023809523809523836,0.2802508383501486
Deep-HDBSCAN + DOI-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.319047619047619,0.4015873015873016,0.07142857142857142,0.49523809523809526,0.03809523809523807,0.2849682301387411
Deep-HDBSCAN + Ft-CNN,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.15142857142857144,0.13452380952380952,0.21904761904761905,0.26904761904761904,0.25952380952380955,0.09423248132921852
Deep-HDBSCAN + LwF,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.19047619047619047,0.19166666666666668,0.18571428571428572,0.2904761904761905,0.23809523809523808,0.11548419902003451
Deep-HDBSCAN + iCaRL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.23047619047619047,0.25595238095238093,0.12857142857142856,0.38333333333333336,0.14999999999999997,0.20245816888557322
Deep-HDBSCAN + EEIL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.20476190476190476,0.20595238095238094,0.2,0.4119047619047619,0.1166666666666667,0.13486650190517022
Deep-HDBSCAN + TPCIL-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.21333333333333335,0.23333333333333334,0.13333333333333333,0.3619047619047619,0.1738095238095238,0.1837575280953425
Deep-HDBSCAN + DOI-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.22380952380952382,0.2511904761904762,0.11428571428571428,0.3761904761904762,0.15714285714285714,0.19585766218242673
