Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Ft-CNN,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5,0.5,,0.5,0.0,0.436976898860574
LwF,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5,0.5,,0.5,0.0,0.436976898860574
EEIL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5,0.5,,0.5,0.0,0.436976898860574
iCaRL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.55,0.55,,0.55,0.0,0.5379965474435295
TPCIL-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.55,0.55,,0.55,0.0,0.5383562951970158
DOI-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.55,0.55,,0.55,0.0,0.5379965474435295
Ft-CNN,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.32857142857142857,0.3238095238095238,0.3380952380952381,0.3238095238095238,0.17619047619047618,0.24611084366900143
LwF,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.319047619047619,0.2904761904761905,0.3761904761904762,0.2904761904761905,0.2095238095238095,0.2279739183097003
iCaRL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.3952380952380952,0.4928571428571429,0.2,0.4928571428571429,0.05714285714285716,0.39195269999538496
EEIL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.24444444444444444,0.2619047619047619,0.20952380952380953,0.2619047619047619,0.23809523809523808,0.18055483038253012
TPCIL-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.40793650793650793,0.5166666666666667,0.19047619047619047,0.5166666666666667,0.033333333333333326,0.40338759244399064
DOI-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.3984126984126984,0.4857142857142857,0.22380952380952382,0.4857142857142857,0.06428571428571433,0.39765425202779464
Ft-CNN,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.25833333333333336,0.25555555555555554,0.26666666666666666,0.36428571428571427,0.13571428571428573,0.2070549608463316
LwF,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.25,0.25873015873015875,0.22380952380952382,0.34285714285714286,0.15714285714285714,0.19655571485933757
iCaRL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.3392857142857143,0.39206349206349206,0.18095238095238095,0.4785714285714286,0.07142857142857145,0.32269104382014624
EEIL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.24523809523809523,0.24285714285714285,0.2523809523809524,0.3119047619047619,0.1880952380952381,0.1825518377851645
TPCIL-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.3476190476190476,0.3984126984126984,0.19523809523809524,0.5023809523809524,0.04761904761904767,0.32886248996476614
DOI-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.3404761904761905,0.40634920634920635,0.14285714285714285,0.5095238095238095,0.040476190476190554,0.3233973814007015
Ft-CNN,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.18095238095238095,0.1380952380952381,0.3523809523809524,0.2714285714285714,0.2285714285714286,0.11240249006921331
LwF,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.1676190476190476,0.1357142857142857,0.29523809523809524,0.25952380952380955,0.24047619047619045,0.11001454958537572
iCaRL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.26666666666666666,0.2857142857142857,0.19047619047619047,0.38571428571428573,0.1642857142857143,0.25659912315518135
EEIL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.20476190476190476,0.16904761904761906,0.3476190476190476,0.2619047619047619,0.23809523809523808,0.13891581006382966
TPCIL-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.2438095238095238,0.25833333333333336,0.18571428571428572,0.37142857142857144,0.1785714285714286,0.22837411643144737
DOI-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.24857142857142858,0.2785714285714286,0.12857142857142856,0.3761904761904762,0.17380952380952386,0.23799307381403942
