Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Ft-CNN,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5190476190476191,0.5190476190476191,,0.5190476190476191,0.0,0.45513459563967745
LwF,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5190476190476191,0.5190476190476191,,0.5190476190476191,0.0,0.45513459563967745
EEIL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5190476190476191,0.5190476190476191,,0.5190476190476191,0.0,0.45513459563967745
iCaRL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5833333333333334,0.5833333333333334,,0.5833333333333334,0.0,0.5769747145434747
TPCIL-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5619047619047619,0.5619047619047619,,0.5619047619047619,0.0,0.5552769039091018
DOI-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5833333333333334,0.5833333333333334,,0.5833333333333334,0.0,0.5769747145434747
Ft-CNN,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.326984126984127,0.36904761904761907,0.24285714285714285,0.36904761904761907,0.15000000000000002,0.2522200146208354
LwF,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.346031746031746,0.4095238095238095,0.21904761904761905,0.4095238095238095,0.10952380952380958,0.2917414183250499
iCaRL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.39365079365079364,0.42142857142857143,0.3380952380952381,0.42142857142857143,0.16190476190476194,0.3868204657539004
EEIL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.353968253968254,0.2833333333333333,0.49523809523809526,0.2833333333333333,0.23571428571428577,0.2883627156962773
TPCIL-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.3952380952380952,0.430952380952381,0.3238095238095238,0.430952380952381,0.13095238095238093,0.38669017816417023
DOI-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.4095238095238095,0.4380952380952381,0.3523809523809524,0.4380952380952381,0.14523809523809528,0.40149680766704227
Ft-CNN,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.2511904761904762,0.2746031746031746,0.18095238095238095,0.4095238095238095,0.10952380952380958,0.2122811787208398
LwF,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.2630952380952381,0.2746031746031746,0.22857142857142856,0.4119047619047619,0.1071428571428572,0.20647580836717488
iCaRL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.3357142857142857,0.37936507936507935,0.20476190476190476,0.4642857142857143,0.11904761904761907,0.3339725592512391
EEIL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.26785714285714285,0.28253968253968254,0.22380952380952382,0.3738095238095238,0.14523809523809528,0.24245173124713904
TPCIL-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.35,0.3904761904761905,0.22857142857142856,0.4880952380952381,0.07380952380952382,0.3428254066890708
DOI-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.32857142857142857,0.38571428571428573,0.15714285714285714,0.4714285714285714,0.11190476190476195,0.32873079829202856
Ft-CNN,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.2057142857142857,0.17261904761904762,0.3380952380952381,0.33095238095238094,0.18809523809523815,0.1374776710878296
LwF,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.19238095238095237,0.15476190476190477,0.34285714285714286,0.30952380952380953,0.20952380952380956,0.12403293133776032
iCaRL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.2761904761904762,0.30952380952380953,0.14285714285714285,0.3738095238095238,0.20952380952380956,0.2651750132238106
EEIL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.24476190476190476,0.20714285714285716,0.3952380952380952,0.3761904761904762,0.1428571428571429,0.18533165528932055
TPCIL-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.2714285714285714,0.3011904761904762,0.1523809523809524,0.3738095238095238,0.1880952380952381,0.25726010015384476
DOI-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.2838095238095238,0.3130952380952381,0.16666666666666666,0.37857142857142856,0.2047619047619048,0.2702096697268985
