Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Deep-HDBSCAN + Ft-CNN,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.46190476190476193,0.46190476190476193,,0.46190476190476193,0.0,0.38089639944280385
Deep-HDBSCAN + LwF,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.46190476190476193,0.46190476190476193,,0.46190476190476193,0.0,0.38089639944280385
Deep-HDBSCAN + EEIL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.46190476190476193,0.46190476190476193,,0.46190476190476193,0.0,0.38089639944280385
Deep-HDBSCAN + iCaRL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.6142857142857143,0.6142857142857143,,0.6142857142857143,0.0,0.6011235157340075
Deep-HDBSCAN + TPCIL-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5904761904761905,0.5904761904761905,,0.5904761904761905,0.0,0.5757824159059857
Deep-HDBSCAN + DOI-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.6142857142857143,0.6142857142857143,,0.6142857142857143,0.0,0.6011235157340075
Deep-HDBSCAN + Ft-CNN,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.3333333333333333,0.40714285714285714,0.18571428571428572,0.40714285714285714,0.05476190476190479,0.24319640291181768
Deep-HDBSCAN + LwF,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.3333333333333333,0.4023809523809524,0.19523809523809524,0.4023809523809524,0.059523809523809534,0.2423971222697956
Deep-HDBSCAN + iCaRL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.37777777777777777,0.5619047619047619,0.009523809523809525,0.5619047619047619,0.05238095238095242,0.34136888767911605
Deep-HDBSCAN + EEIL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.31746031746031744,0.37857142857142856,0.19523809523809524,0.37857142857142856,0.08333333333333337,0.22107138959038744
Deep-HDBSCAN + TPCIL-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.3746031746031746,0.5547619047619048,0.014285714285714285,0.5547619047619048,0.0357142857142857,0.3388949573425704
Deep-HDBSCAN + DOI-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.38095238095238093,0.5619047619047619,0.01904761904761905,0.5619047619047619,0.05238095238095242,0.3456799935269082
Deep-HDBSCAN + Ft-CNN,After R2,Day 3,eval_r2_30pct_20_seen,20,5,3,3,840,0.20952380952380953,0.24126984126984127,0.11428571428571428,0.3333333333333333,0.12857142857142861,0.15569197920325312
Deep-HDBSCAN + LwF,After R2,Day 3,eval_r2_30pct_20_seen,20,5,3,3,840,0.20714285714285716,0.2746031746031746,0.004761904761904762,0.3261904761904762,0.13571428571428573,0.1425839361633911
Deep-HDBSCAN + iCaRL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,3,3,840,0.31547619047619047,0.3873015873015873,0.1,0.5666666666666667,0.04761904761904767,0.2950454730024904
Deep-HDBSCAN + EEIL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,3,3,840,0.21071428571428572,0.2222222222222222,0.1761904761904762,0.319047619047619,0.1428571428571429,0.1426379059679299
Deep-HDBSCAN + TPCIL-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,3,3,840,0.3202380952380952,0.38571428571428573,0.12380952380952381,0.5619047619047619,0.02857142857142858,0.30070281158360757
Deep-HDBSCAN + DOI-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,3,3,840,0.325,0.39206349206349206,0.12380952380952381,0.5666666666666667,0.04761904761904767,0.30317514217619096
Deep-HDBSCAN + Ft-CNN,After R3,Day 4,eval_r3_30pct_25_seen,25,5,3,3,1050,0.1838095238095238,0.17976190476190476,0.2,0.3595238095238095,0.1023809523809524,0.1139376723072046
Deep-HDBSCAN + LwF,After R3,Day 4,eval_r3_30pct_25_seen,25,5,3,3,1050,0.17714285714285713,0.17142857142857143,0.2,0.34285714285714286,0.11904761904761907,0.11484618063352615
Deep-HDBSCAN + iCaRL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,3,3,1050,0.23238095238095238,0.2642857142857143,0.10476190476190476,0.4380952380952381,0.17619047619047623,0.20566991887251274
Deep-HDBSCAN + EEIL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,3,3,1050,0.2,0.2011904761904762,0.19523809523809524,0.4,0.06190476190476191,0.13378739031149534
Deep-HDBSCAN + TPCIL-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,3,3,1050,0.2257142857142857,0.25476190476190474,0.10952380952380952,0.4166666666666667,0.1738095238095238,0.1988302734127872
Deep-HDBSCAN + DOI-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,3,3,1050,0.22952380952380952,0.25476190476190474,0.12857142857142856,0.42142857142857143,0.1928571428571429,0.20397662870123617
