Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Ft-CNN,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.48095238095238096,0.48095238095238096,,0.48095238095238096,0.0,0.4146563341401551
LwF,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.48095238095238096,0.48095238095238096,,0.48095238095238096,0.0,0.4146563341401551
EEIL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.48095238095238096,0.48095238095238096,,0.48095238095238096,0.0,0.4146563341401551
iCaRL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5952380952380952,0.5952380952380952,,0.5952380952380952,0.0,0.5829652533680251
TPCIL-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5785714285714286,0.5785714285714286,,0.5785714285714286,0.0,0.5672933468157965
DOI-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5952380952380952,0.5952380952380952,,0.5952380952380952,0.0,0.5829652533680251
Ft-CNN,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.3396825396825397,0.40714285714285714,0.20476190476190476,0.40714285714285714,0.07380952380952382,0.2563872868411314
LwF,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.3492063492063492,0.4595238095238095,0.12857142857142856,0.4595238095238095,0.021428571428571463,0.28077879707575265
iCaRL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.43492063492063493,0.49523809523809526,0.3142857142857143,0.49523809523809526,0.09999999999999998,0.43907017854019215
EEIL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.28888888888888886,0.2857142857142857,0.29523809523809524,0.2857142857142857,0.19523809523809527,0.2166908346275204
TPCIL-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.43492063492063493,0.5142857142857142,0.2761904761904762,0.5142857142857142,0.06428571428571439,0.44075286817523107
DOI-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.4238095238095238,0.49047619047619045,0.2904761904761905,0.49047619047619045,0.10476190476190478,0.4271156941420976
Ft-CNN,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.24047619047619048,0.2634920634920635,0.17142857142857143,0.39285714285714285,0.08809523809523812,0.20026634826717107
LwF,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.2845238095238095,0.2761904761904762,0.30952380952380953,0.4142857142857143,0.06666666666666665,0.21736962534605558
iCaRL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.35595238095238096,0.39206349206349206,0.24761904761904763,0.49047619047619045,0.10476190476190478,0.3613874553967684
EEIL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.26785714285714285,0.24285714285714285,0.34285714285714286,0.3547619047619048,0.1261904761904762,0.22253082001000704
TPCIL-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.35714285714285715,0.39365079365079364,0.24761904761904763,0.5119047619047619,0.06666666666666676,0.35708438253473995
DOI-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.3392857142857143,0.3984126984126984,0.1619047619047619,0.4976190476190476,0.0976190476190476,0.3448486777290339
Ft-CNN,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.17047619047619048,0.14761904761904762,0.2619047619047619,0.29523809523809524,0.18571428571428572,0.12264722660510634
LwF,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.19047619047619047,0.15714285714285714,0.3238095238095238,0.3142857142857143,0.16666666666666669,0.13291976185654705
iCaRL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.3028571428571429,0.3333333333333333,0.18095238095238095,0.3976190476190476,0.19761904761904764,0.29859953668372596
EEIL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.23904761904761904,0.225,0.29523809523809524,0.4,0.08095238095238094,0.194608250662897
TPCIL-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.2752380952380952,0.28809523809523807,0.22380952380952382,0.38095238095238093,0.1976190476190477,0.26597981468312937
DOI-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.3047619047619048,0.3392857142857143,0.16666666666666666,0.4119047619047619,0.18333333333333335,0.3003314975914194
