Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Ft-CNN,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.5815797992877954,0.5815797992877954,,0.5815797992877954,0.0,0.48776119513692656
LwF,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.5815797992877954,0.5815797992877954,,0.5815797992877954,0.0,0.48776119513692656
EEIL,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.5815797992877954,0.5815797992877954,,0.5815797992877954,0.0,0.48776119513692656
iCaRL,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.5488831337002266,0.5488831337002266,,0.5488831337002266,0.0,0.5066281297323967
TPCIL-style,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.5493687277436063,0.5493687277436063,,0.5493687277436063,0.0,0.5065993494789313
DOI-style,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.5488831337002266,0.5488831337002266,,0.5488831337002266,0.0,0.5066281297323967
Ft-CNN,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,11,11,7178,0.5009752020061299,0.5806086112010359,0.009,0.5806086112010359,0.0009711880867594447,0.4105608638353964
LwF,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,11,11,7178,0.500557258289217,0.5804467465199094,0.007,0.5804467465199094,0.0011330527678860003,0.41117138615988447
iCaRL,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,11,11,7178,0.4988854834215659,0.5126254451278731,0.414,0.5126254451278731,0.03625768857235345,0.47372510803796586
EEIL,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,11,11,7178,0.5288381164669824,0.5985755908060861,0.098,0.5985755908060861,-0.01699579151829078,0.4649523093251283
TPCIL-style,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,11,11,7178,0.4990247979938702,0.5131110391712528,0.412,0.5131110391712528,0.036257688572353564,0.4737056716480808
DOI-style,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,11,11,7178,0.5011145165784341,0.5127873098089997,0.429,0.5127873098089997,0.0360958238912269,0.47597136496760756
Ft-CNN,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,13,13,8178,0.4496209342137442,0.4891334633602675,0.166,0.5670119779864033,0.014567821301392003,0.36160593467303465
LwF,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,13,13,8178,0.4515774027879677,0.49749233769852325,0.122,0.5768857235351247,0.004694075752670668,0.3666345143814709
iCaRL,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,13,13,8178,0.49510882856444116,0.48620785734187794,0.559,0.5006474587245063,0.04823567497572023,0.4720349859914856
EEIL,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,13,13,8178,0.4914404499877721,0.5236834772917247,0.26,0.5793136937520234,0.0022661055357720006,0.44019067029807685
TPCIL-style,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,13,13,8178,0.4941305942773294,0.48509334076344385,0.559,0.49983813531887344,0.0495305924247329,0.47081604752660966
DOI-style,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,13,13,8178,0.5008559550012228,0.4856505990526609,0.61,0.49902881191324056,0.04985432178698601,0.4781349574985005
Ft-CNN,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,6,6,9178,0.40183046415341034,0.4199070677427244,0.254,0.5356102298478472,0.04596956943994812,0.31977494530295286
LwF,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,6,6,9178,0.40313793854870345,0.42663242846661775,0.211,0.5514729685982519,0.03010683068954345,0.32591758213498095
iCaRL,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,6,6,9178,0.4569623011549357,0.48667155783810223,0.214,0.49579151829070894,0.05309161540951762,0.4323324242893252
EEIL,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,6,6,9178,0.44780998038788405,0.48116898997309854,0.175,0.5534153447717708,0.028164454516024562,0.40389672408301414
TPCIL-style,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,6,6,9178,0.4559816953584659,0.48630471998043534,0.208,0.4956296536095824,0.053739074134023956,0.431177020766358
DOI-style,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,6,6,9178,0.4660056657223796,0.4926632428466618,0.248,0.4961152476529621,0.052767886047264456,0.440959500981061
