Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Deep-HDBSCAN + Ft-CNN,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.5822272580123017,0.5822272580123017,,0.5822272580123017,0.0,0.48412288513252677
Deep-HDBSCAN + LwF,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.5822272580123017,0.5822272580123017,,0.5822272580123017,0.0,0.48412288513252677
Deep-HDBSCAN + EEIL,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.5822272580123017,0.5822272580123017,,0.5822272580123017,0.0,0.48412288513252677
Deep-HDBSCAN + iCaRL,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.5851408222725801,0.5851408222725801,,0.5851408222725801,0.0,0.5334462499089722
Deep-HDBSCAN + TPCIL-style,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.5841696341858207,0.5841696341858207,,0.5841696341858207,0.0,0.5320133805455617
Deep-HDBSCAN + DOI-style,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.5851408222725801,0.5851408222725801,,0.5851408222725801,0.0,0.5334462499089722
Deep-HDBSCAN + Ft-CNN,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,12,12,7178,0.4986068542769574,0.5793136937520234,0.0,0.5793136937520234,0.002913564260278334,0.406364227853684
Deep-HDBSCAN + LwF,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,12,12,7178,0.4993034271384787,0.5801230171576562,0.0,0.5801230171576562,0.002104240854645445,0.40662968365262214
Deep-HDBSCAN + iCaRL,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,12,12,7178,0.5491780440234049,0.5537390741340239,0.521,0.5537390741340239,0.03140174813855623,0.512547913936459
Deep-HDBSCAN + EEIL,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,12,12,7178,0.5193647255502926,0.6022984784719974,0.007,0.6022984784719974,-0.02007122045969567,0.4486422509310904
Deep-HDBSCAN + TPCIL-style,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,12,12,7178,0.5480635274449708,0.552929750728391,0.518,0.552929750728391,0.031239883457429674,0.5113177455286454
Deep-HDBSCAN + DOI-style,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,12,12,7178,0.5493173585957091,0.5488831337002266,0.552,0.5488831337002266,0.036257688572353564,0.5129934400358002
Deep-HDBSCAN + Ft-CNN,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,7,7,8178,0.43372462704817805,0.49400947339091666,0.001,0.5739721592748462,0.008255098737455446,0.34505632182612433
Deep-HDBSCAN + LwF,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,7,7,8178,0.4367816091954023,0.49749233769852325,0.001,0.5780187763030107,0.004208481709291001,0.34892814328994026
Deep-HDBSCAN + iCaRL,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,7,7,8178,0.520665199315236,0.5331568682084146,0.431,0.5377144707024927,0.047426351570087455,0.48189804681378
Deep-HDBSCAN + EEIL,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,7,7,8178,0.4685742235265346,0.5257731958762887,0.058,0.5974425380382,-0.015215280025898337,0.40217203528664197
Deep-HDBSCAN + TPCIL-style,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,7,7,8178,0.5198092443140132,0.5324602953468933,0.429,0.5373907413402396,0.04677889284558112,0.4807507980309435
Deep-HDBSCAN + DOI-style,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,7,7,8178,0.5218879921741257,0.5348286430760657,0.429,0.5344771770799611,0.05066364519261901,0.4820266125012175
Deep-HDBSCAN + Ft-CNN,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,10,10,9178,0.3828720854216605,0.42956713132795304,0.001,0.568306895435416,0.01392036257688567,0.29485930469160787
Deep-HDBSCAN + LwF,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,10,10,9178,0.38581390281107,0.4328686720469552,0.001,0.5726772418258336,0.009550016186468113,0.29901006985423423
Deep-HDBSCAN + iCaRL,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,10,10,9178,0.49280889082588797,0.5059916850085595,0.385,0.528002589834898,0.057138232437682124,0.4570211730437419
Deep-HDBSCAN + EEIL,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,10,10,9178,0.43854870342122465,0.4900953778429934,0.017,0.590158627387504,-0.007931369375202335,0.3729799092985522
Deep-HDBSCAN + TPCIL-style,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,10,10,9178,0.4924820222270647,0.5056248471508926,0.385,0.5283263191971512,0.05584331498866946,0.45632658466947756
Deep-HDBSCAN + DOI-style,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,10,10,9178,0.49466114621921986,0.5062362435803375,0.4,0.5241178374878601,0.061022984784720014,0.4582973213376355
