Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Ft-CNN,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.5814179346066688,0.5814179346066688,,0.5814179346066688,0.0,0.48666538315361224
LwF,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.5814179346066688,0.5814179346066688,,0.5814179346066688,0.0,0.48666538315361224
EEIL,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.5814179346066688,0.5814179346066688,,0.5814179346066688,0.0,0.48666538315361224
iCaRL,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.5488831337002266,0.5488831337002266,,0.5488831337002266,0.0,0.5066281297323967
TPCIL-style,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.5493687277436063,0.5493687277436063,,0.5493687277436063,0.0,0.5065993494789313
DOI-style,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.5488831337002266,0.5488831337002266,,0.5488831337002266,0.0,0.5066281297323967
Ft-CNN,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,11,11,7178,0.4976316522708275,0.5764001294917449,0.011,0.5764001294917449,0.00501780511492389,0.4068312343281894
LwF,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,11,11,7178,0.49777096684313177,0.5776950469407576,0.004,0.5776950469407576,0.003722887665911223,0.4076372319238639
iCaRL,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,11,11,7178,0.4988854834215659,0.5126254451278731,0.414,0.5126254451278731,0.03625768857235345,0.47372510803796586
EEIL,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,11,11,7178,0.5267483978824185,0.596309485270314,0.097,0.596309485270314,-0.014891550663645226,0.46180805006477527
TPCIL-style,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,11,11,7178,0.4990247979938702,0.5131110391712528,0.412,0.5131110391712528,0.036257688572353564,0.4737056716480808
DOI-style,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,11,11,7178,0.5011145165784341,0.5127873098089997,0.429,0.5127873098089997,0.0360958238912269,0.47597136496760756
Ft-CNN,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,12,12,8178,0.44852042064074343,0.4848147116188353,0.188,0.5619941728714795,0.019423761735189338,0.36161842163937497
LwF,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,12,12,8178,0.4441183663487405,0.49150181108943997,0.104,0.5702492716089349,0.011168662997733891,0.35903007117834496
iCaRL,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,12,12,8178,0.4966984592809978,0.4869044302033993,0.567,0.501133052767886,0.047750080932340566,0.47211363518192523
EEIL,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,12,12,8178,0.4913181707018831,0.5214544441348565,0.275,0.5783425056652638,0.0030754289414050007,0.43937085030792544
TPCIL-style,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,12,12,8178,0.495842504279775,0.4860685427695737,0.566,0.5006474587245063,0.04872126901910001,0.4710273501884288
DOI-style,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,12,12,8178,0.5033015407190022,0.4863471719141822,0.625,0.49935254127549367,0.0495305924247329,0.47850421746149663
Ft-CNN,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,10,10,9178,0.4052081063412508,0.41954022988505746,0.288,0.5375526060213661,0.043865328585302676,0.32480123132104405
LwF,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,10,10,9178,0.3979080409675311,0.41929567131327955,0.223,0.5469407575267077,0.03447717707996112,0.3187783179476188
iCaRL,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,10,10,9178,0.46458923512747874,0.48630471998043534,0.287,0.4943347361605698,0.05454839753965679,0.4419498147721101
EEIL,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,10,10,9178,0.4510786663761168,0.4788456835412081,0.224,0.5500161864681127,0.03140174813855612,0.40981836927452236
TPCIL-style,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,10,10,9178,0.46349967313140117,0.4858156028368794,0.281,0.49417287147944317,0.05519585626416318,0.4408055414554666
DOI-style,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,10,10,9178,0.47199825670080625,0.4926632428466618,0.303,0.49449660084169633,0.054386532858530234,0.4499847479052163
