Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Deep-HDBSCAN + Ft-CNN,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.5765619941728715,0.5765619941728715,,0.5765619941728715,0.0,0.4705732123515251
Deep-HDBSCAN + LwF,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.5765619941728715,0.5765619941728715,,0.5765619941728715,0.0,0.4705732123515251
Deep-HDBSCAN + EEIL,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.5765619941728715,0.5765619941728715,,0.5765619941728715,0.0,0.4705732123515251
Deep-HDBSCAN + iCaRL,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.562156037552606,0.562156037552606,,0.562156037552606,0.0,0.5150386591224488
Deep-HDBSCAN + TPCIL-style,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.5624797669148591,0.5624797669148591,,0.5624797669148591,0.0,0.5148894774811014
Deep-HDBSCAN + DOI-style,Initial,ADS-B known-pool held-out partition,day1_eval_initial_30pct,90,-,-,-,6178,0.562156037552606,0.562156037552606,,0.562156037552606,0.0,0.5150386591224488
Deep-HDBSCAN + Ft-CNN,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,10,10,7178,0.4948453608247423,0.5749433473616057,0.0,0.5749433473616057,0.0016186468112657781,0.39393323120068385
Deep-HDBSCAN + LwF,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,10,10,7178,0.49568124825856785,0.5759145354483651,0.0,0.5759145354483651,0.0006474587245063335,0.39463571387634017
Deep-HDBSCAN + iCaRL,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,10,10,7178,0.5218723878517693,0.5304305600517967,0.469,0.5304305600517967,0.03172547750080934,0.4863438078143622
Deep-HDBSCAN + EEIL,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,10,10,7178,0.5213151295625522,0.5987374554872127,0.043,0.5987374554872127,-0.022175461314341227,0.45136245186975793
Deep-HDBSCAN + TPCIL-style,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,10,10,7178,0.5215937587071607,0.5301068306895436,0.469,0.5301068306895436,0.03237293622531556,0.48587387669422
Deep-HDBSCAN + DOI-style,After R1,ADS-B held-out evaluation after round 1,eval_r1_30pct_100_seen,100,10,10,10,7178,0.5239621064363332,0.5286500485594043,0.495,0.5286500485594043,0.033505988993201674,0.4877505913504161
Deep-HDBSCAN + Ft-CNN,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,10,10,8178,0.42663242846661775,0.4860685427695737,0.0,0.5647458724506312,0.011816121722240225,0.3244021879305042
Deep-HDBSCAN + LwF,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,10,10,8178,0.4288334556126192,0.48857620507105043,0.0,0.5676594367109097,0.00890255746196178,0.3274366108467944
Deep-HDBSCAN + iCaRL,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,10,10,8178,0.49351919784788456,0.5044580663137365,0.415,0.5135966332146326,0.048559404337973455,0.45770150550292427
Deep-HDBSCAN + EEIL,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,10,10,8178,0.46784054781120077,0.5319030370576763,0.008,0.5984137261249596,-0.021851731952088116,0.39969153354000425
Deep-HDBSCAN + TPCIL-style,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,10,10,8178,0.49327463927610665,0.5041794371691279,0.415,0.5135966332146326,0.048883133700226566,0.45721110990313213
Deep-HDBSCAN + DOI-style,After R2,ADS-B held-out evaluation after round 2,eval_r2_30pct_110_seen,110,10,10,10,8178,0.4975544142822206,0.5058512120367791,0.438,0.5132729038523794,0.048883133700226566,0.4617661793870253
Deep-HDBSCAN + Ft-CNN,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,10,10,9178,0.37709740684244936,0.4232086084617266,0.0,0.5602136613790871,0.016348332793784337,0.2759784819070939
Deep-HDBSCAN + LwF,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,10,10,9178,0.3798213118326433,0.42626559060895086,0.0,0.5642602784072516,0.012301715765619892,0.279249873758136
Deep-HDBSCAN + iCaRL,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,10,10,9178,0.4650250599259098,0.48080215211543165,0.336,0.5043703463904176,0.05778569116218846,0.4316503139387419
Deep-HDBSCAN + EEIL,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,10,10,9178,0.42416648507300064,0.4760332599657618,0.0,0.5856264163159599,-0.009064422143088446,0.3562136500136077
Deep-HDBSCAN + TPCIL-style,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,10,10,9178,0.46535192852473306,0.4812912692589875,0.335,0.5046940757526708,0.057785691162188346,0.4318009869549577
Deep-HDBSCAN + DOI-style,After R3,ADS-B held-out evaluation after round 3,eval_r3_30pct_120_seen,120,10,10,10,9178,0.47058182610590543,0.48361457569087796,0.364,0.503075428941405,0.05908060861120101,0.4370415590899012
