Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Deep-HDBSCAN + Ft-CNN,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5285714285714286,0.5285714285714286,,0.5285714285714286,0.0,0.4816956707781411
Deep-HDBSCAN + LwF,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5285714285714286,0.5285714285714286,,0.5285714285714286,0.0,0.4816956707781411
Deep-HDBSCAN + EEIL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5285714285714286,0.5285714285714286,,0.5285714285714286,0.0,0.4816956707781411
Deep-HDBSCAN + iCaRL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5595238095238095,0.5595238095238095,,0.5595238095238095,0.0,0.5555706136540466
Deep-HDBSCAN + TPCIL-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5476190476190477,0.5476190476190477,,0.5476190476190477,0.0,0.5385895354189106
Deep-HDBSCAN + DOI-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5595238095238095,0.5595238095238095,,0.5595238095238095,0.0,0.5555706136540466
Deep-HDBSCAN + Ft-CNN,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.3476190476190476,0.5214285714285715,0.0,0.5214285714285715,0.0071428571428571175,0.264151515093731
Deep-HDBSCAN + LwF,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.346031746031746,0.5190476190476191,0.0,0.5190476190476191,0.00952380952380949,0.2632798382070138
Deep-HDBSCAN + iCaRL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.3888888888888889,0.530952380952381,0.10476190476190476,0.530952380952381,0.02857142857142858,0.3497390105293941
Deep-HDBSCAN + EEIL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.3349206349206349,0.5,0.004761904761904762,0.5,0.02857142857142858,0.25569690849171905
Deep-HDBSCAN + TPCIL-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.3873015873015873,0.530952380952381,0.1,0.530952380952381,0.01666666666666672,0.3456128843060922
Deep-HDBSCAN + DOI-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.38095238095238093,0.5285714285714286,0.08571428571428572,0.5285714285714286,0.030952380952380953,0.34402853470643824
Deep-HDBSCAN + Ft-CNN,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.26666666666666666,0.28888888888888886,0.2,0.43333333333333335,0.09523809523809523,0.20991955485832842
Deep-HDBSCAN + LwF,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.2654761904761905,0.29365079365079366,0.18095238095238095,0.44047619047619047,0.08809523809523812,0.20625195215768177
Deep-HDBSCAN + iCaRL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.3011904761904762,0.39365079365079364,0.023809523809523808,0.55,0.00952380952380949,0.2698167247551148
Deep-HDBSCAN + EEIL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.2642857142857143,0.28253968253968254,0.20952380952380953,0.4238095238095238,0.10476190476190478,0.19454201428917992
Deep-HDBSCAN + TPCIL-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.3011904761904762,0.39365079365079364,0.023809523809523808,0.55,-0.0023809523809523725,0.26704900497487627
Deep-HDBSCAN + DOI-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.29285714285714287,0.38412698412698415,0.01904761904761905,0.5428571428571428,0.01666666666666672,0.2651310011542939
Deep-HDBSCAN + Ft-CNN,After R3,Day 4,eval_r3_30pct_25_seen,25,5,3,3,1050,0.19523809523809524,0.19285714285714287,0.20476190476190476,0.38571428571428573,0.14285714285714285,0.1380910616009521
Deep-HDBSCAN + LwF,After R3,Day 4,eval_r3_30pct_25_seen,25,5,3,3,1050,0.2123809523809524,0.2154761904761905,0.2,0.430952380952381,0.0976190476190476,0.14615919940993932
Deep-HDBSCAN + iCaRL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,3,3,1050,0.2123809523809524,0.23809523809523808,0.10952380952380952,0.4119047619047619,0.14761904761904765,0.18541946506907842
Deep-HDBSCAN + EEIL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,3,3,1050,0.20952380952380953,0.2130952380952381,0.19523809523809524,0.4238095238095238,0.10476190476190478,0.136081074614987
Deep-HDBSCAN + TPCIL-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,3,3,1050,0.20666666666666667,0.23214285714285715,0.10476190476190476,0.4095238095238095,0.13809523809523816,0.17803628249771886
Deep-HDBSCAN + DOI-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,3,3,1050,0.2123809523809524,0.23214285714285715,0.13333333333333333,0.4,0.1595238095238095,0.18434396355888796
