Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Ft-CNN,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.48333333333333334,0.48333333333333334,,0.48333333333333334,0.0,0.404757203512595
LwF,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.48333333333333334,0.48333333333333334,,0.48333333333333334,0.0,0.404757203512595
EEIL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.48333333333333334,0.48333333333333334,,0.48333333333333334,0.0,0.404757203512595
iCaRL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5404761904761904,0.5404761904761904,,0.5404761904761904,0.0,0.5354885152771456
TPCIL-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.530952380952381,0.530952380952381,,0.530952380952381,0.0,0.5238942051559803
DOI-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5404761904761904,0.5404761904761904,,0.5404761904761904,0.0,0.5354885152771456
Ft-CNN,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.3253968253968254,0.3880952380952381,0.2,0.3880952380952381,0.09523809523809523,0.23747203177633144
LwF,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.33174603174603173,0.43333333333333335,0.12857142857142856,0.43333333333333335,0.04999999999999999,0.26158964428564774
iCaRL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.37936507936507935,0.4523809523809524,0.23333333333333334,0.4523809523809524,0.08809523809523806,0.36742492934267473
EEIL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.31746031746031744,0.3523809523809524,0.24761904761904763,0.3523809523809524,0.13095238095238093,0.24298168689215613
TPCIL-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.39206349206349206,0.47619047619047616,0.22380952380952382,0.47619047619047616,0.05476190476190479,0.37630205403495437
DOI-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,5,5,630,0.37142857142857144,0.4380952380952381,0.23809523809523808,0.4380952380952381,0.10238095238095235,0.3632520696169397
Ft-CNN,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.2369047619047619,0.2523809523809524,0.19047619047619047,0.3738095238095238,0.10952380952380952,0.17641673670889046
LwF,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.26666666666666666,0.2396825396825397,0.3476190476190476,0.3595238095238095,0.12380952380952381,0.18114524247320768
iCaRL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.34404761904761905,0.40476190476190477,0.1619047619047619,0.5,0.04047619047619044,0.32098606559878207
EEIL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.2916666666666667,0.2698412698412698,0.35714285714285715,0.40476190476190477,0.07857142857142857,0.21007733445235793
TPCIL-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.3488095238095238,0.4111111111111111,0.1619047619047619,0.5047619047619047,0.02619047619047621,0.32445980286389
DOI-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.3464285714285714,0.40793650793650793,0.1619047619047619,0.4976190476190476,0.042857142857142816,0.3292185241584202
Ft-CNN,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.1838095238095238,0.15476190476190477,0.3,0.30952380952380953,0.1738095238095238,0.1170172603805626
LwF,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.16476190476190475,0.15,0.22380952380952382,0.2976190476190476,0.18571428571428572,0.10850952685455302
iCaRL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.25142857142857145,0.26666666666666666,0.19047619047619047,0.37857142857142856,0.16190476190476188,0.24011050834706826
EEIL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.21333333333333335,0.1988095238095238,0.2714285714285714,0.3738095238095238,0.10952380952380952,0.157643138957325
TPCIL-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.23523809523809525,0.24523809523809523,0.19523809523809524,0.36904761904761907,0.16190476190476188,0.21839802911094863
DOI-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.25333333333333335,0.27380952380952384,0.17142857142857143,0.3761904761904762,0.16428571428571426,0.24277736709301667
