Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Deep-HDBSCAN + Ft-CNN,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.3142857142857143,0.3142857142857143,,0.3142857142857143,0.0,0.24531817582105903
Deep-HDBSCAN + LwF,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.3142857142857143,0.3142857142857143,,0.3142857142857143,0.0,0.24531817582105903
Deep-HDBSCAN + EEIL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.3142857142857143,0.3142857142857143,,0.3142857142857143,0.0,0.24531817582105903
Deep-HDBSCAN + iCaRL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5261904761904762,0.5261904761904762,,0.5261904761904762,0.0,0.49434816369250195
Deep-HDBSCAN + TPCIL-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5119047619047619,0.5119047619047619,,0.5119047619047619,0.0,0.4877587266139404
Deep-HDBSCAN + DOI-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5261904761904762,0.5261904761904762,,0.5261904761904762,0.0,0.49434816369250195
Deep-HDBSCAN + Ft-CNN,After R1,Day 2,eval_r1_30pct_15_seen,15,5,3,3,630,0.21746031746031746,0.25,0.1523809523809524,0.25,0.06428571428571428,0.1763437212946357
Deep-HDBSCAN + LwF,After R1,Day 2,eval_r1_30pct_15_seen,15,5,3,3,630,0.19365079365079366,0.19285714285714287,0.19523809523809524,0.19285714285714287,0.12142857142857141,0.14267509724102323
Deep-HDBSCAN + iCaRL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,3,3,630,0.346031746031746,0.4023809523809524,0.23333333333333334,0.4023809523809524,0.12380952380952381,0.3213045916386052
Deep-HDBSCAN + EEIL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,3,3,630,0.18253968253968253,0.17857142857142858,0.19047619047619047,0.17857142857142858,0.1357142857142857,0.13827310209513996
Deep-HDBSCAN + TPCIL-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,3,3,630,0.353968253968254,0.45,0.1619047619047619,0.45,0.06190476190476185,0.32844184301385165
Deep-HDBSCAN + DOI-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,3,3,630,0.346031746031746,0.4023809523809524,0.23333333333333334,0.4023809523809524,0.12380952380952381,0.3213663495501422
Deep-HDBSCAN + Ft-CNN,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.1595238095238095,0.17142857142857143,0.12380952380952381,0.19285714285714287,0.12142857142857141,0.08795028741044546
Deep-HDBSCAN + LwF,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.14166666666666666,0.14126984126984127,0.14285714285714285,0.1761904761904762,0.13809523809523808,0.07335633541386852
Deep-HDBSCAN + iCaRL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.27976190476190477,0.30793650793650795,0.19523809523809524,0.38571428571428573,0.14047619047619048,0.24497143340020147
Deep-HDBSCAN + EEIL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.13333333333333333,0.12698412698412698,0.1523809523809524,0.18095238095238095,0.13333333333333333,0.07645332311733657
Deep-HDBSCAN + TPCIL-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.2785714285714286,0.3142857142857143,0.17142857142857143,0.4238095238095238,0.08809523809523806,0.24401517440895443
Deep-HDBSCAN + DOI-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.2726190476190476,0.3,0.19047619047619047,0.37857142857142856,0.14761904761904765,0.2401405350920677
Deep-HDBSCAN + Ft-CNN,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.10761904761904761,0.07380952380952381,0.24285714285714285,0.14761904761904762,0.16666666666666666,0.0485202500135324
Deep-HDBSCAN + LwF,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.1,0.06666666666666667,0.23333333333333334,0.13333333333333333,0.18095238095238095,0.045216046962951145
Deep-HDBSCAN + iCaRL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.2180952380952381,0.22380952380952382,0.19523809523809524,0.2976190476190476,0.2285714285714286,0.1873583410772871
Deep-HDBSCAN + EEIL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.12285714285714286,0.10476190476190476,0.19523809523809524,0.20476190476190476,0.10952380952380952,0.06744591402924809
Deep-HDBSCAN + TPCIL-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.21333333333333335,0.21666666666666667,0.2,0.3333333333333333,0.17857142857142855,0.18263609408792006
Deep-HDBSCAN + DOI-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,5,5,1050,0.21428571428571427,0.22023809523809523,0.19047619047619047,0.2904761904761905,0.2357142857142857,0.18403959535228648
