Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Ft-CNN,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.36428571428571427,0.36428571428571427,,0.36428571428571427,0.0,0.2565149093694198
LwF,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.36428571428571427,0.36428571428571427,,0.36428571428571427,0.0,0.2565149093694198
EEIL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.36428571428571427,0.36428571428571427,,0.36428571428571427,0.0,0.2565149093694198
iCaRL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5095238095238095,0.5095238095238095,,0.5095238095238095,0.0,0.4754369758510334
TPCIL-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5023809523809524,0.5023809523809524,,0.5023809523809524,0.0,0.4781267634689555
DOI-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.5095238095238095,0.5095238095238095,,0.5095238095238095,0.0,0.4754369758510334
Ft-CNN,After R1,Day 2,eval_r1_30pct_15_seen,15,5,12,12,630,0.18412698412698414,0.1738095238095238,0.20476190476190476,0.1738095238095238,0.19047619047619047,0.11891257394264403
LwF,After R1,Day 2,eval_r1_30pct_15_seen,15,5,12,12,630,0.1634920634920635,0.14285714285714285,0.20476190476190476,0.14285714285714285,0.22142857142857142,0.09979761761636632
iCaRL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,12,12,630,0.28095238095238095,0.33095238095238094,0.18095238095238095,0.33095238095238094,0.17857142857142855,0.3178097013389564
EEIL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,12,12,630,0.20476190476190476,0.15,0.3142857142857143,0.15,0.21428571428571427,0.14114963988597187
TPCIL-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,12,12,630,0.2841269841269841,0.35,0.1523809523809524,0.35,0.1523809523809524,0.3158282697443272
DOI-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,12,12,630,0.26825396825396824,0.3380952380952381,0.12857142857142856,0.3380952380952381,0.17142857142857137,0.2983818862913103
Ft-CNN,After R2,Day 3,eval_r2_30pct_20_seen,20,5,6,6,840,0.13095238095238096,0.10158730158730159,0.21904761904761905,0.1523809523809524,0.21190476190476187,0.06253501936283885
LwF,After R2,Day 3,eval_r2_30pct_20_seen,20,5,6,6,840,0.1619047619047619,0.10317460317460317,0.3380952380952381,0.15476190476190477,0.2095238095238095,0.08594140737508921
iCaRL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,6,6,840,0.25,0.28095238095238095,0.15714285714285714,0.3738095238095238,0.13571428571428568,0.2671663432103565
EEIL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,6,6,840,0.16785714285714284,0.13968253968253969,0.2523809523809524,0.20952380952380953,0.15476190476190474,0.11424392117755963
TPCIL-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,6,6,840,0.24404761904761904,0.2761904761904762,0.14761904761904762,0.38095238095238093,0.12142857142857144,0.25380381665533275
DOI-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,6,6,840,0.25833333333333336,0.28253968253968254,0.18571428571428572,0.38095238095238093,0.12857142857142856,0.27182820033827304
Ft-CNN,After R3,Day 4,eval_r3_30pct_25_seen,25,5,8,8,1050,0.09238095238095238,0.06666666666666667,0.19523809523809524,0.12857142857142856,0.2357142857142857,0.04765874181029461
LwF,After R3,Day 4,eval_r3_30pct_25_seen,25,5,8,8,1050,0.05714285714285714,0.0630952380952381,0.03333333333333333,0.1261904761904762,0.23809523809523808,0.04048864093890395
iCaRL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,8,8,1050,0.18,0.2,0.1,0.3047619047619048,0.2047619047619047,0.18303798952708716
EEIL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,8,8,1050,0.12476190476190477,0.10119047619047619,0.21904761904761905,0.20238095238095238,0.16190476190476188,0.09095362247719194
TPCIL-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,8,8,1050,0.18,0.1976190476190476,0.10952380952380952,0.32857142857142857,0.1738095238095238,0.17727299311113395
DOI-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,8,8,1050,0.17904761904761904,0.20238095238095238,0.08571428571428572,0.32142857142857145,0.18809523809523804,0.17612053575443962
