Stage,Old Logit Bias,Old Class Count,IQ_7 Validation Old-Class Acc
Initial,0.0,10,0.5428571428571428
Initial,0.5,10,0.5428571428571428
Initial,1.0,10,0.5428571428571428
Initial,1.5,10,0.5428571428571428
Initial,2.0,10,0.5428571428571428
Initial,3.0,10,0.5428571428571428
After R1,0.0,10,0.2
After R1,0.5,10,0.2
After R1,1.0,10,0.2
After R1,1.5,10,0.22142857142857142
After R1,2.0,10,0.2357142857142857
After R1,3.0,10,0.30714285714285716
After R2,0.0,15,0.17857142857142858
After R2,0.5,15,0.18571428571428572
After R2,1.0,15,0.19285714285714287
After R2,1.5,15,0.2
After R2,2.0,15,0.2
After R2,3.0,15,0.2
After R3,0.0,20,0.11428571428571428
After R3,0.5,20,0.1357142857142857
After R3,1.0,20,0.16428571428571428
After R3,1.5,20,0.17857142857142858
After R3,2.0,20,0.17857142857142858
After R3,3.0,20,0.17857142857142858
