Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Deep-HDBSCAN + Ft-CNN,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.39285714285714285,0.39285714285714285,,0.39285714285714285,0.0,0.3058030343553551
Deep-HDBSCAN + LwF,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.39285714285714285,0.39285714285714285,,0.39285714285714285,0.0,0.3058030343553551
Deep-HDBSCAN + EEIL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.39285714285714285,0.39285714285714285,,0.39285714285714285,0.0,0.3058030343553551
Deep-HDBSCAN + iCaRL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.4785714285714286,0.4785714285714286,,0.4785714285714286,0.0,0.45191988172728753
Deep-HDBSCAN + TPCIL-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.46904761904761905,0.46904761904761905,,0.46904761904761905,0.0,0.45166166177559147
Deep-HDBSCAN + DOI-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.4785714285714286,0.4785714285714286,,0.4785714285714286,0.0,0.45191988172728753
Deep-HDBSCAN + Ft-CNN,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.2253968253968254,0.2619047619047619,0.1523809523809524,0.2619047619047619,0.13095238095238093,0.15798906068810403
Deep-HDBSCAN + LwF,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.20317460317460317,0.21428571428571427,0.18095238095238095,0.21428571428571427,0.17857142857142858,0.142711432124074
Deep-HDBSCAN + iCaRL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.273015873015873,0.3738095238095238,0.07142857142857142,0.3738095238095238,0.10476190476190478,0.22555784094096493
Deep-HDBSCAN + EEIL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.22857142857142856,0.25476190476190474,0.1761904761904762,0.25476190476190474,0.1380952380952381,0.1724038751868847
Deep-HDBSCAN + TPCIL-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.28095238095238095,0.39285714285714285,0.05714285714285714,0.39285714285714285,0.0761904761904762,0.22688764355478458
Deep-HDBSCAN + DOI-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,2,2,630,0.2746031746031746,0.3738095238095238,0.0761904761904762,0.3738095238095238,0.10476190476190478,0.22564998196093847
Deep-HDBSCAN + Ft-CNN,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.1380952380952381,0.12857142857142856,0.16666666666666666,0.19285714285714287,0.19999999999999998,0.08466811625190476
Deep-HDBSCAN + LwF,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.14285714285714285,0.13333333333333333,0.17142857142857143,0.1976190476190476,0.19523809523809524,0.08737113669205647
Deep-HDBSCAN + iCaRL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.2523809523809524,0.30317460317460315,0.1,0.4166666666666667,0.06190476190476191,0.20527603240760342
Deep-HDBSCAN + EEIL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.15119047619047618,0.14444444444444443,0.17142857142857143,0.21428571428571427,0.17857142857142858,0.09708515544433852
Deep-HDBSCAN + TPCIL-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.25476190476190474,0.30793650793650795,0.09523809523809523,0.4238095238095238,0.045238095238095244,0.20625729769405918
Deep-HDBSCAN + DOI-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,2,2,840,0.2523809523809524,0.30317460317460315,0.1,0.4166666666666667,0.06190476190476191,0.20691534977111598
Deep-HDBSCAN + Ft-CNN,After R3,Day 4,eval_r3_30pct_25_seen,25,5,2,2,1050,0.11619047619047619,0.1,0.18095238095238095,0.1976190476190476,0.19523809523809524,0.05920205977710417
Deep-HDBSCAN + LwF,After R3,Day 4,eval_r3_30pct_25_seen,25,5,2,2,1050,0.11619047619047619,0.1,0.18095238095238095,0.1976190476190476,0.19523809523809524,0.059159934914022806
Deep-HDBSCAN + iCaRL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,2,2,1050,0.18095238095238095,0.2261904761904762,0.0,0.34523809523809523,0.13333333333333336,0.1247024555803876
Deep-HDBSCAN + EEIL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,2,2,1050,0.12761904761904763,0.11428571428571428,0.18095238095238095,0.22142857142857142,0.17142857142857143,0.08095764183771793
Deep-HDBSCAN + TPCIL-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,2,2,1050,0.17714285714285713,0.22142857142857142,0.0,0.3404761904761905,0.12857142857142856,0.12239007658965897
Deep-HDBSCAN + DOI-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,2,2,1050,0.1819047619047619,0.22738095238095238,0.0,0.34523809523809523,0.13333333333333336,0.12481442918532856
