Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Macro F1
Ft-CNN,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.4166666666666667,0.4166666666666667,,0.4166666666666667,0.0,0.3514388049420982
LwF,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.4166666666666667,0.4166666666666667,,0.4166666666666667,0.0,0.3514388049420982
EEIL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.4166666666666667,0.4166666666666667,,0.4166666666666667,0.0,0.3514388049420982
iCaRL,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.4857142857142857,0.4857142857142857,,0.4857142857142857,0.0,0.4700305863755704
TPCIL-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.4785714285714286,0.4785714285714286,,0.4785714285714286,0.0,0.4686545567828759
DOI-style,Initial,Day 1,day1_eval_initial_30pct,10,-,-,-,420,0.4857142857142857,0.4857142857142857,,0.4857142857142857,0.0,0.4700305863755704
Ft-CNN,After R1,Day 2,eval_r1_30pct_15_seen,15,5,7,7,630,0.22380952380952382,0.22142857142857142,0.22857142857142856,0.22142857142857142,0.19523809523809527,0.17560004913563995
LwF,After R1,Day 2,eval_r1_30pct_15_seen,15,5,7,7,630,0.23015873015873015,0.22380952380952382,0.24285714285714285,0.22380952380952382,0.19285714285714287,0.19690799546900437
iCaRL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,7,7,630,0.2698412698412698,0.29285714285714287,0.22380952380952382,0.29285714285714287,0.19285714285714284,0.25601393041493786
EEIL,After R1,Day 2,eval_r1_30pct_15_seen,15,5,7,7,630,0.18571428571428572,0.1595238095238095,0.23809523809523808,0.1595238095238095,0.2571428571428572,0.1348228684572619
TPCIL-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,7,7,630,0.2714285714285714,0.30714285714285716,0.2,0.30714285714285716,0.17142857142857143,0.2563869709888768
DOI-style,After R1,Day 2,eval_r1_30pct_15_seen,15,5,7,7,630,0.2619047619047619,0.2904761904761905,0.20476190476190476,0.2904761904761905,0.1952380952380952,0.24790937861755602
Ft-CNN,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.14404761904761904,0.12063492063492064,0.21428571428571427,0.18095238095238095,0.23571428571428574,0.1035177449590162
LwF,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.16785714285714284,0.13174603174603175,0.2761904761904762,0.1880952380952381,0.2285714285714286,0.11814545878740754
iCaRL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.2845238095238095,0.3142857142857143,0.19523809523809524,0.4166666666666667,0.06904761904761902,0.290584541642155
EEIL,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.1976190476190476,0.16031746031746033,0.30952380952380953,0.2357142857142857,0.18095238095238098,0.17089441278645726
TPCIL-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.275,0.31587301587301586,0.1523809523809524,0.43333333333333335,0.045238095238095244,0.27219756914598037
DOI-style,After R2,Day 3,eval_r2_30pct_20_seen,20,5,5,5,840,0.2761904761904762,0.30952380952380953,0.1761904761904762,0.42142857142857143,0.06428571428571428,0.2820197738566084
Ft-CNN,After R3,Day 4,eval_r3_30pct_25_seen,25,5,7,7,1050,0.12857142857142856,0.09523809523809523,0.2619047619047619,0.19047619047619047,0.22619047619047622,0.07713422686541932
LwF,After R3,Day 4,eval_r3_30pct_25_seen,25,5,7,7,1050,0.12380952380952381,0.0988095238095238,0.22380952380952382,0.1976190476190476,0.21904761904761907,0.08192744422683704
iCaRL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,7,7,1050,0.16666666666666666,0.1773809523809524,0.12380952380952381,0.26666666666666666,0.21904761904761905,0.15979993225501424
EEIL,After R3,Day 4,eval_r3_30pct_25_seen,25,5,7,7,1050,0.13714285714285715,0.11666666666666667,0.21904761904761905,0.23333333333333334,0.18333333333333335,0.09332296953098795
TPCIL-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,7,7,1050,0.1676190476190476,0.1773809523809524,0.12857142857142856,0.2904761904761905,0.1880952380952381,0.15803169512743065
DOI-style,After R3,Day 4,eval_r3_30pct_25_seen,25,5,7,7,1050,0.1676190476190476,0.17857142857142858,0.12380952380952381,0.27380952380952384,0.21190476190476187,0.160219463066255
