Stage,Old Mass Threshold,Validation Accuracy
Initial,0.55,0.6392857142857142
Initial,0.65,0.6392857142857142
Initial,0.75,0.6392857142857142
Initial,0.85,0.6392857142857142
Initial,0.95,0.6392857142857142
After R1,0.55,0.32857142857142857
After R1,0.65,0.32857142857142857
After R1,0.75,0.32857142857142857
After R1,0.85,0.32857142857142857
After R1,0.95,0.38571428571428573
After R2,0.55,0.45
After R2,0.65,0.43214285714285716
After R2,0.75,0.42857142857142855
After R2,0.85,0.45714285714285713
After R2,0.95,0.4714285714285714
After R3,0.55,0.38571428571428573
After R3,0.65,0.3464285714285714
After R3,0.75,0.3535714285714286
After R3,0.85,0.35714285714285715
After R3,0.95,0.37142857142857144
