Stage,Fusion Weight,Validation Accuracy
Initial,0.1,0.6071428571428571
Initial,0.25,0.6214285714285714
Initial,0.5,0.6035714285714285
Initial,0.75,0.6464285714285715
After R1,0.1,0.5214285714285715
After R1,0.25,0.5107142857142857
After R1,0.5,0.48928571428571427
After R1,0.75,0.44285714285714284
After R2,0.1,0.5464285714285714
After R2,0.25,0.5428571428571428
After R2,0.5,0.5
After R2,0.75,0.45
After R3,0.1,0.4857142857142857
After R3,0.25,0.46785714285714286
After R3,0.5,0.4607142857142857
After R3,0.75,0.425
