stage,day,device,label,transmission,samples,symbol_offset,alignment_score
after_r1,2,1,0,1,28,391,0.09489677287638187
after_r1,2,2,1,1,28,203,0.0991920679807663
after_r1,2,3,2,1,28,554,0.11521332152187824
after_r1,2,4,3,1,28,637,0.1598360426723957
after_r1,2,5,4,1,28,264,0.10884378477931023
after_r1,2,6,5,1,28,360,0.12178683839738369
after_r1,2,7,6,1,28,282,0.10005372390151024
after_r1,2,8,7,1,28,497,0.123879699036479
after_r1,2,10,8,1,28,116,0.0875562485307455
after_r1,2,11,9,1,28,0,0.08535540755838156
after_r2,3,1,0,1,28,158,0.12616855837404728
after_r2,3,2,1,1,28,444,0.1381958555430174
after_r2,3,3,2,1,28,702,0.12553194165229797
after_r2,3,4,3,1,28,103,0.10467616282403469
after_r2,3,5,4,1,28,706,0.09910228662192822
after_r2,3,6,5,1,28,415,0.14871802367269993
after_r2,3,7,6,1,28,141,0.11343241855502129
after_r2,3,8,7,1,28,139,0.1280818823724985
after_r2,3,10,8,1,28,966,0.08517403528094292
after_r2,3,11,9,1,28,275,0.11045333370566368
after_r2,3,12,10,1,28,487,0.12796244025230408
after_r2,3,13,11,1,28,507,0.09512092173099518
after_r2,3,14,12,1,28,546,0.14456280879676342
after_r2,3,15,13,1,28,320,0.1428096815943718
after_r2,3,16,14,1,28,81,0.14044121094048023
after_r3,4,1,0,1,28,15,0.10827325098216534
after_r3,4,2,1,1,28,255,0.10064067877829075
after_r3,4,3,2,1,28,143,0.15978867560625076
after_r3,4,4,3,1,28,178,0.12390092201530933
after_r3,4,5,4,1,28,905,0.15925655886530876
after_r3,4,6,5,1,28,990,0.11698088236153126
after_r3,4,7,6,1,28,88,0.09771212190389633
after_r3,4,8,7,1,28,942,0.10470631532371044
after_r3,4,10,8,1,28,483,0.1015650350600481
after_r3,4,11,9,1,28,88,0.12957610934972763
after_r3,4,12,10,1,28,633,0.14879293739795685
after_r3,4,13,11,1,28,757,0.10184195823967457
after_r3,4,14,12,1,28,948,0.12886768393218517
after_r3,4,15,13,1,28,452,0.14198787696659565
after_r3,4,16,14,1,28,990,0.14217067323625088
after_r3,4,17,15,1,28,491,0.10442314110696316
after_r3,4,18,16,1,28,713,0.12709699384868145
after_r3,4,19,17,1,28,357,0.11113885790109634
after_r3,4,20,18,1,28,738,0.12441377155482769
after_r3,4,21,19,1,28,987,0.12140723876655102
