stage,day,device,label,transmission,samples,symbol_offset,alignment_score
after_r1,2,1,0,1,28,391,0.09489677287638187
after_r1,2,1,0,2,28,434,0.05472107056993991
after_r1,2,1,0,3,28,282,0.13421189226210117
after_r1,2,2,1,1,28,203,0.0991920679807663
after_r1,2,2,1,2,28,1008,0.12084734812378883
after_r1,2,2,1,3,28,591,0.12284297682344913
after_r1,2,3,2,1,28,554,0.11521332152187824
after_r1,2,3,2,2,28,83,0.06658614799380302
after_r1,2,3,2,3,28,318,0.1289479061961174
after_r1,2,4,3,1,28,637,0.1598360426723957
after_r1,2,4,3,2,28,451,0.22167024202644825
after_r1,2,4,3,3,28,890,0.10780656337738037
after_r1,2,5,4,1,28,264,0.10884378477931023
after_r1,2,5,4,2,28,344,0.13192900270223618
after_r1,2,5,4,3,28,0,0.09925836883485317
after_r1,2,6,5,1,28,360,0.12178683839738369
after_r1,2,6,5,2,28,922,0.09825536422431469
after_r1,2,6,5,3,28,436,0.12571705132722855
after_r1,2,7,6,1,28,282,0.10005372390151024
after_r1,2,7,6,2,28,282,0.10005372390151024
after_r1,2,7,6,3,28,38,0.12339456006884575
after_r1,2,8,7,1,28,497,0.123879699036479
after_r1,2,8,7,2,28,734,0.11728991195559502
after_r1,2,8,7,3,28,995,0.07090615411289036
after_r1,2,10,8,1,28,116,0.0875562485307455
after_r1,2,10,8,2,28,359,0.12306268699467182
after_r1,2,10,8,3,28,3,0.019582785316742957
after_r1,2,11,9,1,28,0,0.08535540755838156
after_r1,2,11,9,2,28,684,0.08896004222333431
after_r1,2,11,9,3,28,513,0.1562950797379017
after_r2,3,1,0,1,28,158,0.12616855837404728
after_r2,3,1,0,2,28,837,0.09167533926665783
after_r2,3,1,0,3,28,709,0.11740754917263985
after_r2,3,2,1,1,28,444,0.1381958555430174
after_r2,3,2,1,2,28,712,0.0912009198218584
after_r2,3,2,1,3,28,520,0.10516279749572277
after_r2,3,3,2,1,28,702,0.12553194165229797
after_r2,3,3,2,2,28,342,0.12294122204184532
after_r2,3,3,2,3,28,645,0.11431817337870598
after_r2,3,4,3,1,28,103,0.10467616282403469
after_r2,3,4,3,2,28,256,0.1132136695086956
after_r2,3,4,3,3,28,281,0.09871955774724483
after_r2,3,5,4,1,28,706,0.09910228662192822
after_r2,3,5,4,2,28,738,0.12360644526779652
after_r2,3,5,4,3,28,179,0.12836067751049995
after_r2,3,6,5,1,28,415,0.14871802367269993
after_r2,3,6,5,2,28,294,0.11544590070843697
after_r2,3,6,5,3,28,930,0.13545707054436207
after_r2,3,7,6,1,28,141,0.11343241855502129
after_r2,3,7,6,2,28,388,0.12292922101914883
after_r2,3,7,6,3,28,436,0.10205149836838245
after_r2,3,8,7,1,28,139,0.1280818823724985
after_r2,3,8,7,2,28,755,0.11253548227250576
after_r2,3,8,7,3,28,448,0.12760882824659348
after_r2,3,10,8,1,28,966,0.08517403528094292
after_r2,3,10,8,2,28,729,0.004345390596427023
after_r2,3,10,8,3,28,371,0.13297569379210472
after_r2,3,11,9,1,28,275,0.11045333370566368
after_r2,3,11,9,2,28,598,0.10461112670600414
after_r2,3,11,9,3,28,802,0.13033531419932842
after_r2,3,12,10,1,28,487,0.12796244025230408
after_r2,3,12,10,2,28,24,0.004999876138754189
after_r2,3,12,10,3,28,84,0.13128777407109737
after_r2,3,13,11,1,28,507,0.09512092173099518
after_r2,3,13,11,2,28,219,0.1254214346408844
after_r2,3,13,11,3,28,447,0.11926463432610035
after_r2,3,14,12,1,28,546,0.14456280879676342
after_r2,3,14,12,2,28,831,0.09781415574252605
after_r2,3,14,12,3,28,131,0.14220350049436092
after_r2,3,15,13,1,28,320,0.1428096815943718
after_r2,3,15,13,2,28,647,0.1336731743067503
after_r2,3,15,13,3,28,942,0.09272170253098011
after_r2,3,16,14,1,28,81,0.14044121094048023
after_r2,3,16,14,2,28,470,0.1378176584839821
after_r2,3,16,14,3,28,31,0.10029805731028318
after_r3,4,1,0,1,28,15,0.10827325098216534
after_r3,4,1,0,2,28,769,0.1136044804006815
after_r3,4,1,0,3,28,992,0.13563697785139084
after_r3,4,2,1,1,28,255,0.10064067877829075
after_r3,4,2,1,2,28,887,0.1538244504481554
after_r3,4,2,1,3,28,711,0.11949017457664013
after_r3,4,3,2,1,28,143,0.15978867560625076
after_r3,4,3,2,2,28,945,0.12329544313251972
after_r3,4,3,2,3,28,812,0.11743762530386448
after_r3,4,4,3,1,28,178,0.12390092201530933
after_r3,4,4,3,2,28,903,0.09707772359251976
after_r3,4,4,3,3,28,108,0.07342537865042686
after_r3,4,5,4,1,28,905,0.15925655886530876
after_r3,4,5,4,2,28,461,0.12259449437260628
after_r3,4,5,4,3,28,297,0.12191261909902096
after_r3,4,6,5,1,28,990,0.11698088236153126
after_r3,4,6,5,2,28,537,0.1137265358120203
after_r3,4,6,5,3,28,6,0.12910239398479462
after_r3,4,7,6,1,28,88,0.09771212190389633
after_r3,4,7,6,2,28,393,0.12911777012050152
after_r3,4,7,6,3,28,688,0.09013786166906357
after_r3,4,8,7,1,28,942,0.10470631532371044
after_r3,4,8,7,2,28,245,0.10073220357298851
after_r3,4,8,7,3,28,671,0.13706530630588531
after_r3,4,10,8,1,28,483,0.1015650350600481
after_r3,4,10,8,2,28,941,0.1273944266140461
after_r3,4,10,8,3,28,24,0.005144943890627474
