stage,day,device,label,transmission,samples,symbol_offset,alignment_score
after_r1,2,1,0,1,28,391,0.09489677287638187
after_r1,2,1,0,2,28,434,0.05472107056993991
after_r1,2,2,1,1,28,203,0.0991920679807663
after_r1,2,2,1,2,28,1008,0.12084734812378883
after_r1,2,3,2,1,28,554,0.11521332152187824
after_r1,2,3,2,2,28,83,0.06658614799380302
after_r1,2,4,3,1,28,637,0.1598360426723957
after_r1,2,4,3,2,28,451,0.22167024202644825
after_r1,2,5,4,1,28,264,0.10884378477931023
after_r1,2,5,4,2,28,344,0.13192900270223618
after_r1,2,6,5,1,28,360,0.12178683839738369
after_r1,2,6,5,2,28,922,0.09825536422431469
after_r1,2,7,6,1,28,282,0.10005372390151024
after_r1,2,7,6,2,28,282,0.10005372390151024
after_r1,2,8,7,1,28,497,0.123879699036479
after_r1,2,8,7,2,28,734,0.11728991195559502
after_r1,2,10,8,1,28,116,0.0875562485307455
after_r1,2,10,8,2,28,359,0.12306268699467182
after_r1,2,11,9,1,28,0,0.08535540755838156
after_r1,2,11,9,2,28,684,0.08896004222333431
after_r2,3,1,0,1,28,158,0.12616855837404728
after_r2,3,1,0,2,28,837,0.09167533926665783
after_r2,3,2,1,1,28,444,0.1381958555430174
after_r2,3,2,1,2,28,712,0.0912009198218584
after_r2,3,3,2,1,28,702,0.12553194165229797
after_r2,3,3,2,2,28,342,0.12294122204184532
after_r2,3,4,3,1,28,103,0.10467616282403469
after_r2,3,4,3,2,28,256,0.1132136695086956
after_r2,3,5,4,1,28,706,0.09910228662192822
after_r2,3,5,4,2,28,738,0.12360644526779652
after_r2,3,6,5,1,28,415,0.14871802367269993
after_r2,3,6,5,2,28,294,0.11544590070843697
after_r2,3,7,6,1,28,141,0.11343241855502129
after_r2,3,7,6,2,28,388,0.12292922101914883
after_r2,3,8,7,1,28,139,0.1280818823724985
after_r2,3,8,7,2,28,755,0.11253548227250576
after_r2,3,10,8,1,28,966,0.08517403528094292
after_r2,3,10,8,2,28,729,0.004345390596427023
after_r2,3,11,9,1,28,275,0.11045333370566368
after_r2,3,11,9,2,28,598,0.10461112670600414
after_r2,3,12,10,1,28,487,0.12796244025230408
after_r2,3,12,10,2,28,24,0.004999876138754189
after_r2,3,13,11,1,28,507,0.09512092173099518
after_r2,3,13,11,2,28,219,0.1254214346408844
after_r2,3,14,12,1,28,546,0.14456280879676342
after_r2,3,14,12,2,28,831,0.09781415574252605
after_r2,3,15,13,1,28,320,0.1428096815943718
after_r2,3,15,13,2,28,647,0.1336731743067503
after_r2,3,16,14,1,28,81,0.14044121094048023
after_r2,3,16,14,2,28,470,0.1378176584839821
after_r3,4,1,0,1,28,15,0.10827325098216534
after_r3,4,1,0,2,28,769,0.1136044804006815
after_r3,4,2,1,1,28,255,0.10064067877829075
after_r3,4,2,1,2,28,887,0.1538244504481554
after_r3,4,3,2,1,28,143,0.15978867560625076
after_r3,4,3,2,2,28,945,0.12329544313251972
after_r3,4,4,3,1,28,178,0.12390092201530933
after_r3,4,4,3,2,28,903,0.09707772359251976
after_r3,4,5,4,1,28,905,0.15925655886530876
after_r3,4,5,4,2,28,461,0.12259449437260628
after_r3,4,6,5,1,28,990,0.11698088236153126
after_r3,4,6,5,2,28,537,0.1137265358120203
after_r3,4,7,6,1,28,88,0.09771212190389633
after_r3,4,7,6,2,28,393,0.12911777012050152
after_r3,4,8,7,1,28,942,0.10470631532371044
after_r3,4,8,7,2,28,245,0.10073220357298851
after_r3,4,10,8,1,28,483,0.1015650350600481
after_r3,4,10,8,2,28,941,0.1273944266140461
after_r3,4,11,9,1,28,88,0.12957610934972763
after_r3,4,11,9,2,28,471,0.11245084181427956
after_r3,4,12,10,1,28,633,0.14879293739795685
after_r3,4,12,10,2,28,274,0.10437057726085186
after_r3,4,13,11,1,28,757,0.10184195823967457
after_r3,4,13,11,2,28,813,0.12567195482552052
after_r3,4,14,12,1,28,948,0.12886768393218517
after_r3,4,14,12,2,28,226,0.10977020487189293
after_r3,4,15,13,1,28,452,0.14198787696659565
after_r3,4,15,13,2,28,586,0.004563643946312368
after_r3,4,16,14,1,28,990,0.14217067323625088
after_r3,4,16,14,2,28,137,0.1386676263064146
after_r3,4,17,15,1,28,491,0.10442314110696316
after_r3,4,17,15,2,28,914,0.11393496580421925
after_r3,4,18,16,1,28,713,0.12709699384868145
after_r3,4,18,16,2,28,57,0.11880757659673691
after_r3,4,19,17,1,28,357,0.11113885790109634
after_r3,4,19,17,2,28,767,0.1290610171854496
after_r3,4,20,18,1,28,738,0.12441377155482769
after_r3,4,20,18,2,28,779,0.1296152099967003
after_r3,4,21,19,1,28,987,0.12140723876655102
after_r3,4,21,19,2,28,955,0.1426294595003128
