Stage72 stage68_save_dir=/mnt/usmidet/billy_test/OpenSet_Incremental_SEI/stage68-worktree/results/stage68/lora_s68_stage48_dump_seed7_46450782
Stage72 raw_dir=/mnt/usmidet/billy_test/OpenSet_Incremental_SEI/stage44/raw_setup1_iq
Stage72 python=/mnt/users/xj62kv/OpenSet_Incremental_SEI/.venv/bin/python
Stage72 running t1234 transmissions=1,2,3,4 strategy=logreg
[002/180] exists: Day2 Device1 IQ_2
[003/180] exists: Day2 Device1 IQ_3
[001/180] exists: Day2 Device1 IQ_1
[005/180] exists: Day2 Device2 IQ_1
[007/180] exists: Day2 Device2 IQ_3
[006/180] exists: Day2 Device2 IQ_2
[009/180] exists: Day2 Device3 IQ_1
[010/180] exists: Day2 Device3 IQ_2
[011/180] exists: Day2 Device3 IQ_3
[013/180] exists: Day2 Device4 IQ_1
[014/180] exists: Day2 Device4 IQ_2
[015/180] exists: Day2 Device4 IQ_3
[004/180] downloaded: Day2 Device1 IQ_4
[008/180] downloaded: Day2 Device2 IQ_4
[017/180] exists: Day2 Device5 IQ_1
[018/180] exists: Day2 Device5 IQ_2
[019/180] exists: Day2 Device5 IQ_3
[021/180] exists: Day2 Device6 IQ_1
[022/180] exists: Day2 Device6 IQ_2
[016/180] downloaded: Day2 Device4 IQ_4
[012/180] downloaded: Day2 Device3 IQ_4
[023/180] exists: Day2 Device6 IQ_3
[025/180] exists: Day2 Device7 IQ_1
[026/180] exists: Day2 Device7 IQ_2
[027/180] exists: Day2 Device7 IQ_3
[029/180] exists: Day2 Device8 IQ_1
[030/180] exists: Day2 Device8 IQ_2
[031/180] exists: Day2 Device8 IQ_3
[020/180] downloaded: Day2 Device5 IQ_4
[033/180] exists: Day2 Device10 IQ_1
[034/180] exists: Day2 Device10 IQ_2
[024/180] downloaded: Day2 Device6 IQ_4
[035/180] exists: Day2 Device10 IQ_3
[028/180] downloaded: Day2 Device7 IQ_4
[037/180] exists: Day2 Device11 IQ_1
[039/180] exists: Day2 Device11 IQ_3
[038/180] exists: Day2 Device11 IQ_2
[041/180] exists: Day3 Device1 IQ_1
[042/180] exists: Day3 Device1 IQ_2
[043/180] exists: Day3 Device1 IQ_3
[032/180] downloaded: Day2 Device8 IQ_4
[045/180] exists: Day3 Device2 IQ_1
[046/180] exists: Day3 Device2 IQ_2
[047/180] exists: Day3 Device2 IQ_3
[036/180] downloaded: Day2 Device10 IQ_4
[040/180] downloaded: Day2 Device11 IQ_4
[049/180] exists: Day3 Device3 IQ_1
[051/180] exists: Day3 Device3 IQ_3
[050/180] exists: Day3 Device3 IQ_2
[053/180] exists: Day3 Device4 IQ_1
[054/180] exists: Day3 Device4 IQ_2
[044/180] downloaded: Day3 Device1 IQ_4
[055/180] exists: Day3 Device4 IQ_3
[057/180] exists: Day3 Device5 IQ_1
[058/180] exists: Day3 Device5 IQ_2
[048/180] downloaded: Day3 Device2 IQ_4
[059/180] exists: Day3 Device5 IQ_3
[061/180] exists: Day3 Device6 IQ_1
[062/180] exists: Day3 Device6 IQ_2
[063/180] exists: Day3 Device6 IQ_3
[052/180] downloaded: Day3 Device3 IQ_4
[056/180] downloaded: Day3 Device4 IQ_4
[065/180] exists: Day3 Device7 IQ_1
[066/180] exists: Day3 Device7 IQ_2
[067/180] exists: Day3 Device7 IQ_3
[069/180] exists: Day3 Device8 IQ_1
[070/180] exists: Day3 Device8 IQ_2
[071/180] exists: Day3 Device8 IQ_3
[060/180] downloaded: Day3 Device5 IQ_4
[073/180] exists: Day3 Device10 IQ_1
[074/180] exists: Day3 Device10 IQ_2
[075/180] exists: Day3 Device10 IQ_3
[064/180] downloaded: Day3 Device6 IQ_4
[077/180] exists: Day3 Device11 IQ_1
[078/180] exists: Day3 Device11 IQ_2
[079/180] exists: Day3 Device11 IQ_3
[068/180] downloaded: Day3 Device7 IQ_4
[081/180] exists: Day3 Device12 IQ_1
[082/180] exists: Day3 Device12 IQ_2
[083/180] exists: Day3 Device12 IQ_3
[072/180] downloaded: Day3 Device8 IQ_4
[085/180] exists: Day3 Device13 IQ_1
[086/180] exists: Day3 Device13 IQ_2
[087/180] exists: Day3 Device13 IQ_3
[076/180] downloaded: Day3 Device10 IQ_4
[089/180] exists: Day3 Device14 IQ_1
[090/180] exists: Day3 Device14 IQ_2
[091/180] exists: Day3 Device14 IQ_3
[080/180] downloaded: Day3 Device11 IQ_4
[093/180] exists: Day3 Device15 IQ_1
[094/180] exists: Day3 Device15 IQ_2
[095/180] exists: Day3 Device15 IQ_3
[084/180] downloaded: Day3 Device12 IQ_4
[097/180] exists: Day3 Device16 IQ_1
[098/180] exists: Day3 Device16 IQ_2
[099/180] exists: Day3 Device16 IQ_3
[088/180] downloaded: Day3 Device13 IQ_4
[101/180] exists: Day4 Device1 IQ_1
[102/180] exists: Day4 Device1 IQ_2
[103/180] exists: Day4 Device1 IQ_3
[092/180] downloaded: Day3 Device14 IQ_4
[105/180] exists: Day4 Device2 IQ_1
[106/180] exists: Day4 Device2 IQ_2
[107/180] exists: Day4 Device2 IQ_3
[096/180] downloaded: Day3 Device15 IQ_4
[109/180] exists: Day4 Device3 IQ_1
[110/180] exists: Day4 Device3 IQ_2
[111/180] exists: Day4 Device3 IQ_3
[100/180] downloaded: Day3 Device16 IQ_4
[113/180] exists: Day4 Device4 IQ_1
[114/180] exists: Day4 Device4 IQ_2
[115/180] exists: Day4 Device4 IQ_3
[104/180] downloaded: Day4 Device1 IQ_4
[117/180] exists: Day4 Device5 IQ_1
[118/180] exists: Day4 Device5 IQ_2
[119/180] exists: Day4 Device5 IQ_3
[108/180] downloaded: Day4 Device2 IQ_4
[121/180] exists: Day4 Device6 IQ_1
[122/180] exists: Day4 Device6 IQ_2
[123/180] exists: Day4 Device6 IQ_3
[112/180] downloaded: Day4 Device3 IQ_4
[125/180] exists: Day4 Device7 IQ_1
[126/180] exists: Day4 Device7 IQ_2
[127/180] exists: Day4 Device7 IQ_3
[116/180] downloaded: Day4 Device4 IQ_4
[129/180] exists: Day4 Device8 IQ_1
[130/180] exists: Day4 Device8 IQ_2
[131/180] exists: Day4 Device8 IQ_3
[120/180] downloaded: Day4 Device5 IQ_4
[133/180] exists: Day4 Device10 IQ_1
[134/180] exists: Day4 Device10 IQ_2
[135/180] exists: Day4 Device10 IQ_3
[128/180] downloaded: Day4 Device7 IQ_4
[137/180] exists: Day4 Device11 IQ_1
[138/180] exists: Day4 Device11 IQ_2
[139/180] exists: Day4 Device11 IQ_3
[124/180] downloaded: Day4 Device6 IQ_4
[141/180] exists: Day4 Device12 IQ_1
[142/180] exists: Day4 Device12 IQ_2
[143/180] exists: Day4 Device12 IQ_3
[132/180] downloaded: Day4 Device8 IQ_4
[145/180] exists: Day4 Device13 IQ_1
[146/180] exists: Day4 Device13 IQ_2
[147/180] exists: Day4 Device13 IQ_3
[136/180] downloaded: Day4 Device10 IQ_4
[149/180] exists: Day4 Device14 IQ_1
[150/180] exists: Day4 Device14 IQ_2
[151/180] exists: Day4 Device14 IQ_3
[140/180] downloaded: Day4 Device11 IQ_4
[153/180] exists: Day4 Device15 IQ_1
[154/180] exists: Day4 Device15 IQ_2
[155/180] exists: Day4 Device15 IQ_3
[144/180] downloaded: Day4 Device12 IQ_4
[157/180] exists: Day4 Device16 IQ_1
[158/180] exists: Day4 Device16 IQ_2
[159/180] exists: Day4 Device16 IQ_3
[148/180] downloaded: Day4 Device13 IQ_4
[161/180] exists: Day4 Device17 IQ_1
[162/180] exists: Day4 Device17 IQ_2
[163/180] exists: Day4 Device17 IQ_3
[152/180] downloaded: Day4 Device14 IQ_4
[165/180] exists: Day4 Device18 IQ_1
[166/180] exists: Day4 Device18 IQ_2
[167/180] exists: Day4 Device18 IQ_3
[156/180] downloaded: Day4 Device15 IQ_4
[169/180] exists: Day4 Device19 IQ_1
[170/180] exists: Day4 Device19 IQ_2
[171/180] exists: Day4 Device19 IQ_3
[160/180] downloaded: Day4 Device16 IQ_4
[173/180] exists: Day4 Device20 IQ_1
[174/180] exists: Day4 Device20 IQ_2
[175/180] exists: Day4 Device20 IQ_3
[164/180] downloaded: Day4 Device17 IQ_4
[177/180] exists: Day4 Device21 IQ_1
[178/180] exists: Day4 Device21 IQ_2
[179/180] exists: Day4 Device21 IQ_3
[168/180] downloaded: Day4 Device18 IQ_4
[172/180] downloaded: Day4 Device19 IQ_4
[176/180] downloaded: Day4 Device20 IQ_4
[180/180] downloaded: Day4 Device21 IQ_4
Saved manifest: /mnt/usmidet/billy_test/OpenSet_Incremental_SEI/stage68-worktree/results/stage72/stage72_lora_old_day_logreg_more_download_manifest_t1234_46484861.json
Wrote results/stage72/STAGE72_LORA_OLD_DAY_LOGREG_MORE_CALIBRATION_t1234_SEED7_REPORT_46484861.md
Stage72 running t12345 transmissions=1,2,3,4,5 strategy=logreg
[004/225] exists: Day2 Device1 IQ_4
[002/225] exists: Day2 Device1 IQ_2
[003/225] exists: Day2 Device1 IQ_3
[001/225] exists: Day2 Device1 IQ_1
[006/225] exists: Day2 Device2 IQ_1
[007/225] exists: Day2 Device2 IQ_2
[008/225] exists: Day2 Device2 IQ_3
[009/225] exists: Day2 Device2 IQ_4
[011/225] exists: Day2 Device3 IQ_1
[012/225] exists: Day2 Device3 IQ_2
[014/225] exists: Day2 Device3 IQ_4
[013/225] exists: Day2 Device3 IQ_3
[016/225] exists: Day2 Device4 IQ_1
[017/225] exists: Day2 Device4 IQ_2
[018/225] exists: Day2 Device4 IQ_3
[019/225] exists: Day2 Device4 IQ_4
[005/225] downloaded: Day2 Device1 IQ_5
[021/225] exists: Day2 Device5 IQ_1
[022/225] exists: Day2 Device5 IQ_2
[010/225] downloaded: Day2 Device2 IQ_5
[024/225] exists: Day2 Device5 IQ_4
[023/225] exists: Day2 Device5 IQ_3
[026/225] exists: Day2 Device6 IQ_1
[027/225] exists: Day2 Device6 IQ_2
[028/225] exists: Day2 Device6 IQ_3
[015/225] downloaded: Day2 Device3 IQ_5
[029/225] exists: Day2 Device6 IQ_4
[031/225] exists: Day2 Device7 IQ_1
[020/225] downloaded: Day2 Device4 IQ_5
[032/225] exists: Day2 Device7 IQ_2
[033/225] exists: Day2 Device7 IQ_3
[034/225] exists: Day2 Device7 IQ_4
[036/225] exists: Day2 Device8 IQ_1
[037/225] exists: Day2 Device8 IQ_2
[038/225] exists: Day2 Device8 IQ_3
[039/225] exists: Day2 Device8 IQ_4
[025/225] downloaded: Day2 Device5 IQ_5
[041/225] exists: Day2 Device10 IQ_1
[042/225] exists: Day2 Device10 IQ_2
[043/225] exists: Day2 Device10 IQ_3
[044/225] exists: Day2 Device10 IQ_4
[030/225] downloaded: Day2 Device6 IQ_5
[046/225] exists: Day2 Device11 IQ_1
[035/225] downloaded: Day2 Device7 IQ_5
[047/225] exists: Day2 Device11 IQ_2
[048/225] exists: Day2 Device11 IQ_3
[049/225] exists: Day2 Device11 IQ_4
[051/225] exists: Day3 Device1 IQ_1
[052/225] exists: Day3 Device1 IQ_2
