Stage73 stage68_save_dir=/mnt/usmidet/billy_test/OpenSet_Incremental_SEI/stage68-worktree/results/stage68/lora_s68_stage48_dump_seed7_46450782
Stage73 raw_dir=/mnt/usmidet/billy_test/OpenSet_Incremental_SEI/stage44/raw_setup1_iq
Stage73 python=/mnt/users/xj62kv/OpenSet_Incremental_SEI/.venv/bin/python
Stage73 running t123456 transmissions=1,2,3,4,5,6 strategy=logreg
[004/270] exists: Day2 Device1 IQ_4
[003/270] exists: Day2 Device1 IQ_3
[002/270] exists: Day2 Device1 IQ_2
[001/270] exists: Day2 Device1 IQ_1
[005/270] exists: Day2 Device1 IQ_5
[007/270] exists: Day2 Device2 IQ_1
[008/270] exists: Day2 Device2 IQ_2
[009/270] exists: Day2 Device2 IQ_3
[010/270] exists: Day2 Device2 IQ_4
[011/270] exists: Day2 Device2 IQ_5
[013/270] exists: Day2 Device3 IQ_1
[014/270] exists: Day2 Device3 IQ_2
[015/270] exists: Day2 Device3 IQ_3
[016/270] exists: Day2 Device3 IQ_4
[017/270] exists: Day2 Device3 IQ_5
[019/270] exists: Day2 Device4 IQ_1
[020/270] exists: Day2 Device4 IQ_2
[021/270] exists: Day2 Device4 IQ_3
[022/270] exists: Day2 Device4 IQ_4
[023/270] exists: Day2 Device4 IQ_5
[006/270] downloaded: Day2 Device1 IQ_6
[012/270] downloaded: Day2 Device2 IQ_6
[025/270] exists: Day2 Device5 IQ_1
[018/270] downloaded: Day2 Device3 IQ_6
[026/270] exists: Day2 Device5 IQ_2
[027/270] exists: Day2 Device5 IQ_3
[028/270] exists: Day2 Device5 IQ_4
[029/270] exists: Day2 Device5 IQ_5
[031/270] exists: Day2 Device6 IQ_1
[032/270] exists: Day2 Device6 IQ_2
[033/270] exists: Day2 Device6 IQ_3
[034/270] exists: Day2 Device6 IQ_4
[035/270] exists: Day2 Device6 IQ_5
[037/270] exists: Day2 Device7 IQ_1
[038/270] exists: Day2 Device7 IQ_2
[039/270] exists: Day2 Device7 IQ_3
[024/270] downloaded: Day2 Device4 IQ_6
[040/270] exists: Day2 Device7 IQ_4
[041/270] exists: Day2 Device7 IQ_5
[043/270] exists: Day2 Device8 IQ_1
[044/270] exists: Day2 Device8 IQ_2
[045/270] exists: Day2 Device8 IQ_3
[046/270] exists: Day2 Device8 IQ_4
[047/270] exists: Day2 Device8 IQ_5
[030/270] downloaded: Day2 Device5 IQ_6
[049/270] exists: Day2 Device10 IQ_1
[050/270] exists: Day2 Device10 IQ_2
[051/270] exists: Day2 Device10 IQ_3
[036/270] downloaded: Day2 Device6 IQ_6
[052/270] exists: Day2 Device10 IQ_4
[053/270] exists: Day2 Device10 IQ_5
[055/270] exists: Day2 Device11 IQ_1
[056/270] exists: Day2 Device11 IQ_2
[057/270] exists: Day2 Device11 IQ_3
[042/270] downloaded: Day2 Device7 IQ_6
[058/270] exists: Day2 Device11 IQ_4
[059/270] exists: Day2 Device11 IQ_5
[061/270] exists: Day3 Device1 IQ_1
[062/270] exists: Day3 Device1 IQ_2
[063/270] exists: Day3 Device1 IQ_3
[048/270] downloaded: Day2 Device8 IQ_6
[064/270] exists: Day3 Device1 IQ_4
[065/270] exists: Day3 Device1 IQ_5
[067/270] exists: Day3 Device2 IQ_1
[068/270] exists: Day3 Device2 IQ_2
[069/270] exists: Day3 Device2 IQ_3
[070/270] exists: Day3 Device2 IQ_4
[071/270] exists: Day3 Device2 IQ_5
[054/270] downloaded: Day2 Device10 IQ_6
[073/270] exists: Day3 Device3 IQ_1
[074/270] exists: Day3 Device3 IQ_2
[075/270] exists: Day3 Device3 IQ_3
[076/270] exists: Day3 Device3 IQ_4
[077/270] exists: Day3 Device3 IQ_5
[060/270] downloaded: Day2 Device11 IQ_6
[079/270] exists: Day3 Device4 IQ_1
[080/270] exists: Day3 Device4 IQ_2
[081/270] exists: Day3 Device4 IQ_3
[082/270] exists: Day3 Device4 IQ_4
[083/270] exists: Day3 Device4 IQ_5
