Method,Round,Discovery Day,True New Classes,Samples,Initial Cluster Count,Final Cluster Count,Cluster Count Error,Over-clustering Ratio,Clusters,Noise,NMI,ARI,Purity,Hungarian Acc,Fusion,Alpha Min,Alpha Max,Adaptive Weight Mean,Adaptive Weight Min,Adaptive Weight Max,Iter Merge Rounds,Iter Merge Total Merges,Iter Merge Threshold,Noise Before Reassignment,Noise Reassigned,Assignment Coverage,Assignment Score Mean,Assignment Score Min,No-cluster Fallback,Adaptive Split Count,Adaptive Split Size Factor,Adaptive Split Silhouette Threshold,Adaptive Split Silhouette Mean,MVACC Min Cluster Size,MVACC Min Cluster Ratio,MVACC Min Samples,Local RF Consistency Mean,Local RF Consistency Min
Deep only,R1,Day 2,10,2100,14,14,4,1.4,14,0.09,0.8531037883239609,0.7523365682921092,0.8979591836734694,0.7847619047619048,,,,,,,,,,,,,,,,,,,,,,,,
Deep only,R2,Day 3,10,2100,13,13,3,1.3,13,0.10714285714285714,0.8524437280255188,0.7856054625894124,0.9813333333333333,0.8285714285714286,,,,,,,,,,,,,,,,,,,,,,,,
Deep only,R3,Day 4,10,2100,13,13,3,1.3,13,0.037142857142857144,0.9080895909619575,0.8501906480738411,0.9248269040553907,0.8633333333333333,,,,,,,,,,,,,,,,,,,,,,,,
RF only,R1,Day 2,10,2100,21,21,11,2.1,21,0.3657142857142857,0.6792600646892322,0.33479194501592785,0.9932432432432432,0.44666666666666666,,,,,,,,,,,,,,,,,,,,,,,,
RF only,R2,Day 3,10,2100,22,22,12,2.2,22,0.09714285714285714,0.8281699541774485,0.7337485397626722,0.9994725738396625,0.7433333333333333,,,,,,,,,,,,,,,,,,,,,,,,
RF only,R3,Day 4,10,2100,19,19,9,1.9,19,0.12428571428571429,0.8507650038414467,0.7483122130491763,0.9989124524197933,0.7452380952380953,,,,,,,,,,,,,,,,,,,,,,,,
Graph fusion (raw),R1,Day 2,10,2100,31,31,21,3.1,31,0.10333333333333333,0.7716246973959823,0.6218778115321798,0.9883165161975571,0.6257142857142857,bounded_adaptive,0.65,0.95,0.7976710796356201,0.6499999761581421,0.949999988079071,,,,,,,,,,,,,,,,,,
Graph fusion (raw),R2,Day 3,10,2100,34,34,24,3.4,34,0.1380952380952381,0.7305002451471329,0.4727506164121516,0.9917127071823204,0.52,bounded_adaptive,0.65,0.95,0.79800945520401,0.6499999761581421,0.949999988079071,,,,,,,,,,,,,,,,,,
Graph fusion (raw),R3,Day 4,10,2100,42,42,32,4.2,42,0.14238095238095239,0.6842687813970733,0.39378230420816507,0.9372570794003331,0.43761904761904763,bounded_adaptive,0.65,0.95,0.7964991331100464,0.6499999761581421,0.949999988079071,,,,,,,,,,,,,,,,,,
No-drop consolidation (ablation),R1,Day 2,10,2100,31,15,5,1.5,15,0.0,0.8770257727322456,0.7996040072038452,0.9680952380952381,0.7766666666666666,bounded_adaptive,0.65,0.95,0.7976710796356201,0.6499999761581421,0.949999988079071,5.0,16.0,0.78,217.0,217.0,1.0,0.9122902154922485,0.7243070602416992,False,,,,,,,,,
No-drop consolidation (ablation),R2,Day 3,10,2100,34,16,6,1.6,16,0.0,0.873947386817481,0.7795939343594782,0.9714285714285714,0.7633333333333333,bounded_adaptive,0.65,0.95,0.79800945520401,0.6499999761581421,0.949999988079071,5.0,18.0,0.78,290.0,290.0,1.0,0.9405268430709839,0.7448764443397522,False,,,,,,,,,
No-drop consolidation (ablation),R3,Day 4,10,2100,42,16,6,1.6,16,0.0,0.8845678813074745,0.7815786038966718,0.9347619047619048,0.7719047619047619,bounded_adaptive,0.65,0.95,0.7964991331100464,0.6499999761581421,0.949999988079071,5.0,26.0,0.78,299.0,299.0,1.0,0.9476439952850342,0.6317147612571716,False,,,,,,,,,
No CF-LCG (MV-ACC),R1,Day 2,10,2100,11,11,1,1.1,11,0.0,0.9020118818043971,0.8647514103735269,0.9452380952380952,0.8961904761904762,bounded_adaptive,0.65,0.95,0.7976710796356201,0.6499999761581421,0.949999988079071,12.0,1.0,0.74,121.0,121.0,1.0,0.8413257598876953,0.694117546081543,False,1.0,1.75,0.3,0.5409038662910461,94.0,0.045,5.0,,
No CF-LCG (MV-ACC),R2,Day 3,10,2100,9,11,1,1.1,11,0.0,0.9007259783935132,0.8720807813469369,0.9395238095238095,0.8952380952380953,bounded_adaptive,0.65,0.95,0.79800945520401,0.6499999761581421,0.949999988079071,12.0,0.0,0.74,104.0,104.0,1.0,0.7574081420898438,0.5388973355293274,False,2.0,1.75,0.3,0.45777082443237305,94.0,0.045,5.0,,
No CF-LCG (MV-ACC),R3,Day 4,10,2100,9,10,0,1.0,10,0.0,0.938363796386342,0.8979996578114071,0.9376190476190476,0.9376190476190476,bounded_adaptive,0.65,0.95,0.7964991331100464,0.6499999761581421,0.949999988079071,12.0,0.0,0.74,9.0,9.0,1.0,0.7447677254676819,0.6439316272735596,False,1.0,1.75,0.3,0.552699089050293,94.0,0.045,5.0,,
Global CF-LCG (MV-ACC),R1,Day 2,10,2100,11,11,1,1.1,11,0.0,0.9020118818043971,0.8647514103735269,0.9452380952380952,0.8961904761904762,bounded_adaptive,0.65,0.95,0.7976710796356201,0.6499999761581421,0.949999988079071,12.0,1.0,0.74,121.0,121.0,1.0,0.8413257598876953,0.694117546081543,False,1.0,1.75,0.3,0.5409038662910461,94.0,0.045,5.0,,
Global CF-LCG (MV-ACC),R2,Day 3,10,2100,9,11,1,1.1,11,0.0,0.9007259783935132,0.8720807813469369,0.9395238095238095,0.8952380952380953,bounded_adaptive,0.65,0.95,0.79800945520401,0.6499999761581421,0.949999988079071,12.0,0.0,0.74,104.0,104.0,1.0,0.7574081420898438,0.5388973355293274,False,2.0,1.75,0.3,0.45777082443237305,94.0,0.045,5.0,,
Global CF-LCG (MV-ACC),R3,Day 4,10,2100,9,10,0,1.0,10,0.0,0.938363796386342,0.8979996578114071,0.9376190476190476,0.9376190476190476,bounded_adaptive,0.65,0.95,0.7964991331100464,0.6499999761581421,0.949999988079071,12.0,0.0,0.74,9.0,9.0,1.0,0.7447677254676819,0.6439316272735596,False,1.0,1.75,0.3,0.552699089050293,94.0,0.045,5.0,,
MV-ACC,R1,Day 2,10,2100,9,10,0,1.0,10,0.0,0.907073132371483,0.8817258759683722,0.9385714285714286,0.9385714285714286,bounded_adaptive,0.65,0.95,0.9497534036636353,0.7300231456756592,0.9950000047683716,12.0,0.0,0.74,14.0,14.0,1.0,0.8818138837814331,0.7257353067398071,False,1.0,1.75,0.3,0.47169381380081177,94.0,0.045,5.0,0.272857129573822,0.10000000149011612
MV-ACC,R2,Day 3,10,2100,9,11,1,1.1,11,0.0,0.8897756296142884,0.8569396700094443,0.9242857142857143,0.8938095238095238,bounded_adaptive,0.65,0.95,0.9457135796546936,0.7684967517852783,0.9950000047683716,12.0,0.0,0.74,129.0,129.0,1.0,0.7558737993240356,0.5389647483825684,False,2.0,1.75,0.3,0.4754077196121216,94.0,0.045,5.0,0.28982141613960266,0.10000000149011612
MV-ACC,R3,Day 4,10,2100,9,10,0,1.0,10,0.0,0.9182400497167045,0.8737413922821936,0.919047619047619,0.919047619047619,bounded_adaptive,0.65,0.95,0.9429187178611755,0.771492600440979,0.9950000047683716,12.0,0.0,0.74,16.0,16.0,1.0,0.7707630395889282,0.643963098526001,False,1.0,1.75,0.3,0.5886496305465698,94.0,0.045,5.0,0.30300000309944153,0.10000000149011612
