x,y,true_label,cluster_label
19.097843,6.7247543,10,-1
16.50804,3.990919,10,-1
22.038464,1.4708036,10,24
18.791306,6.599736,10,20
16.387972,3.840271,10,-1
16.319141,3.7614756,10,-1
14.663572,2.1546638,10,16
18.210054,6.190066,10,20
21.921389,1.4086316,10,24
16.729025,4.2685213,10,-1
18.036194,6.0255427,10,20
19.736727,0.92416,10,13
22.903038,1.9023556,10,24
16.274054,3.7114224,10,-1
17.719736,5.7070756,10,-1
18.084158,6.069094,10,20
18.004002,5.994194,10,20
22.886465,1.8970034,10,24
21.900505,1.4018403,10,24
19.522415,6.9042892,10,23
17.83057,5.823607,10,-1
22.913036,1.8894893,10,24
22.833933,1.8529195,10,24
18.167131,6.1333566,10,20
18.001362,5.9938183,10,20
19.766775,0.9413602,10,13
19.729115,0.92112494,10,13
22.742687,1.788039,10,24
16.234837,3.667371,10,-1
18.068289,6.052452,10,20
15.930861,3.3434646,10,17
19.201206,6.76905,10,-1
21.52531,1.234082,10,24
14.941102,2.4096417,10,16
16.420902,3.8812034,10,-1
22.74375,1.7905227,10,24
19.56757,6.921192,10,-1
16.358168,3.8045514,10,-1
19.537804,6.903765,10,23
16.806072,4.367346,10,-1
20.121294,1.0037274,10,13
19.7349,0.9236667,10,13
15.587103,3.0022924,10,17
19.516087,6.8885674,10,23
19.87523,0.975695,10,13
22.918177,1.9122809,10,24
22.812256,1.8416575,10,24
16.067553,3.4873772,10,-1
14.649132,2.139549,10,16
14.655439,2.1471205,10,-1
18.60089,6.466375,10,20
19.563923,6.922819,10,23
16.58843,4.091156,10,-1
19.739445,0.9251334,10,13
14.665639,2.156424,10,16
20.33514,1.0149859,10,13
18.146069,6.1277456,10,20
19.95508,0.9948629,10,13
22.915855,1.9137889,10,24
22.866095,1.8876404,10,24
16.005938,3.4215858,10,-1
16.249203,3.683359,10,-1
16.048494,3.4664986,10,-1
15.937749,3.350218,10,17
19.733366,0.9224615,10,13
18.50831,6.3950043,10,-1
20.024817,1.0000373,10,13
15.565501,2.98123,10,17
18.200115,6.1745124,10,20
21.48708,1.215503,10,-1
16.158892,3.5856652,10,-1
14.700056,2.1876104,10,16
18.604166,6.4696965,10,20
14.672942,2.162456,10,16
18.011913,6.0061955,10,20
18.072977,6.0618906,10,-1
18.683527,6.528334,10,20
15.5073805,2.9264293,10,17
15.5361805,2.9523764,10,17
21.474865,1.2111394,10,24
17.675909,5.657926,10,-1
14.6530485,2.1428425,10,16
10.357196,10.162736,10,1
21.511362,1.2265767,10,24
22.754364,1.8005434,10,24
18.26344,6.2214556,10,20
14.970847,2.4366813,10,-1
17.69074,5.6739798,10,-1
16.8169,4.3831363,10,-1
19.04657,6.7031417,10,-1
19.151733,6.7469654,10,-1
17.80676,5.802838,10,-1
18.015772,6.0061965,10,20
16.224596,3.655208,10,-1
18.059797,6.037457,10,20
19.573921,6.922085,10,23
15.970617,3.3838053,10,17
20.063847,1.005148,10,-1
19.941307,0.9833027,10,13
21.473843,1.2139915,10,24
16.80819,4.3701277,10,-1
19.749645,0.92781425,10,-1
18.491226,6.3879814,10,20
18.095589,6.079865,10,20
22.669828,1.733548,10,24
19.795109,0.95659035,10,13
14.85083,2.3262951,10,16
15.549115,2.9655294,10,17
18.655544,6.505773,10,20
18.116835,6.102508,10,20
19.284822,6.801011,10,23
19.584547,6.9346256,10,23
19.145597,6.7445693,10,-1
21.600742,1.2748326,10,24
21.869308,1.3915708,10,24
20.050526,1.0100795,10,13
15.021781,2.4830103,10,16
22.841343,1.8605238,10,24
14.672648,2.1623886,10,16
18.120712,6.102494,10,20
20.249464,1.0042845,10,13
18.565376,6.439606,10,20
14.663389,2.152892,10,16
17.700436,5.684166,10,-1
20.055298,1.005389,10,13
16.27357,3.7102754,10,-1
15.937833,3.3500721,10,17
19.776346,0.94914186,10,13
22.810116,1.8362043,10,24
14.865922,2.340092,10,16
15.546882,2.9635792,10,17
18.620502,6.482693,10,20
19.979431,0.9874759,10,13
