x,y,true_label,cluster_label
3.864473,-30.687582,30,8
11.872115,-17.541552,30,8
3.9634566,-31.25768,30,8
-15.485501,-19.403978,30,8
-6.044939,-10.324052,30,8
-11.234574,-13.380633,30,8
2.961782,-34.70936,30,8
-0.58879286,-3.8426125,30,8
-11.52326,-14.8472595,30,8
-22.31726,-20.651619,30,8
-5.8076396,-9.841983,30,8
0.015595821,-13.5677395,30,8
3.0845778,-29.624668,30,8
7.23132,-26.821997,30,8
-20.567007,-20.570024,30,8
3.6920352,-29.41936,30,8
-10.437427,-18.105448,30,8
10.1226845,-17.561602,30,8
-25.599192,-27.076307,30,8
-23.707676,-24.554941,30,8
3.3068328,-35.542328,30,8
-21.80476,-21.08829,30,8
-23.212423,-25.24411,30,8
8.668262,-10.263291,30,8
7.280598,-28.066338,30,8
5.361747,-28.965431,30,8
8.741449,-13.099166,30,8
-5.839728,-8.713467,30,8
11.212699,-12.623683,30,8
9.464492,-17.14562,30,8
-11.937283,-18.072262,30,8
-12.5440035,-18.122253,30,8
8.321299,-11.313877,30,8
-8.112423,-10.979201,30,8
-20.21838,-20.476118,30,8
-9.360522,-13.975139,30,8
-23.159578,-20.552097,30,8
-18.266855,-16.560665,30,8
9.335733,-17.31415,30,8
2.6793382,-30.427383,30,8
-22.991657,-16.442635,30,8
7.2702928,-28.301117,30,2
8.82297,-10.289307,30,8
-22.78526,-16.865303,30,8
-18.13619,-16.511417,30,8
-9.406075,19.927195,30,4
7.9403033,-11.972519,30,8
3.6649032,-33.94064,30,8
-5.4074445,-9.783927,30,8
0.2974566,-13.885921,30,8
7.4673624,-18.908384,30,8
-19.28443,-24.273323,30,8
-18.664549,-15.944551,30,8
-11.307854,-15.668817,30,8
-13.146502,-18.293154,30,8
3.929337,-32.104904,30,8
-10.653215,-13.779527,30,8
-17.675184,-13.455867,30,8
6.8411646,-17.415653,30,8
-23.421535,-25.713669,30,8
10.0911455,-17.945515,30,8
-3.3176172,-9.906235,30,8
12.027129,-17.30046,30,8
-9.454118,19.924934,30,4
18.953419,8.526682,30,9
11.064691,-19.19487,30,8
-22.932014,-20.461784,30,8
6.664856,-19.402855,30,8
-23.068398,-13.579052,30,8
-3.302283,-13.605139,30,8
10.326419,-17.661793,30,8
-11.517565,-15.312151,30,8
-17.287142,-23.844538,30,8
19.02156,8.81818,30,9
-20.0153,-12.645822,30,8
-18.07345,-24.293642,30,8
3.9292588,-32.146255,30,8
4.875683,-32.999084,30,8
8.626977,-13.799583,30,8
18.898245,8.2640085,30,9
10.196843,-19.967575,30,8
-23.039816,-15.537585,30,8
8.373023,-12.731649,30,8
-9.27542,-14.385666,30,8
-10.605113,-20.128756,30,8
-18.272177,-14.450459,30,8
