x,y,true_label,cluster_label
-0.56691545,23.152258,20,5
-4.534743,20.174965,20,5
-0.17032771,22.719728,20,5
7.9620967,20.7796,20,6
6.664053,21.459866,20,6
-0.079516806,22.6338,20,5
-4.1268387,18.756807,20,5
2.8355436,21.428038,20,6
-0.7242793,23.355568,20,5
7.6213136,21.062668,20,6
7.2563815,21.304424,20,6
3.5484216,13.76844,20,4
7.264698,21.301205,20,6
-1.0595276,23.785488,20,5
-1.0963306,23.823654,20,5
7.8308935,20.898882,20,6
-0.9322932,23.6468,20,5
-1.1127772,23.839571,20,5
7.6910305,21.014868,20,6
-0.121297315,22.668554,20,5
-4.5397243,20.204834,20,5
1.6515579,21.78855,20,5
-0.14172083,22.687233,20,5
7.3995466,21.19665,20,6
-1.1166849,23.843466,20,5
6.861235,21.41507,20,6
-0.51553524,23.088156,20,5
1.6370834,21.795244,20,5
2.579617,21.50921,20,6
2.6300595,21.49022,20,6
1.6346923,21.797083,20,5
0.08250958,22.514465,20,5
7.911895,20.821651,20,6
2.901197,21.38388,20,6
6.1712074,21.433685,20,6
6.7885175,21.428225,20,6
-4.2298303,19.07498,20,5
0.55907184,22.261517,20,5
-4.2761683,19.1821,20,5
-0.93786204,23.65618,20,5
1.5341556,21.83656,20,5
6.195088,21.435389,20,6
0.04706228,22.537607,20,5
-4.225968,19.057276,20,5
2.93476,21.384718,20,6
7.9652653,20.775131,20,6
-4.043086,18.52889,20,5
-4.076115,18.585722,20,5
-4.294622,19.22239,20,5
7.2940226,21.277319,20,6
-0.5148732,23.087887,20,5
2.6126187,21.48095,20,6
-4.034838,18.516277,20,5
-4.0224786,18.505346,20,5
-4.258546,19.144094,20,5
-4.541961,20.215366,20,5
7.371993,21.225534,20,6
6.167956,21.43478,20,6
0.50417435,22.287018,20,5
-4.52921,20.241941,20,5
-0.20949681,22.750866,20,5
-4.042826,18.52546,20,5
7.835076,20.893124,20,6
7.8218613,20.903784,20,6
7.84506,20.8862,20,6
2.9701946,21.37251,20,6
0.5765864,22.239822,20,5
-0.53591514,23.113844,20,5
-4.210587,19.018534,20,5
2.9434524,21.385946,20,6
7.93285,20.809242,20,6
-0.94603926,23.660553,20,5
6.937463,21.404247,20,6
-0.9007163,23.60182,20,5
0.21805114,22.433247,20,5
-1.1160215,23.84259,20,5
7.907941,20.819832,20,6
-0.97154814,23.690224,20,5
2.0943384,21.621557,20,5
7.825599,20.901197,20,6
-4.3356485,19.296387,20,5
2.8502166,21.423576,20,6
-4.570491,20.169323,20,5
0.6268549,22.207165,20,5
-0.49612093,23.069267,20,5
0.049249496,22.536188,20,5
-0.10098366,22.649035,20,5
0.13772684,22.480278,20,5
0.6140936,22.21545,20,5
-0.28724962,22.83234,20,5
1.8019129,21.727943,20,5
7.7310896,20.979689,20,6
-4.538761,20.225073,20,5
-4.161852,18.932163,20,5
2.070683,21.622082,20,5
-0.6940739,23.31653,20,5
2.0461671,21.635614,20,5
7.36741,21.225866,20,6
7.213738,21.322327,20,6
0.61563015,22.214512,20,5
2.9445019,21.372465,20,6
-0.5170074,23.089296,20,5
-4.540405,20.223202,20,5
-0.8934888,23.591738,20,5
7.950848,20.790304,20,6
0.59934556,22.225847,20,5
2.9804792,21.364668,20,6
-0.08818574,22.634077,20,5
7.9774413,20.764784,20,6
7.8184013,20.907993,20,6
-4.197966,18.999653,20,5
6.8388686,21.422049,20,6
6.716497,21.446098,20,6
-4.205769,19.006922,20,5
6.885626,21.415812,20,6
7.636986,21.055916,20,6
7.19978,21.333359,20,6
0.5711164,22.243635,20,5
1.6739522,21.772032,20,5
-0.5624809,23.141386,20,5
2.9451652,21.390028,20,6
0.50861955,22.287327,20,5
-0.97930723,23.701422,20,5
-1.1134771,23.838335,20,5
7.6778836,21.028486,20,6
7.1816516,21.359003,20,6
2.6019638,21.500341,20,6
-0.1391225,22.685802,20,5
-0.0045887115,22.580185,20,5
7.020747,21.396559,20,6
7.8205137,20.908325,20,6
-0.9390715,23.655058,20,5
6.9925013,21.4092,20,6
-4.3507733,19.31387,20,5
0.65256894,22.182913,20,5
-0.720843,23.351505,20,5
-0.56409377,23.147902,20,5
2.9205818,21.39035,20,6
7.0336194,21.39531,20,6
-4.0460615,18.531158,20,5
-0.23657385,22.779354,20,5
2.0211074,21.648346,20,5
7.805304,20.915495,20,6
7.866564,20.869848,20,6
-1.1193988,23.839561,20,5
6.144857,21.431543,20,6
-1.0625799,23.788567,20,5
6.7917914,21.429716,20,6
2.5986779,21.50202,20,6
7.926331,20.813602,20,6
6.899241,21.416348,20,6
2.4052346,21.550035,20,6
-0.6027756,23.192358,20,5
7.0240884,21.38969,20,6
-0.48111638,23.052372,20,5
-4.248725,19.117483,20,5
6.175987,21.435091,20,6
-0.45011955,23.01437,20,5
6.915612,21.412798,20,6
-1.102462,23.82915,20,5
-4.5350366,20.23544,20,5
-0.18966138,22.73198,20,5
7.277385,21.290556,20,6
6.8011045,21.423866,20,6
-4.160793,18.87558,20,5
-4.3138247,19.249544,20,5
-0.14361298,22.69058,20,5
-4.55295,20.188183,20,5
-4.5295024,20.19469,20,5
7.2587905,21.297958,20,6
0.66831106,22.181831,20,5
7.868362,20.866673,20,6
7.65204,21.043756,20,6
6.160075,21.433952,20,6
6.722057,21.447048,20,6
-4.251316,19.112682,20,5
-6.4739614,10.987665,20,10
6.172813,21.436201,20,6
6.899686,21.416702,20,6
7.054714,15.137126,20,4
7.9003787,20.838404,20,6
-4.5328646,20.238255,20,5
2.0735898,21.626976,20,5
-1.1057824,23.832342,20,5
2.5496128,21.51893,20,6
6.9374466,21.40807,20,6
1.9687347,21.665014,20,5
-0.24213749,22.785591,20,5
-4.2110076,19.008184,20,5
7.9037366,20.819954,20,6
-0.16430394,22.710533,20,5
-4.0744004,18.594086,20,5
7.5665526,21.070185,20,6
6.158987,21.433676,20,6
7.0660605,21.38812,20,6
1.655757,21.78582,20,5
-4.057875,18.549799,20,5
1.6559452,21.781918,20,5
2.8017366,21.4395,20,6
-4.148887,18.825691,20,5
-4.347001,19.306988,20,5
2.088186,21.622578,20,5
-4.327283,19.280008,20,5
-0.72280353,23.353006,20,5
2.8771415,21.419605,20,6
7.9419622,20.800657,20,6
-4.5584183,20.209244,20,5
-4.287606,19.208263,20,5
6.977655,21.383795,20,6
-4.043527,18.528166,20,5
-3.3441849,-4.496281,21,8
-2.2163606,0.9525759,21,8
-2.2561753,1.0279646,21,8
-2.4516847,0.2273292,21,8
-2.3162751,-1.6802181,21,8
7.624352,4.2102547,21,15
-2.327723,-1.0370713,21,8
-2.3948812,0.7754726,21,8
-3.0477722,-4.0250125,21,8
-2.2678366,1.0071291,21,8
-2.1638396,-1.3181379,21,8
-3.3124979,-4.4667597,21,8
-2.5665822,1.138929,21,8
-2.4294908,-0.673864,21,8
-2.585509,0.57771385,21,8
-2.7052832,-3.4170356,21,8
-2.2601051,-2.055058,21,8
-2.6065257,0.22730963,21,8
-2.3232765,-1.0489507,21,8
-2.8737082,-3.7343328,21,8
-2.2067003,-1.2795697,21,8
-2.9026723,-3.7841246,21,8
-3.3085015,-4.4571214,21,8
-2.256875,-2.0726745,21,8
-2.2596443,-1.0508343,21,8
-2.4952004,0.65061134,21,8
-2.4299319,-0.67224246,21,8
-2.9183667,-3.8193243,21,8
-2.5527341,1.1282817,21,8
-2.4599614,-2.8860738,21,8
11.746526,6.8930397,21,13
-2.248787,-1.2006173,21,8
-2.5414565,-0.3975028,21,8
-2.4633193,0.22813785,21,8
-2.5991228,-3.195729,21,8
-2.5437882,1.1654347,21,8
-2.5597837,1.1417677,21,8
-2.5030606,-2.9702141,21,8
-3.3227959,-4.4764633,21,8
-2.4371169,0.26336595,21,8
-2.4345653,-2.8444438,21,8
-2.1903234,-1.1437875,21,8
-2.9456577,-3.8559582,21,8
-2.2273157,-2.0631876,21,8
-2.474972,-2.9000301,21,8
-2.3521388,0.8132563,21,8
-3.3194034,-4.4719353,21,8
-2.2844355,1.0082988,21,8
-2.3875961,-0.7750284,21,8
-2.243996,-1.9579196,21,8
-2.9920454,-3.9288974,21,8
-2.5322165,0.42308813,21,8
-2.4412296,-2.829657,21,8
-2.242271,-2.0871408,21,8
-2.2265897,0.90354246,21,8
-2.5172677,-2.9784737,21,8
-2.6453545,0.53593343,21,8
-2.2631414,-2.0239708,21,8
-2.2961602,-1.935816,21,8
-2.2029128,0.98590356,21,8
-2.556579,-0.33916646,21,8
-2.2800694,-2.016236,21,8
-2.4980547,-0.52035946,21,8
-2.4933636,0.18063305,21,8
-2.4004016,0.8104141,21,8
-2.2303913,0.9621699,21,8
11.583407,8.23482,21,13
-2.3992133,-2.7126882,21,8
11.318005,9.453561,21,13
-2.6304698,0.4902511,21,8
-2.2199323,-1.0992863,21,8
-2.511038,-2.9808545,21,8
-3.3128064,-4.463587,21,8
-2.448987,0.20021023,21,8
-2.356679,-2.567366,21,8
11.568614,8.212942,21,13
-2.5291767,1.1512201,21,8
-2.281749,-1.9425187,21,8
-2.2610228,-2.028083,21,8
-2.4247181,-0.6835496,21,8
-2.437846,-2.8548362,21,8
-2.369157,-0.78368306,21,8
-2.6069214,0.49752873,21,8
11.510389,8.084348,21,13
-2.147187,-1.34801,21,8
11.645264,8.3067045,21,13
11.548663,8.773409,21,13
-2.4615872,0.35940266,21,8
-2.2837949,-2.1356874,21,8
-2.305824,0.3695725,21,8
-2.2984877,-1.5990014,21,8
-2.199382,-1.2636445,21,8
-2.7958987,-3.635636,21,8
-2.4828455,-2.9223428,21,8
-2.2982752,0.42470977,21,8
-2.4752922,0.3629632,21,8
-2.317969,-1.9790955,21,8
-2.437557,0.24759842,21,8
-2.2904618,0.8025779,21,8
-2.6501226,0.51596725,21,8
-2.225571,-2.0199032,21,8
-2.8681488,-3.729913,21,8
-2.2420225,-2.0592759,21,8
-2.5927126,-3.1691244,21,8
-2.445785,-0.644723,21,8
-3.000308,-3.943134,21,8
-2.57969,-0.12244093,21,8
-2.6920266,0.48592106,21,8
-3.2173653,-4.319072,21,8
-2.3111773,-1.9874418,21,8
-2.3875258,-1.457926,21,8
-2.868173,-3.7305074,21,8
11.552775,8.197052,21,13
-3.3133414,-4.459812,21,8
-2.1749377,-1.3004063,21,8
-2.303703,0.8686108,21,8
