x,y,true_label,cluster_label
-6.938523,-2.0026183,10,20
-2.4930668,-2.8961253,10,18
-7.526427,-2.0384605,10,20
-6.9152727,-1.9082485,10,20
-0.58615804,-3.0742884,10,17
-0.6577531,-3.0016212,10,17
0.18757638,-1.2198739,10,17
-6.5735307,-1.3331274,10,20
-7.404768,-2.170734,10,20
-1.7647212,-2.8932996,10,17
-6.5565333,-1.251671,10,20
-7.8647285,-1.7567954,10,20
-6.9902635,-1.9728673,10,20
-0.67773306,-2.9943185,10,17
-2.3643525,-2.8421123,10,18
-6.5602612,-1.2482098,10,20
-2.3965824,-2.8351655,10,18
-7.062599,-2.124735,10,20
-7.631793,-1.9473892,10,20
-6.8770375,-1.9876301,10,20
-6.560126,-1.2450652,10,-1
-6.9487834,-2.1249363,10,20
-7.400108,-2.1402693,10,20
-6.5338964,-1.4538225,10,20
-6.480457,-1.6363941,10,20
-7.843285,-1.7341563,10,20
-7.8421526,-1.8380151,10,20
-7.21199,-2.1887193,10,20
-0.64136523,-3.023068,10,17
-6.4790797,-1.759358,10,20
-0.59731257,-3.0623405,10,17
-6.5364866,-1.772931,10,20
-6.9778147,-1.9700818,10,20
-3.109851,-3.4247358,10,18
-3.1235998,-3.4389408,10,18
-6.429766,-1.7543954,10,-1
-6.793862,-1.8731581,10,20
-0.6125773,-3.0497243,10,17
-6.9682875,-2.0485702,10,20
-2.459216,-2.8676267,10,18
-7.463356,-1.8857739,10,20
-7.883934,-1.8418595,10,20
-0.63292474,-3.030316,10,17
-7.459151,-1.9368303,10,20
-7.8772206,-1.7145569,10,20
-6.776139,-2.0027983,10,20
-7.330517,-1.9087924,10,20
-2.4886,-2.8929393,10,18
0.18797901,-1.2191703,10,17
16.39683,11.88862,10,-1
-7.2626433,-1.8522036,10,20
-6.9071074,-1.9917845,10,20
-1.7605476,-2.896028,10,17
-7.864136,-1.7468837,10,20
0.23655589,-1.1751692,10,17
-7.1415143,-2.1839254,10,20
-6.9015164,-1.8348054,10,20
-7.7141747,-1.785708,10,20
-7.256837,-2.1454613,10,20
-7.16089,-1.8611536,10,20
-0.6378151,-3.027457,10,17
-3.1088486,-3.4253726,10,18
-0.72214013,-2.9703307,10,17
-0.6665635,-3.000721,10,17
-7.8925023,-1.7982358,10,20
-6.4748526,-1.7411585,10,20
-7.875857,-1.6909871,10,20
-0.67653424,-2.999393,10,17
-6.564166,-1.2895296,10,20
-7.640044,-1.7440866,10,20
-8.308143,12.490711,10,-1
0.23809616,-1.1742883,10,17
-6.6327286,-1.3712708,10,20
0.18399006,-1.2236997,10,17
-6.444588,-1.6846098,10,20
-7.2538285,7.867012,10,-1
-6.9720874,-2.1081061,10,20
-3.1277437,-3.439433,10,18
-7.3374643,0.2532785,10,-1
-7.47346,-1.8615628,10,20
-1.7627621,-2.8955038,10,17
0.27612105,-1.1366802,10,17
-6.902216,8.057234,10,-1
-7.4719286,-2.0632336,10,20
-7.1824265,-2.1296725,10,20
-6.6153607,-1.8736066,10,20
0.19681042,-1.2107147,10,17
