x,y,true_label,cluster_label
44.537136,44.283722,20,3
43.982754,53.22666,20,3
43.30306,26.399912,20,-1
16.467955,16.266726,20,3
27.21707,27.345993,20,3
43.921425,40.627205,20,3
64.93585,33.620827,20,3
33.017563,21.734745,20,3
36.841312,45.59063,20,3
29.610733,22.316336,20,3
26.061657,29.333344,20,3
-0.53035444,5.549089,20,-1
24.9812,26.8335,20,3
64.5078,36.832325,20,3
45.291706,44.577095,20,3
-0.6943319,5.926622,20,-1
44.553158,47.215496,20,3
44.39277,50.512817,20,3
25.005499,25.619974,20,3
44.75763,41.216915,20,3
61.0709,33.63116,20,3
40.97351,36.226357,20,3
43.407566,41.929413,20,3
22.679106,31.167437,20,3
61.099247,36.535477,20,3
34.445312,24.332336,20,3
44.444153,45.814304,20,3
34.19252,28.263216,20,3
39.838013,36.577938,20,3
34.01604,28.63201,20,3
39.84207,36.58922,20,3
38.59252,38.784496,20,3
22.130865,26.327562,20,3
37.08162,24.698776,20,3
36.004265,23.468546,20,3
27.738327,27.607662,20,3
62.39377,33.915485,20,3
45.88993,28.51958,20,-1
60.3887,31.900324,20,3
63.01093,36.756447,20,3
37.454414,46.908413,20,3
33.42574,27.853788,20,3
44.16346,41.32831,20,3
59.850246,31.87125,20,3
30.996304,29.940392,20,3
15.778095,16.545137,20,3
66.54579,33.599194,20,3
66.22914,34.670242,20,3
46.120792,51.318478,20,3
30.165903,28.460802,20,3
44.672554,46.8391,20,3
36.96344,24.759491,20,3
63.6547,31.136059,20,3
63.9109,31.47674,20,3
65.42263,33.264946,20,3
45.37077,51.113323,20,3
23.892332,26.932837,20,3
26.989157,27.70987,20,3
43.85756,27.171618,20,-1
60.887676,33.49665,20,3
43.016502,42.4332,20,3
42.759266,52.864616,20,3
22.208107,28.009148,20,3
26.184565,25.663862,20,3
29.324928,21.163095,20,3
31.804039,21.406025,20,3
30.715038,32.19381,20,3
44.545567,46.16266,20,3
44.183025,52.92823,20,3
31.345047,29.494307,20,3
26.751503,25.899511,20,3
44.784027,43.064747,20,3
29.403662,28.350765,20,3
36.930473,45.382534,20,3
38.47883,43.339504,20,3
39.385506,46.88735,20,3
-0.6261408,5.871501,20,-1
39.526485,49.31962,20,3
38.229847,24.152172,20,3
29.174528,21.53046,20,3
43.545784,50.915092,20,3
33.934345,28.242083,20,3
43.86024,51.96721,20,3
30.615456,32.29828,20,3
38.030933,40.03806,20,3
37.941433,44.909588,20,3
37.67456,46.98108,20,3
38.15941,38.97701,20,3
42.918526,26.99844,20,3
38.17499,37.527786,20,3
40.97963,37.89601,20,3
30.223616,24.12304,20,3
64.73508,34.882854,20,3
44.57747,53.556877,20,3
38.482365,35.63635,20,3
37.623333,38.85356,20,3
39.251537,32.9116,20,3
22.969593,27.000885,20,3
16.843954,17.808973,20,3
44.629772,40.79384,20,3
33.989826,23.367765,20,3
45.918556,49.02283,20,3
62.023033,35.878265,20,3
45.112717,44.399258,20,3
26.217253,26.914423,20,3
45.87688,28.52468,20,-1
34.39736,26.001343,20,3
44.770496,27.715885,20,-1
22.143442,29.97474,20,3
22.264835,25.68204,20,3
43.756855,51.52793,20,3
23.331902,27.058212,20,3
32.95685,22.223736,20,3
42.43111,53.00681,20,3
33.244442,23.085028,20,3
23.28529,30.339437,20,3
16.597506,17.544857,20,3
45.83699,28.404182,20,-1
40.344376,37.31345,20,3
36.91338,45.449146,20,3
31.89164,24.914915,20,3
39.117825,37.203533,20,3
38.261513,26.639353,20,3
63.27874,36.80208,20,3
21.937908,28.896372,20,3
24.52279,26.966423,20,3
34.5564,23.183924,20,3
39.045437,46.259464,20,3
38.388588,39.594368,20,3
16.76725,17.455254,20,3
24.863266,25.01557,20,3
39.36895,46.743996,20,3
22.795794,30.016724,20,3
62.238297,33.875412,20,3
33.426414,20.999487,20,3
37.744633,44.237965,20,3
45.058086,45.653954,20,3
29.22269,28.754915,20,3
17.175472,17.577616,20,3
43.07533,52.150143,20,3
38.323887,43.760933,20,3
38.87297,32.983044,20,3
28.179977,21.872051,20,3
16.540457,17.208029,20,3
44.537643,47.398685,20,3
36.68541,22.770222,20,3
42.823643,26.902813,20,3
24.457134,25.029171,20,3
32.67297,21.876486,20,3
27.630835,26.052216,20,3
28.179308,28.471178,20,3
39.293224,32.64063,20,3
44.056183,42.11752,20,3
28.462921,25.75565,20,3
43.693325,25.184628,20,-1
43.96286,53.786835,20,3
31.805017,28.744026,20,3
43.655468,25.305517,20,-1
28.815144,21.687624,20,3
38.258633,26.797733,20,3
60.030426,31.853413,20,3
38.161823,44.20531,20,3
18.773785,17.196442,20,3
37.152992,22.887684,20,3
41.725075,52.742474,20,3
64.39485,33.666576,20,3
40.60427,38.08682,20,3
65.69478,34.629223,20,3
60.13113,31.832441,20,3
