Method,Stage,Eval Day,Eval Split,Seen Classes,True New Classes,Discovered Clusters,Enrolled Clusters,Eval Samples,Overall Acc,Old Acc,New Acc,Initial Known Acc,Forgetting Rate,Old Class Bonus,Macro F1
Initial model,Initial,2021_03_01,day1_eval_initial_30pct,10,-,-,-,900,0.9977777777777778,0.9977777777777778,,0.9977777777777778,0.0,0.0,0.9977777434831665
Deep only,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,14,14,1800,0.835,0.9466666666666667,0.7233333333333334,0.9466666666666667,0.05111111111111111,0.0,0.8402071437047687
Deep only,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,13,13,2700,0.707037037037037,0.7005555555555556,0.72,0.85,0.14777777777777779,0.0,0.716162254059021
Deep only,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,13,13,3600,0.5930555555555556,0.5459259259259259,0.7344444444444445,0.8588888888888889,0.13888888888888884,0.0,0.5823616869660857
RF only,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,21,21,1800,0.6144444444444445,0.6744444444444444,0.5544444444444444,0.6744444444444444,0.32333333333333336,0.0,0.6421413227222684
RF only,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,22,22,2700,0.5214814814814814,0.41444444444444445,0.7355555555555555,0.4666666666666667,0.5311111111111111,0.0,0.5487243606997504
RF only,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,19,19,3600,0.4225,0.3151851851851852,0.7444444444444445,0.5833333333333334,0.4144444444444444,0.0,0.44436942575460625
Graph fusion (raw),After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,31,31,1800,0.7811111111111111,0.9244444444444444,0.6377777777777778,0.9244444444444444,0.07333333333333336,0.0,0.8322740550344191
Graph fusion (raw),After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,34,34,2700,0.6274074074074074,0.7038888888888889,0.47444444444444445,0.8255555555555556,0.17222222222222217,0.0,0.7055155135433308
Graph fusion (raw),After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,42,42,3600,0.43694444444444447,0.45185185185185184,0.39222222222222225,0.8188888888888889,0.17888888888888888,0.0,0.47927105175117146
No-drop consolidation (ablation),After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,15,15,1800,0.8444444444444444,0.9333333333333333,0.7555555555555555,0.9333333333333333,0.06444444444444442,0.0,0.8870395667809745
No-drop consolidation (ablation),After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,16,16,2700,0.7392592592592593,0.7427777777777778,0.7322222222222222,0.8511111111111112,0.1466666666666666,0.0,0.7863578388412097
No-drop consolidation (ablation),After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,16,16,3600,0.59,0.542962962962963,0.7311111111111112,0.8233333333333334,0.1744444444444444,0.0,0.5940618206081055
No CF-LCG (MV-ACC),After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,11,11,1800,0.9177777777777778,0.9444444444444444,0.8911111111111111,0.9444444444444444,0.053333333333333344,0.0,0.923729624558586
No CF-LCG (MV-ACC),After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,11,11,2700,0.857037037037037,0.8361111111111111,0.8988888888888888,0.86,0.13777777777777778,0.0,0.8588508075201807
No CF-LCG (MV-ACC),After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,10,10,3600,0.6975,0.6207407407407407,0.9277777777777778,0.8666666666666667,0.13111111111111107,0.0,0.6755668147007552
Global CF-LCG (MV-ACC),After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,11,11,1800,0.9177777777777778,0.9444444444444444,0.8911111111111111,0.9444444444444444,0.053333333333333344,0.0,0.923729624558586
Global CF-LCG (MV-ACC),After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,11,11,2700,0.857037037037037,0.8361111111111111,0.8988888888888888,0.86,0.13777777777777778,0.0,0.8588508075201807
Global CF-LCG (MV-ACC),After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,10,10,3600,0.6975,0.6207407407407407,0.9277777777777778,0.8666666666666667,0.13111111111111107,0.0,0.6755668147007552
MV-ACC,After R1,2021_03_08,eval_r1_30pct_20_seen,20,10,10,10,1800,0.9338888888888889,0.9444444444444444,0.9233333333333333,0.9444444444444444,0.053333333333333344,0.0,0.9307240758105448
MV-ACC,After R2,2021_03_15,eval_r2_30pct_30_seen,30,10,11,11,2700,0.867037037037037,0.8588888888888889,0.8833333333333333,0.86,0.13777777777777778,0.0,0.8668176186820541
MV-ACC,After R3,2021_03_23,eval_r3_30pct_40_seen,40,10,10,10,3600,0.7019444444444445,0.6318518518518519,0.9122222222222223,0.8611111111111112,0.1366666666666666,0.0,0.6789182004477776
