Method,Round,Cluster Count,Incremental Pseudo-label Classes,Cluster Count Error,Sample Coverage,Purity,NMI,ARI,Hungarian Acc,Overall Acc,New Acc,Forgetting Rate
Deep only,R1,14,14,4,0.91,0.8979591836734694,0.8531037883239609,0.7523365682921092,0.7847619047619048,0.835,0.7233333333333334,0.05111111111111111
Deep only,R2,13,13,3,0.8928571428571429,0.9813333333333333,0.8524437280255188,0.7856054625894124,0.8285714285714286,0.707037037037037,0.72,0.14777777777777779
Deep only,R3,13,13,3,0.9628571428571429,0.9248269040553907,0.9080895909619575,0.8501906480738411,0.8633333333333333,0.5930555555555556,0.7344444444444445,0.13888888888888884
RF only,R1,21,21,11,0.6342857142857143,0.9932432432432432,0.6792600646892322,0.33479194501592785,0.44666666666666666,0.6144444444444445,0.5544444444444444,0.32333333333333336
RF only,R2,22,22,12,0.9028571428571428,0.9994725738396625,0.8281699541774485,0.7337485397626722,0.7433333333333333,0.5214814814814814,0.7355555555555555,0.5311111111111111
RF only,R3,19,19,9,0.8757142857142857,0.9989124524197933,0.8507650038414467,0.7483122130491763,0.7452380952380953,0.4225,0.7444444444444445,0.4144444444444444
Graph fusion (raw),R1,31,31,21,0.8966666666666667,0.9883165161975571,0.7716246973959823,0.6218778115321798,0.6257142857142857,0.7811111111111111,0.6377777777777778,0.07333333333333336
Graph fusion (raw),R2,34,34,24,0.861904761904762,0.9917127071823204,0.7305002451471329,0.4727506164121516,0.52,0.6274074074074074,0.47444444444444445,0.17222222222222217
Graph fusion (raw),R3,42,42,32,0.8576190476190476,0.9372570794003331,0.6842687813970733,0.39378230420816507,0.43761904761904763,0.43694444444444447,0.39222222222222225,0.17888888888888888
No-drop consolidation (ablation),R1,15,15,5,1.0,0.9680952380952381,0.8770257727322456,0.7996040072038452,0.7766666666666666,0.8444444444444444,0.7555555555555555,0.06444444444444442
No-drop consolidation (ablation),R2,16,16,6,1.0,0.9714285714285714,0.873947386817481,0.7795939343594782,0.7633333333333333,0.7392592592592593,0.7322222222222222,0.1466666666666666
No-drop consolidation (ablation),R3,16,16,6,1.0,0.9347619047619048,0.8845678813074745,0.7815786038966718,0.7719047619047619,0.59,0.7311111111111112,0.1744444444444444
MV-ACC,R1,10,10,0,1.0,0.9385714285714286,0.907073132371483,0.8817258759683722,0.9385714285714286,0.9338888888888889,0.9233333333333333,0.053333333333333344
MV-ACC,R2,11,11,1,1.0,0.9242857142857143,0.8897756296142884,0.8569396700094443,0.8938095238095238,0.867037037037037,0.8833333333333333,0.13777777777777778
MV-ACC,R3,10,10,0,1.0,0.919047619047619,0.9182400497167045,0.8737413922821936,0.919047619047619,0.7019444444444445,0.9122222222222223,0.1366666666666666
No CF-LCG (MV-ACC),R1,11,11,1,1.0,0.9452380952380952,0.9020118818043971,0.8647514103735269,0.8961904761904762,0.9177777777777778,0.8911111111111111,0.053333333333333344
Global CF-LCG (MV-ACC),R1,11,11,1,1.0,0.9452380952380952,0.9020118818043971,0.8647514103735269,0.8961904761904762,0.9177777777777778,0.8911111111111111,0.053333333333333344
No CF-LCG (MV-ACC),R2,11,11,1,1.0,0.9395238095238095,0.9007259783935132,0.8720807813469369,0.8952380952380953,0.857037037037037,0.8988888888888888,0.13777777777777778
Global CF-LCG (MV-ACC),R2,11,11,1,1.0,0.9395238095238095,0.9007259783935132,0.8720807813469369,0.8952380952380953,0.857037037037037,0.8988888888888888,0.13777777777777778
No CF-LCG (MV-ACC),R3,10,10,0,1.0,0.9376190476190476,0.938363796386342,0.8979996578114071,0.9376190476190476,0.6975,0.9277777777777778,0.13111111111111107
Global CF-LCG (MV-ACC),R3,10,10,0,1.0,0.9376190476190476,0.938363796386342,0.8979996578114071,0.9376190476190476,0.6975,0.9277777777777778,0.13111111111111107
