x,y,true_label,cluster_label
-56.958286,-23.139904,30,12
-36.873463,-19.148754,30,16
-56.953995,-22.585436,30,12
-45.026752,-5.261167,30,16
-45.47961,-14.698571,30,-1
-44.832676,-8.497178,30,16
-50.735985,-26.628723,30,-1
-36.101173,-7.443668,30,-1
-43.203304,-9.495495,30,16
-52.386456,-11.193945,30,16
-51.308464,-13.364919,30,-1
-36.419212,-14.106733,30,16
-53.58697,-23.15852,30,12
-34.412525,-19.301682,30,-1
-47.34835,-2.9468873,30,16
-55.660553,-23.922512,30,12
-48.706493,-12.948752,30,16
-36.14794,-19.169441,30,16
-44.48766,-3.2354465,30,16
-60.336483,-6.6878557,30,-1
-57.41628,-25.486208,30,-1
-60.02578,-5.961981,30,-1
-45.102352,-10.618454,30,16
-60.891323,-11.014983,30,-1
-56.284447,-27.959408,30,-1
-56.231094,-26.882639,30,12
-35.474087,-15.889562,30,-1
-45.488636,-14.248717,30,16
-38.013096,-15.603163,30,-1
-35.129604,-20.138624,30,-1
-36.868046,-6.8249307,30,-1
-42.449688,0.34882408,30,16
-58.590965,-10.8598995,30,-1
-45.118492,-15.565811,30,-1
-47.681656,2.2042391,30,-1
-38.669426,-9.179417,30,16
-52.858185,-10.87733,30,-1
-47.423565,-11.614666,30,16
-42.940147,-23.35707,30,-1
-47.518326,-22.681034,30,-1
-45.909836,2.8396888,30,16
-68.12085,-19.72523,30,-1
-60.086987,-10.976569,30,-1
-42.16593,-2.6497402,30,16
-50.546967,-12.727706,30,16
-66.4105,-21.839228,30,-1
-37.936245,-11.724043,30,-1
-55.323853,-26.09995,30,-1
-38.535133,-9.193394,30,16
-59.164703,-10.779033,30,-1
-36.767933,-18.996994,30,16
-49.8216,-10.541018,30,16
-44.096767,-4.0588694,30,16
-42.218716,-7.1864867,30,16
-47.172848,2.0787919,30,16
-55.67036,-25.551527,30,12
-42.634876,-8.950521,30,16
-43.318485,1.8684214,30,16
-52.549088,-22.562927,30,-1
-46.530754,-0.9942697,30,16
-36.32905,-20.169188,30,-1
-44.56379,-11.355679,30,16
-39.61195,-21.043587,30,-1
-67.27919,-22.05689,30,-1
-68.06316,-21.668467,30,-1
-46.88588,-23.976938,30,-1
-50.42815,2.3996756,30,-1
-56.18293,-28.491224,30,-1
-49.514977,-2.2240636,30,16
-45.30981,-15.107531,30,-1
-40.830917,-25.504772,30,-1
-48.22138,-11.5098095,30,16
-48.949726,-7.6769753,30,-1
-63.591854,-21.633673,30,-1
-50.167683,-10.116865,30,16
-42.819195,-6.7926483,30,16
-47.574127,-24.31435,30,-1
-55.99055,-25.832884,30,12
-39.62496,-21.012787,30,-1
-63.385254,-21.606152,30,-1
-46.264587,-23.917799,30,-1
-46.145348,0.69310164,30,16
-36.622208,-13.901055,30,-1
-47.709946,-13.069376,30,16
-54.125397,-1.9659183,30,-1
-44.445858,-11.137196,30,16
-56.017475,-24.322332,30,12
-55.565414,-24.605036,30,12
-49.481678,-11.240036,30,16
-48.08328,-23.210802,30,-1
-48.534992,-11.60828,30,16
-36.504406,-15.204101,30,16
-56.829277,-25.851011,30,12
-44.82438,-3.8580031,30,16
-42.967438,-5.3388176,30,16
